variant,overall_net,overall_return_pct,ml_net,ml_return_pct,fallback_net,counterfactual_long_only_net,return_on_peak_pct,peak_capital,starting_capital,classification_accuracy,overall_trades,ml_trades,momentum_trades,overall_win_rate,ml_win_rate,overall_profit_factor,elapsed_seconds,run_id,overrides,momentum_net
legacy_no_qwf,883.3253004851613,1.7666506009703227,905.7401633197918,1.8114803266395834,-22.414862834630526,-1165.1325488112916,2.453681390236559,36000.0,50000.0,0.4406481155336386,335,268,67,0.417910447761194,0.4216417910447761,1.1427424469988559,2797.4,2873327f-5e5d-4010-aaf2-1a82569dbd89,"{""ml_use_query_window_features"": false}",-22.414862834630544
baseline,1134.8820650370587,2.2697641300741176,1157.2969278716891,2.3145938557433783,-22.414862834630412,-1165.1325488112916,3.067248824424483,37000.0,50000.0,0.45332863684395913,321,254,67,0.4236760124610592,0.42913385826771655,1.1948655483972346,2882.2,4347d624-806d-40be-ae71-8f89928a2d80,{},-22.414862834630544
ml_stop_vol_trail_3x,2490.2199587240702,4.980439917448141,2512.634821558701,5.025269643117402,-22.41486283463064,6828.362502815095,7.114914167783058,35000.0,50000.0,0.45332863684395913,321,254,67,0.4766355140186916,0.49606299212598426,1.4573460645382348,2893.6,dc7a6af2-42df-4dde-bccc-3890093456bd,"{""ml_stop_mode"": ""vol_trail"", ""ml_vol_stop_multiplier"": 3.0}",-22.414862834630544
ml_stop_5pct,1800.0705744180837,3.6001411488361676,1822.485437252714,3.644970874505428,-22.414862834630412,-11283.845922589468,4.73702782741601,38000.0,50000.0,0.45332863684395913,321,254,67,0.4517133956386293,0.4645669291338583,1.2901158265956656,2896.3,1bdd4a6a-bfbb-4605-a88a-5003ba6dbf20,"{""ml_stop_loss_pct"": 0.05}",-22.414862834630544
ml_stop_6pct,1769.8413663676588,3.5396827327353177,1792.2562292022892,3.5845124584045784,-22.414862834630412,-15585.546816098136,3.847481231234041,46000.0,50000.0,0.45332863684395913,321,254,67,0.45794392523364486,0.47244094488188976,1.2808027749878628,2897.8,58fdcda4-2063-4347-aa62-ce8d14ddea44,"{""ml_stop_loss_pct"": 0.06}",-22.414862834630544
fallback_hold_to_resolution,861.9753862156408,1.7239507724312815,1157.2969278716891,2.3145938557433783,-295.32154165604834,-1165.1325488112916,1.9590349686719108,44000.0,50000.0,0.45332863684395913,501,254,,0.3872255489021956,0.42913385826771655,1.08774108307342,2953.6,b27639b0-a43e-4577-a955-f25cec9173d3,"{""fallback_strategy"": ""hold_to_resolution""}",
fallback_off,1157.2969278716891,2.3145938557433783,1157.2969278716891,2.3145938557433783,0.0,-1165.1325488112916,3.127829534788349,37000.0,50000.0,0.45332863684395913,254,254,,0.42913385826771655,0.42913385826771655,1.2480331187680314,3083.3,a4e24a28-2a0e-47bb-84ed-ffe0c1edfe6d,"{""fallback_strategy"": ""none""}",
regression_dir,1604.0884326729004,3.2081768653458007,1626.5032955075308,3.253006591015062,-22.414862834630412,-1165.1325488112916,4.33537414235919,37000.0,50000.0,0.4216273335681578,335,268,67,0.4298507462686567,0.43656716417910446,1.2683687677300208,3109.5,b1fa7c1b-fe36-489d-9bf1-b259069408f2,"{""ml_direction_mode"": ""regression_sign""}",-22.414862834630544
stack_winner_5pct,2232.848797799317,4.465697595598633,2145.9080783741715,4.291816156748343,86.94071942514529,-8021.471713020386,6.3795679937123335,35000.0,50000.0,0.4216273335681578,334,268,66,0.47305389221556887,0.48880597014925375,1.3953052424682915,3109.6,c4b3cca2-97a3-4bd5-b90e-394d47864ad8,"{""ml_stop_loss_pct"": 0.05, ""ml_direction_mode"": ""regression_sign"", ""probability_exit_mode"": ""immediate_band"", ""probability_exit_band"": 0.45}",86.9407194251453
stack_vol_trail_holdfb,2347.3932767317783,4.6947865534635564,2593.098035291839,5.186196070583678,-245.70475856006078,5309.037727125977,5.33498471984495,44000.0,50000.0,0.4216273335681578,515,268,,0.4407766990291262,0.5111940298507462,1.2540750261976543,3193.1,8d2b566d-04ab-41c7-98ed-330ee455451c,"{""ml_stop_mode"": ""vol_trail"", ""ml_vol_stop_multiplier"": 3.0, ""ml_direction_mode"": ""regression_sign"", ""probability_exit_mode"": ""immediate_band"", ""probability_exit_band"": 0.45, ""fallback_strategy"": ""hold_to_resolution""}",
stack_6pct_holdfb,1738.9573253988324,3.4779146507976653,1984.662083958893,3.9693241679177858,-245.70475856006055,-11482.067237852003,3.9521757395428008,44000.0,50000.0,0.4216273335681578,515,268,,0.43106796116504853,0.4925373134328358,1.1757809269014121,3204.0,9eebcfff-57f5-4c61-8753-466a96e59e58,"{""ml_stop_loss_pct"": 0.06, ""ml_direction_mode"": ""regression_sign"", ""probability_exit_mode"": ""immediate_band"", ""probability_exit_band"": 0.45, ""fallback_strategy"": ""hold_to_resolution""}",
