resolution,range_period,range_multiplier,signal_count,opened_trade_count,total_signal_net_profit,average_signal_net_profit,average_opened_trade_net_profit
1d,12,-0.05,498,215,-2475.142152219612,-4.970164964296409,-11.512289080091218
1d,18,-0.05,498,220,-2495.388795850061,-5.010820875200926,-11.342676344773004
1d,18,-0.02,498,220,-2514.9793495454705,-5.050159336436688,-11.431724316115774
1d,21,-0.02,498,220,-2520.4430732788073,-5.061130669234553,-11.456559423994578
1d,21,-0.01,498,220,-2521.699005897258,-5.063652622283651,-11.462268208623899
1d,18,-0.01,498,220,-2555.1181641136086,-5.130759365689977,-11.614173473243676
1d,12,-0.02,498,215,-2576.1648151079708,-5.1730217170842785,-11.982161930734748
1d,12,-0.01,498,215,-2579.892182762975,-5.1805063910903115,-11.999498524478954
1d,21,-0.05,498,220,-2586.8126649658257,-5.194402941698445,-11.758239386208299
1d,7,-0.01,498,213,-2628.5447938630373,-5.278202397315336,-12.340585886680927
1d,7,2.5,498,213,-2649.189529202456,-5.319657689161558,-12.437509526772095
1d,12,-0.03,498,215,-2722.362820777791,-5.466592009593958,-12.662152654780424
1d,7,1.5,498,213,-2769.827273833527,-5.5619021562922235,-13.003883914711395
1d,21,-0.03,498,220,-2775.8197007143453,-5.573935141996677,-12.617362275974298
1d,7,3.0,498,213,-2777.92372139226,-5.578160083116988,-13.041895405597465
1d,18,-0.03,498,220,-2781.641059786843,-5.58562461804587,-12.643822999031105
1d,7,2.0,498,213,-2816.4906803699687,-5.655603775843311,-13.222960940704079
1d,14,-0.02,498,218,-2826.258115097851,-5.675217098590062,-12.964486766503903
1d,14,-0.05,498,218,-2832.481951743201,-5.687714762536548,-12.993036475886244
1d,14,-0.01,498,218,-2833.7684231904877,-5.690298038535116,-12.998937721057283
1d,18,1.5,498,220,-2879.611635759413,-5.782352682247817,-13.089143798906422
1d,7,-0.02,498,213,-2926.049252057613,-5.875600907746211,-13.737320432195366
1d,18,2.5,498,220,-2933.9049866304686,-5.891375475161584,-13.33593175741122
1d,12,2.5,498,215,-2948.217797818859,-5.920116059877227,-13.712640920087715
1d,12,3.0,498,215,-2956.7896624746936,-5.937328639507417,-13.75251005802183
1d,18,3.0,498,220,-2995.8665989700053,-6.015796383473906,-13.61757544986366
1d,14,-0.03,498,218,-3020.6042070588096,-6.065470295298814,-13.8559826011872
1d,7,-0.05,498,213,-3032.4277641684967,-6.089212377848387,-14.236750066518763
1d,7,-0.03,498,213,-3035.7773046243046,-6.095938362699407,-14.25247560856481
1d,21,1.5,498,220,-3043.650637813277,-6.111748268701359,-13.834775626423987
1d,5,1.5,498,204,-3047.5409789720597,-6.119560198739076,-14.938926367510097
1d,14,2.5,498,218,-3061.0736857459524,-6.146734308726812,-14.04162241167868
1d,14,1.5,498,218,-3062.652985740675,-6.149905593856777,-14.048866907067316
1d,12,1.5,498,215,-3085.225402079947,-6.195231731084231,-14.34988559106952
1d,14,2.0,498,218,-3111.8434205098292,-6.248681567288814,-14.274511103256097
1d,21,2.5,498,220,-3130.894113970196,-6.2869359718277025,-14.23133688168271
1d,5,-0.01,498,204,-3134.8500732663215,-6.294879665193417,-15.366912123854517
1d,14,3.0,498,218,-3178.7972574377413,-6.3831270229673525,-14.58163879558597
1d,5,2.5,498,204,-3179.3436882585097,-6.384224273611466,-15.585018079698576
1d,5,2.0,498,204,-3188.4327297948753,-6.402475361033886,-15.62957220487684
1d,5,-0.02,498,204,-3208.1753288860245,-6.442119134309286,-15.726349651402082
1d,12,2.0,498,215,-3241.952641033357,-6.509945062315977,-15.078849493178405
1d,18,2.0,498,220,-3254.757759127702,-6.535658150858839,-14.794353450580463
1d,5,-0.05,498,204,-3297.1883532947472,-6.620860147178207,-16.1626880063468
1d,21,3.0,498,220,-3328.7421425739094,-6.684221169827127,-15.13064610260868
1d,5,-0.03,498,204,-3373.7467139158184,-6.774591795011683,-16.53797408782264
1d,21,2.0,498,220,-3389.386991518531,-6.805997974936809,-15.406304506902414
1d,5,3.0,498,204,-3434.027347198098,-6.895637243369675,-16.833467388225973
