resolution,range_period,range_multiplier,signal_count,opened_trade_count,total_signal_net_profit,average_signal_net_profit,average_opened_trade_net_profit
1d,12,-0.05,498,215,-2475.142152219612,-4.970164964296409,-11.512289080091218
1d,18,-0.05,498,220,-2495.3887958500613,-5.010820875200927,-11.342676344773006
1d,18,-0.02,498,220,-2514.9793495454705,-5.050159336436688,-11.431724316115774
1d,21,-0.02,498,220,-2520.443073278808,-5.0611306692345535,-11.45655942399458
1d,21,-0.01,498,220,-2521.6990058972583,-5.0636526222836515,-11.462268208623902
1d,18,-0.01,498,220,-2555.1181641136086,-5.130759365689977,-11.614173473243676
1d,12,-0.02,498,215,-2576.1648151079708,-5.1730217170842785,-11.982161930734748
1d,12,-0.01,498,215,-2579.892182762975,-5.1805063910903115,-11.999498524478954
1d,21,-0.05,498,220,-2586.812664965825,-5.194402941698444,-11.758239386208297
1d,7,-0.01,498,213,-2628.5447938630377,-5.2782023973153365,-12.340585886680929
1d,7,2.5,498,213,-2649.189529202457,-5.31965768916156,-12.437509526772098
1d,12,-0.03,498,215,-2722.3628207777906,-5.466592009593957,-12.66215265478042
1d,7,1.5,498,213,-2769.8272738335277,-5.561902156292224,-13.003883914711398
1d,21,-0.03,498,220,-2775.819700714345,-5.573935141996676,-12.617362275974296
1d,7,3.0,498,213,-2777.9237213922606,-5.578160083116989,-13.041895405597467
1d,18,-0.03,498,220,-2781.6410597868426,-5.585624618045869,-12.643822999031103
1d,7,2.0,498,213,-2816.490680369969,-5.6556037758433115,-13.22296094070408
1d,14,-0.02,498,218,-2826.258115097851,-5.675217098590062,-12.964486766503903
1d,14,-0.05,498,218,-2832.481951743201,-5.687714762536548,-12.993036475886244
1d,14,-0.01,498,218,-2833.7684231904877,-5.690298038535116,-12.998937721057283
1d,18,1.5,498,220,-2879.611635759413,-5.782352682247817,-13.089143798906422
1d,7,-0.02,498,213,-2926.049252057614,-5.875600907746213,-13.737320432195371
1d,18,2.5,498,220,-2933.904986630468,-5.891375475161582,-13.335931757411219
1d,12,2.5,498,215,-2948.2177978188593,-5.920116059877228,-13.712640920087717
1d,12,3.0,498,215,-2956.7896624746936,-5.937328639507417,-13.75251005802183
1d,18,3.0,498,220,-2995.866598970005,-6.015796383473905,-13.617575449863658
1d,14,-0.03,498,218,-3020.60420705881,-6.065470295298815,-13.855982601187202
1d,7,-0.05,498,213,-3032.427764168497,-6.089212377848388,-14.236750066518766
1d,7,-0.03,498,213,-3035.777304624305,-6.095938362699408,-14.252475608564813
1d,21,1.5,498,220,-3043.650637813277,-6.111748268701359,-13.834775626423987
1d,5,1.5,498,204,-3047.5409789720597,-6.119560198739076,-14.938926367510097
1d,14,2.5,498,218,-3061.0736857459524,-6.146734308726812,-14.04162241167868
1d,14,1.5,498,218,-3062.652985740676,-6.149905593856778,-14.048866907067321
1d,12,1.5,498,215,-3085.225402079947,-6.195231731084231,-14.34988559106952
1d,14,2.0,498,218,-3111.843420509829,-6.248681567288813,-14.274511103256096
1d,21,2.5,498,220,-3130.894113970196,-6.2869359718277025,-14.23133688168271
1d,5,-0.01,498,204,-3134.8500732663224,-6.2948796651934185,-15.366912123854522
1d,14,3.0,498,218,-3178.7972574377413,-6.3831270229673525,-14.58163879558597
1d,5,2.5,498,204,-3179.3436882585097,-6.384224273611466,-15.585018079698576
1d,5,2.0,498,204,-3188.4327297948766,-6.402475361033889,-15.629572204876846
1d,5,-0.02,498,204,-3208.1753288860255,-6.442119134309288,-15.726349651402085
1d,12,2.0,498,215,-3241.952641033357,-6.509945062315977,-15.078849493178405
1d,18,2.0,498,220,-3254.757759127702,-6.535658150858839,-14.794353450580463
1d,5,-0.05,498,204,-3297.188353294748,-6.620860147178209,-16.162688006346805
1d,21,3.0,498,220,-3328.7421425739094,-6.684221169827127,-15.13064610260868
1d,5,-0.03,498,204,-3373.74671391582,-6.774591795011687,-16.537974087822647
1d,21,2.0,498,220,-3389.3869915185314,-6.80599797493681,-15.406304506902416
1d,5,3.0,498,204,-3434.0273471980995,-6.895637243369678,-16.833467388225976
