resolution,range_period,range_multiplier,signal_count,opened_trade_count,total_signal_net_profit,average_signal_net_profit,average_opened_trade_net_profit
1d,12,-0.05,498,215,-2475.1421522196124,-4.97016496429641,-11.51228908009122
1d,18,-0.05,498,220,-2495.388795850062,-5.010820875200928,-11.342676344773007
1d,18,-0.02,498,220,-2514.97934954547,-5.050159336436687,-11.431724316115773
1d,21,-0.02,498,220,-2520.443073278808,-5.0611306692345535,-11.45655942399458
1d,21,-0.01,498,220,-2521.699005897258,-5.063652622283651,-11.462268208623899
1d,18,-0.01,498,220,-2555.118164113608,-5.130759365689976,-11.614173473243673
1d,12,-0.02,498,215,-2576.1648151079708,-5.1730217170842785,-11.982161930734748
1d,12,-0.01,498,215,-2579.892182762975,-5.1805063910903115,-11.999498524478954
1d,21,-0.05,498,220,-2586.812664965826,-5.194402941698446,-11.7582393862083
1d,7,-0.01,498,213,-2628.5447938630373,-5.278202397315336,-12.340585886680927
1d,7,2.5,498,213,-2649.189529202457,-5.31965768916156,-12.437509526772098
1d,12,-0.03,498,215,-2722.3628207777906,-5.466592009593957,-12.66215265478042
1d,7,1.5,498,213,-2769.827273833527,-5.5619021562922235,-13.003883914711395
1d,21,-0.03,498,220,-2775.8197007143453,-5.573935141996677,-12.617362275974298
1d,7,3.0,498,213,-2777.92372139226,-5.578160083116988,-13.041895405597465
1d,18,-0.03,498,220,-2781.641059786843,-5.58562461804587,-12.643822999031105
1d,7,2.0,498,213,-2816.490680369969,-5.6556037758433115,-13.22296094070408
1d,14,-0.02,498,218,-2826.2581150978504,-5.6752170985900605,-12.964486766503901
1d,14,-0.05,498,218,-2832.4819517432015,-5.687714762536549,-12.993036475886246
1d,14,-0.01,498,218,-2833.7684231904877,-5.690298038535116,-12.998937721057283
1d,18,1.5,498,220,-2879.611635759413,-5.782352682247817,-13.089143798906422
1d,7,-0.02,498,213,-2926.049252057613,-5.875600907746211,-13.737320432195366
1d,18,2.5,498,220,-2933.9049866304686,-5.891375475161584,-13.33593175741122
1d,12,2.5,498,215,-2948.2177978188593,-5.920116059877228,-13.712640920087717
1d,12,3.0,498,215,-2956.7896624746936,-5.937328639507417,-13.75251005802183
1d,18,3.0,498,220,-2995.866598970005,-6.015796383473905,-13.617575449863658
1d,14,-0.03,498,218,-3020.6042070588105,-6.065470295298816,-13.855982601187204
1d,7,-0.05,498,213,-3032.4277641684967,-6.089212377848387,-14.236750066518763
1d,7,-0.03,498,213,-3035.7773046243046,-6.095938362699407,-14.25247560856481
1d,21,1.5,498,220,-3043.650637813277,-6.111748268701359,-13.834775626423987
1d,5,1.5,498,204,-3047.54097897206,-6.119560198739077,-14.9389263675101
1d,14,2.5,498,218,-3061.073685745953,-6.146734308726813,-14.041622411678683
1d,14,1.5,498,218,-3062.6529857406754,-6.1499055938567775,-14.048866907067318
1d,12,1.5,498,215,-3085.225402079947,-6.195231731084231,-14.34988559106952
1d,14,2.0,498,218,-3111.8434205098292,-6.248681567288814,-14.274511103256097
1d,21,2.5,498,220,-3130.894113970196,-6.2869359718277025,-14.23133688168271
1d,5,-0.01,498,204,-3134.8500732663224,-6.2948796651934185,-15.366912123854522
1d,14,3.0,498,218,-3178.7972574377413,-6.3831270229673525,-14.58163879558597
1d,5,2.5,498,204,-3179.3436882585097,-6.384224273611466,-15.585018079698576
1d,5,2.0,498,204,-3188.432729794877,-6.40247536103389,-15.62957220487685
1d,5,-0.02,498,204,-3208.1753288860255,-6.442119134309288,-15.726349651402085
1d,12,2.0,498,215,-3241.952641033357,-6.509945062315977,-15.078849493178405
1d,18,2.0,498,220,-3254.7577591277022,-6.53565815085884,-14.794353450580465
1d,5,-0.05,498,204,-3297.1883532947486,-6.62086014717821,-16.16268800634681
1d,21,3.0,498,220,-3328.7421425739094,-6.684221169827127,-15.13064610260868
1d,5,-0.03,498,204,-3373.7467139158202,-6.774591795011688,-16.537974087822647
1d,21,2.0,498,220,-3389.3869915185314,-6.80599797493681,-15.406304506902416
1d,5,3.0,498,204,-3434.0273471980995,-6.895637243369678,-16.833467388225976
