symbol,trade_count,total_net_profit,win_rate,average_winner,average_loser,payoff_ratio,profit_factor,expectancy,largest_winner,largest_loser,maximum_consecutive_losses
AAL,2,63.88110434636761,1.0,31.940552173183804,,,,31.940552173183804,48.53999694109142,,0
AAPL,2,54.24745412667359,1.0,27.123727063336794,,,,27.123727063336794,27.332803298684567,,0
ACM,2,49.74615062514363,0.5,62.229932848283376,-12.483782223139748,4.984862098357894,4.984862098357894,24.873075312571814,62.229932848283376,-12.483782223139748,1
ACN,1,77.36374227921361,1.0,77.36374227921361,,,,77.36374227921361,77.36374227921361,,0
ADBE,1,12.044565260409442,1.0,12.044565260409442,,,,12.044565260409442,12.044565260409442,,0
ADI,3,-25.05384091283317,0.3333333333333333,46.829433004104445,-35.941636958468806,1.3029298876458153,0.6514649438229076,-8.351280304277724,46.829433004104445,-61.027855572416996,1
ADSK,2,-10.954274400823644,0.5,6.161495374036827,-17.11576977486047,0.3599893814350547,0.3599893814350547,-5.477137200411822,6.161495374036827,-17.11576977486047,1
AFL,2,17.51189566355913,0.5,38.444159199846965,-20.932263536287834,1.8365982796461926,1.8365982796461926,8.755947831779565,38.444159199846965,-20.932263536287834,1
AKAM,2,11.031036501358265,0.5,52.53140294752886,-41.500366446170595,1.2658057613940934,1.2658057613940934,5.515518250679133,52.53140294752886,-41.500366446170595,1
ALL,3,-18.219929549468407,0.3333333333333333,22.849702213209582,-20.534815881338993,1.1127298313872023,0.5563649156936011,-6.073309849822802,22.849702213209582,-23.764206411874408,1
ALLY,2,36.9462802251125,0.5,47.76888294931442,-10.822602724201914,4.413807303717417,4.413807303717417,18.47314011255625,47.76888294931442,-10.822602724201914,1
AMAT,2,-53.377880251044644,0.0,,-26.688940125522322,,0.0,-26.688940125522322,,-33.816215555483204,2
AMC,1,-64.7196007640728,0.0,,-64.7196007640728,,0.0,-64.7196007640728,,-64.7196007640728,1
AMD,1,-35.17899951831699,0.0,,-35.17899951831699,,0.0,-35.17899951831699,,-35.17899951831699,1
AMPL,3,-135.93188617799103,0.3333333333333333,49.18386156177204,-92.55787386988153,0.5313849541413952,0.2656924770706976,-45.31062872599701,49.18386156177204,-103.1993720520814,2
AMZN,2,-48.68063812785009,0.0,,-24.340319063925044,,0.0,-24.340319063925044,,-40.58306720968027,2
ANF,1,-18.38859518052982,0.0,,-18.38859518052982,,0.0,-18.38859518052982,,-18.38859518052982,1
APP,3,-186.07272195132924,0.3333333333333333,8.91555285879016,-97.4941374050597,0.0914470664194775,0.04572353320973875,-62.02424065044308,8.91555285879016,-163.71821438965276,2
ARCC,1,-5.924987749943039,0.0,,-5.924987749943039,,0.0,-5.924987749943039,,-5.924987749943039,1
ARM,1,36.94943692872679,1.0,36.94943692872679,,,,36.94943692872679,36.94943692872679,,0
AS,1,68.84711509781721,1.0,68.84711509781721,,,,68.84711509781721,68.84711509781721,,0
ASAN,2,75.477830263562,1.0,37.738915131781,,,,37.738915131781,40.73427422655118,,0
ATO,1,-20.30900686404471,0.0,,-20.30900686404471,,0.0,-20.30900686404471,,-20.30900686404471,1
