resolution,range_period,range_multiplier,signal_count,opened_trade_count,total_signal_net_profit,average_signal_net_profit,average_opened_trade_net_profit
1d,12,-0.05,498,215,-2475.1421522196124,-4.97016496429641,-11.51228908009122
1d,18,-0.05,498,220,-2495.3887958500613,-5.010820875200927,-11.342676344773006
1d,18,-0.02,498,220,-2514.9793495454705,-5.050159336436688,-11.431724316115774
1d,21,-0.02,498,220,-2520.443073278808,-5.0611306692345535,-11.45655942399458
1d,21,-0.01,498,220,-2521.699005897257,-5.063652622283649,-11.462268208623895
1d,18,-0.01,498,220,-2555.1181641136077,-5.1307593656899755,-11.614173473243671
1d,12,-0.02,498,215,-2576.164815107971,-5.173021717084279,-11.98216193073475
1d,12,-0.01,498,215,-2579.892182762975,-5.1805063910903115,-11.999498524478954
1d,21,-0.05,498,220,-2586.812664965825,-5.194402941698444,-11.758239386208297
1d,7,-0.01,498,213,-2628.5447938630377,-5.2782023973153365,-12.340585886680929
1d,7,2.5,498,213,-2649.1895292024574,-5.319657689161561,-12.4375095267721
1d,12,-0.03,498,215,-2722.362820777791,-5.466592009593958,-12.662152654780424
1d,7,1.5,498,213,-2769.827273833527,-5.5619021562922235,-13.003883914711395
1d,21,-0.03,498,220,-2775.8197007143453,-5.573935141996677,-12.617362275974298
1d,7,3.0,498,213,-2777.92372139226,-5.578160083116988,-13.041895405597465
1d,18,-0.03,498,220,-2781.6410597868426,-5.585624618045869,-12.643822999031103
1d,7,2.0,498,213,-2816.490680369969,-5.6556037758433115,-13.22296094070408
1d,14,-0.02,498,218,-2826.2581150978504,-5.6752170985900605,-12.964486766503901
1d,14,-0.05,498,218,-2832.4819517432015,-5.687714762536549,-12.993036475886246
1d,14,-0.01,498,218,-2833.768423190487,-5.690298038535114,-12.99893772105728
1d,18,1.5,498,220,-2879.611635759412,-5.782352682247815,-13.089143798906418
1d,7,-0.02,498,213,-2926.049252057613,-5.875600907746211,-13.737320432195366
1d,18,2.5,498,220,-2933.904986630468,-5.891375475161582,-13.335931757411219
1d,12,2.5,498,215,-2948.217797818859,-5.920116059877227,-13.712640920087715
1d,12,3.0,498,215,-2956.7896624746936,-5.937328639507417,-13.75251005802183
1d,18,3.0,498,220,-2995.866598970005,-6.015796383473905,-13.617575449863658
1d,14,-0.03,498,218,-3020.60420705881,-6.065470295298815,-13.855982601187202
1d,7,-0.05,498,213,-3032.4277641684967,-6.089212377848387,-14.236750066518763
1d,7,-0.03,498,213,-3035.7773046243046,-6.095938362699407,-14.25247560856481
1d,21,1.5,498,220,-3043.6506378132763,-6.111748268701358,-13.834775626423983
1d,5,1.5,498,204,-3047.54097897206,-6.119560198739077,-14.9389263675101
1d,14,2.5,498,218,-3061.0736857459524,-6.146734308726812,-14.04162241167868
1d,14,1.5,498,218,-3062.652985740676,-6.149905593856778,-14.048866907067321
1d,12,1.5,498,215,-3085.2254020799473,-6.195231731084232,-14.349885591069523
1d,14,2.0,498,218,-3111.8434205098292,-6.248681567288814,-14.274511103256097
1d,21,2.5,498,220,-3130.8941139701956,-6.286935971827702,-14.231336881682708
1d,5,-0.01,498,204,-3134.850073266322,-6.294879665193418,-15.366912123854519
1d,14,3.0,498,218,-3178.7972574377404,-6.383127022967351,-14.581638795585965
1d,5,2.5,498,204,-3179.343688258509,-6.384224273611464,-15.585018079698573
1d,5,2.0,498,204,-3188.4327297948757,-6.402475361033887,-15.629572204876842
1d,5,-0.02,498,204,-3208.175328886024,-6.442119134309285,-15.72634965140208
1d,12,2.0,498,215,-3241.952641033357,-6.509945062315977,-15.078849493178405
1d,18,2.0,498,220,-3254.757759127702,-6.535658150858839,-14.794353450580463
1d,5,-0.05,498,204,-3297.188353294747,-6.620860147178206,-16.162688006346798
1d,21,3.0,498,220,-3328.7421425739085,-6.684221169827126,-15.130646102608676
1d,5,-0.03,498,204,-3373.7467139158184,-6.774591795011683,-16.53797408782264
1d,21,2.0,498,220,-3389.386991518531,-6.805997974936809,-15.406304506902414
1d,5,3.0,498,204,-3434.027347198098,-6.895637243369675,-16.833467388225973
