resolution,range_period,range_multiplier,signal_count,opened_trade_count,total_signal_net_profit,average_signal_net_profit,average_opened_trade_net_profit
1d,12,-0.05,498,215,-2475.1421522196124,-4.97016496429641,-11.51228908009122
1d,18,-0.05,498,220,-2495.3887958500613,-5.010820875200927,-11.342676344773006
1d,18,-0.02,498,220,-2514.9793495454696,-5.050159336436686,-11.431724316115771
1d,21,-0.02,498,220,-2520.4430732788073,-5.061130669234553,-11.456559423994578
1d,21,-0.01,498,220,-2521.699005897258,-5.063652622283651,-11.462268208623899
1d,18,-0.01,498,220,-2555.118164113608,-5.130759365689976,-11.614173473243673
1d,12,-0.02,498,215,-2576.164815107971,-5.173021717084279,-11.98216193073475
1d,12,-0.01,498,215,-2579.8921827629756,-5.180506391090312,-11.999498524478957
1d,21,-0.05,498,220,-2586.8126649658257,-5.194402941698445,-11.758239386208299
1d,7,-0.01,498,213,-2628.5447938630377,-5.2782023973153365,-12.340585886680929
1d,7,2.5,498,213,-2649.189529202457,-5.31965768916156,-12.437509526772098
1d,12,-0.03,498,215,-2722.362820777791,-5.466592009593958,-12.662152654780424
1d,7,1.5,498,213,-2769.8272738335277,-5.561902156292224,-13.003883914711398
1d,21,-0.03,498,220,-2775.819700714345,-5.573935141996676,-12.617362275974296
1d,7,3.0,498,213,-2777.92372139226,-5.578160083116988,-13.041895405597465
1d,18,-0.03,498,220,-2781.6410597868426,-5.585624618045869,-12.643822999031103
1d,7,2.0,498,213,-2816.490680369969,-5.6556037758433115,-13.22296094070408
1d,14,-0.02,498,218,-2826.258115097851,-5.675217098590062,-12.964486766503903
1d,14,-0.05,498,218,-2832.481951743202,-5.68771476253655,-12.993036475886248
1d,14,-0.01,498,218,-2833.768423190488,-5.690298038535117,-12.998937721057285
1d,18,1.5,498,220,-2879.611635759413,-5.782352682247817,-13.089143798906422
1d,7,-0.02,498,213,-2926.0492520576136,-5.875600907746212,-13.73732043219537
1d,18,2.5,498,220,-2933.904986630468,-5.891375475161582,-13.335931757411219
1d,12,2.5,498,215,-2948.2177978188597,-5.920116059877229,-13.71264092008772
1d,12,3.0,498,215,-2956.789662474694,-5.937328639507418,-13.752510058021834
1d,18,3.0,498,220,-2995.8665989700044,-6.015796383473904,-13.617575449863656
1d,14,-0.03,498,218,-3020.6042070588105,-6.065470295298816,-13.855982601187204
1d,7,-0.05,498,213,-3032.427764168497,-6.089212377848388,-14.236750066518766
1d,7,-0.03,498,213,-3035.777304624305,-6.095938362699408,-14.252475608564813
1d,21,1.5,498,220,-3043.650637813277,-6.111748268701359,-13.834775626423987
1d,5,1.5,498,204,-3047.5409789720607,-6.1195601987390775,-14.938926367510101
1d,14,2.5,498,218,-3061.0736857459533,-6.146734308726814,-14.041622411678684
1d,14,1.5,498,218,-3062.652985740676,-6.149905593856778,-14.048866907067321
1d,12,1.5,498,215,-3085.2254020799473,-6.195231731084232,-14.349885591069523
1d,14,2.0,498,218,-3111.8434205098292,-6.248681567288814,-14.274511103256097
1d,21,2.5,498,220,-3130.8941139701956,-6.286935971827702,-14.231336881682708
1d,5,-0.01,498,204,-3134.8500732663233,-6.29487966519342,-15.366912123854526
1d,14,3.0,498,218,-3178.797257437742,-6.383127022967353,-14.581638795585972
1d,5,2.5,498,204,-3179.34368825851,-6.3842242736114665,-15.58501807969858
1d,5,2.0,498,204,-3188.4327297948776,-6.402475361033891,-15.629572204876851
1d,5,-0.02,498,204,-3208.1753288860264,-6.44211913430929,-15.72634965140209
1d,12,2.0,498,215,-3241.9526410333574,-6.509945062315979,-15.078849493178407
1d,18,2.0,498,220,-3254.757759127702,-6.535658150858839,-14.794353450580463
1d,5,-0.05,498,204,-3297.188353294749,-6.620860147178211,-16.16268800634681
1d,21,3.0,498,220,-3328.7421425739094,-6.684221169827127,-15.13064610260868
1d,5,-0.03,498,204,-3373.7467139158207,-6.7745917950116885,-16.53797408782265
1d,21,2.0,498,220,-3389.386991518531,-6.805997974936809,-15.406304506902414
1d,5,3.0,498,204,-3434.0273471981,-6.895637243369679,-16.83346738822598
