run_id,original_symbol,resolved_symbol,official_symbol,security_name,exchange,is_etf,match_method,rejection_reason,updated_at
5fb1a1cd-7513-4085-a0c4-499d66c205ab,AAL,AAL,AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:24.441604+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,AAPL,AAPL,AAPL,Apple Inc. - Common Stock,NASDAQ,False,exact_symbol,,2026-06-25 07:20:24.460336+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,AB,AB,AB,AllianceBernstein Holding L.P.  Units,NYSE,False,exact_symbol,,2026-06-25 07:20:24.466355+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,ABNB,ABNB,ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:24.473756+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,ABT,ABT,ABT,Abbott Laboratories Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:24.482219+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,ACM,ACM,ACM,AECOM Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:24.490326+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,ACN,ACN,ACN,Accenture plc Class A Ordinary Shares (Ireland),NYSE,False,exact_symbol,,2026-06-25 07:20:24.500316+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,ADBE,ADBE,ADBE,Adobe Inc. - Common Stock,NASDAQ,False,exact_symbol,,2026-06-25 07:20:24.508339+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,ADI,ADI,ADI,"Analog Devices, Inc. - Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:24.516450+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,ADSK,ADSK,ADSK,"Autodesk, Inc. - Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:24.526324+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,AEO,AEO,AEO,"American Eagle Outfitters, Inc. Common Stock",NYSE,False,exact_symbol,,2026-06-25 07:20:24.534323+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,AFL,AFL,AFL,AFLAC Incorporated Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:24.542326+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,AKAM,AKAM,AKAM,"Akamai Technologies, Inc. - Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:24.550411+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,ALL,ALL,ALL,Allstate Corporation (The) Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:24.558319+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,ALLY,ALLY,ALLY,Ally Financial Inc. Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:24.568321+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,AMAT,AMAT,AMAT,"Applied Materials, Inc. - Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:24.576317+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,AMC,AMC,AMC,"AMC Entertainment Holdings, Inc. Class A Common Stock",NYSE,False,exact_symbol,,2026-06-25 07:20:24.592419+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,AMD,AMD,AMD,"Advanced Micro Devices, Inc. - Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:24.600423+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,AMP,AMP,AMP,"Ameriprise Financial, Inc. Common Stock",NYSE,False,exact_symbol,,2026-06-25 07:20:24.608382+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,AMPL,AMPL,AMPL,"Amplitude, Inc. - Class A Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:24.618440+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,AMZN,AMZN,AMZN,"Amazon.com, Inc. - Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:24.632841+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,ANF,ANF,ANF,Abercrombie & Fitch Company Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:24.640414+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,APLD,APLD,APLD,Applied Digital Corporation - Common Stock,NASDAQ,False,exact_symbol,,2026-06-25 07:20:24.652352+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,APO,APO,APO,"Apollo Global Management, Inc. (New) Common Stock",NYSE,False,exact_symbol,,2026-06-25 07:20:24.660311+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,APP,APP,APP,Applovin Corporation - Class A Common Stock,NASDAQ,False,exact_symbol,,2026-06-25 07:20:24.668617+00:00
