date,realized_daily_pnl,realized_signal_notional,daily_return,cumulative_pnl,drawdown
2025-06-24,-153.60391432274326,2000.0,-0.07680195716137163,-153.60391432274326,-153.60391432274326
2025-06-25,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-06-26,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-06-27,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-06-30,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-07-01,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-07-02,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-07-03,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-07-04,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-07-07,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-07-08,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-07-09,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-07-10,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-07-11,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-07-14,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-07-15,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-07-16,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-07-17,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-07-18,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-07-21,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-07-22,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-07-23,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-07-24,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-07-25,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-07-28,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-07-29,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-07-30,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-07-31,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-08-01,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-08-04,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-08-05,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-08-06,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-08-07,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-08-08,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-08-11,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-08-12,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-08-13,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-08-14,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-08-15,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-08-18,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-08-19,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-08-20,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-08-21,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-08-22,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-08-25,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-08-26,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-08-27,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-08-28,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-08-29,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-09-01,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-09-02,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-09-03,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-09-04,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-09-05,0.0,0.0,0.0,-153.60391432274326,-153.60391432274326
2025-09-08,-36.04316384004024,1000.0,-0.03604316384004024,-189.64707816278352,-189.64707816278352
2025-09-09,0.0,0.0,0.0,-189.64707816278352,-189.64707816278352
2025-09-10,0.0,0.0,0.0,-189.64707816278352,-189.64707816278352
2025-09-11,0.0,0.0,0.0,-189.64707816278352,-189.64707816278352
2025-09-12,0.0,0.0,0.0,-189.64707816278352,-189.64707816278352
2025-09-15,0.0,0.0,0.0,-189.64707816278352,-189.64707816278352
2025-09-16,0.0,0.0,0.0,-189.64707816278352,-189.64707816278352
2025-09-17,0.0,0.0,0.0,-189.64707816278352,-189.64707816278352
2025-09-18,0.0,0.0,0.0,-189.64707816278352,-189.64707816278352
2025-09-19,0.0,0.0,0.0,-189.64707816278352,-189.64707816278352
2025-09-22,0.0,0.0,0.0,-189.64707816278352,-189.64707816278352
2025-09-23,0.0,0.0,0.0,-189.64707816278352,-189.64707816278352
2025-09-24,0.0,0.0,0.0,-189.64707816278352,-189.64707816278352
2025-09-25,0.0,0.0,0.0,-189.64707816278352,-189.64707816278352
2025-09-26,0.0,0.0,0.0,-189.64707816278352,-189.64707816278352
2025-09-29,0.0,0.0,0.0,-189.64707816278352,-189.64707816278352
2025-09-30,0.0,0.0,0.0,-189.64707816278352,-189.64707816278352
2025-10-01,0.0,0.0,0.0,-189.64707816278352,-189.64707816278352
2025-10-02,0.0,0.0,0.0,-189.64707816278352,-189.64707816278352
2025-10-03,0.0,0.0,0.0,-189.64707816278352,-189.64707816278352
2025-10-06,0.0,0.0,0.0,-189.64707816278352,-189.64707816278352
2025-10-07,0.0,0.0,0.0,-189.64707816278352,-189.64707816278352
2025-10-08,0.0,0.0,0.0,-189.64707816278352,-189.64707816278352
2025-10-09,0.0,0.0,0.0,-189.64707816278352,-189.64707816278352
2025-10-10,0.0,0.0,0.0,-189.64707816278352,-189.64707816278352
2025-10-13,0.0,0.0,0.0,-189.64707816278352,-189.64707816278352
2025-10-14,0.0,0.0,0.0,-189.64707816278352,-189.64707816278352
2025-10-15,0.0,0.0,0.0,-189.64707816278352,-189.64707816278352
2025-10-16,0.0,0.0,0.0,-189.64707816278352,-189.64707816278352
