work_key,payload,result
1004539:1:USO,"{""symbol"": ""USO"", ""market_id"": ""1004539"", ""pass_number"": 1}","{""model_status"": ""semantic_long_only_excluded"", ""trades_opened"": 0, ""semantic_group"": null, ""entry_decisions"": [{""opened"": false, ""reason"": ""semantic_group_not_positive_long_beneficiary"", ""semantic_group"": null, ""semantic_reason"": ""Explicit military-escalation Yes outcome; no conservative supported asset role"", ""strategy_branch"": ""none""}], ""yes_outcome_polarity"": ""ambiguous""}"
1069150:1:DAL,"{""symbol"": ""DAL"", ""market_id"": ""1069150"", ""pass_number"": 1}","{""model_status"": ""trained"", ""trades_opened"": 0, ""semantic_group"": ""earnings_beat+direct_company"", ""entry_decisions"": [{""opened"": false, ""reason"": ""semantic_long_only_rejects_short_prediction"", ""direction"": ""short"", ""portfolio"": ""machine_learning"", ""remaining_gap"": 0.021329134479327584, ""target_reached"": false, ""strategy_branch"": ""machine_learning"", ""directions_agree"": true, ""predicted_peak_percent"": -0.02031951048284506, ""predicted_target_price"": 67.93104155542241, ""realized_move_at_entry"": 0.0010096239964825227, ""classification_probability"": 0.37003277628769987, ""price_confirmation_momentum"": null, ""polymarket_volume_statistics"": {""reason"": ""polymarket_volume_quality_confirmed"", ""allowed"": true, ""gate_applied"": false, ""largest_hour_share"": 1.0, ""active_volume_hours"": 1, ""pre_entry_volume_usdc"": 19.999985000000002, ""largest_hour_volume_usdc"": 19.999985000000002, ""median_active_hour_volume_usdc"": 19.999985000000002, ""latest_completed_hour_volume_usdc"": 0.0}}], ""yes_outcome_polarity"": ""positive""}"
1090518:1:USO,"{""symbol"": ""USO"", ""market_id"": ""1090518"", ""pass_number"": 1}","{""model_status"": ""trained"", ""trades_opened"": 0, ""semantic_group"": ""military_escalation+energy_beneficiary"", ""entry_decisions"": [{""opened"": false, ""reason"": ""semantic_long_only_rejects_short_prediction"", ""direction"": ""short"", ""portfolio"": ""machine_learning"", ""remaining_gap"": 0.01213690915464807, ""target_reached"": true, ""strategy_branch"": ""machine_learning"", ""directions_agree"": false, ""predicted_peak_percent"": 0.006725384705600714, ""predicted_target_price"": 70.69225774294011, ""realized_move_at_entry"": 0.005411524449047356, ""classification_probability"": 0.3510344052132265, ""price_confirmation_momentum"": null, ""polymarket_volume_statistics"": {""reason"": ""polymarket_volume_quality_confirmed"", ""allowed"": true, ""gate_applied"": false, ""largest_hour_share"": 1.0, ""active_volume_hours"": 1, ""pre_entry_volume_usdc"": 56.709998999999996, ""largest_hour_volume_usdc"": 56.709998999999996, ""median_active_hour_volume_usdc"": 56.709998999999996, ""latest_completed_hour_volume_usdc"": 56.709998999999996}}], ""yes_outcome_polarity"": ""positive""}"
1090519:1:USO,"{""symbol"": ""USO"", ""market_id"": ""1090519"", ""pass_number"": 1}","{""model_status"": ""trained"", ""trades_opened"": 0, ""semantic_group"": ""military_escalation+energy_beneficiary"", ""entry_decisions"": [{""opened"": false, ""reason"": ""semantic_long_only_rejects_short_prediction"", ""direction"": ""short"", ""portfolio"": ""machine_learning"", ""remaining_gap"": 0.01213690915464807, ""target_reached"": true, ""strategy_branch"": ""machine_learning"", ""directions_agree"": false, ""predicted_peak_percent"": 0.006725384705600714, ""predicted_target_price"": 70.69225774294011, ""realized_move_at_entry"": 0.005411524449047356, ""classification_probability"": 0.3510344052132265, ""price_confirmation_momentum"": null, ""polymarket_volume_statistics"": {""reason"": ""polymarket_volume_not_significant"", ""allowed"": false, ""gate_applied"": false, ""largest_hour_share"": null, ""active_volume_hours"": 0, ""pre_entry_volume_usdc"": 0.0, ""largest_hour_volume_usdc"": 0.0, ""median_active_hour_volume_usdc"": null, ""latest_completed_hour_volume_usdc"": 0.0}}], ""yes_outcome_polarity"": ""positive""}"
1099134:1:BAC,"{""symbol"": ""BAC"", ""market_id"": ""1099134"", ""pass_number"": 1}","{""model_status"": ""trained"", ""trades_opened"": 0, ""semantic_group"": ""earnings_beat+direct_company"", ""entry_decisions"": [{""opened"": false, ""reason"": ""semantic_long_only_rejects_short_prediction"", ""direction"": ""short"", ""portfolio"": ""machine_learning"", ""remaining_gap"": 0.024804785791697835, ""target_reached"": true, ""strategy_branch"": ""machine_learning"", ""directions_agree"": true, ""predicted_peak_percent"": -0.0208727499917701, ""predicted_target_price"": 54.78217038497527, ""realized_move_at_entry"": 0.0039320357999277356, ""classification_probability"": 0.38867678584772847, ""price_confirmation_momentum"": null, ""polymarket_volume_statistics"": {""reason"": ""polymarket_volume_quality_confirmed"", ""allowed"": true, ""gate_applied"": false, ""largest_hour_share"": 1.0, ""active_volume_hours"": 1, ""pre_entry_volume_usdc"": 19.999989, ""largest_hour_volume_usdc"": 19.999989, ""median_active_hour_volume_usdc"": 19.999989, ""latest_completed_hour_volume_usdc"": 0.0}}], ""yes_outcome_polarity"": ""positive""}"
1099135:1:WFC,"{""symbol"": ""WFC"", ""market_id"": ""1099135"", ""pass_number"": 1}","{""model_status"": ""trained"", ""trades_opened"": 1, ""semantic_group"": ""earnings_beat+direct_company"", ""entry_decisions"": [{""opened"": true, ""reason"": ""opened"", ""entry_at"": ""2026-01-05 14:30:00+00:00"", ""trade_id"": ""8b844964-cc27-4263-9c50-28a604dfa171"", ""direction"": ""long"", ""portfolio"": ""machine_learning"", ""remaining_gap"": 0.011379928120240076, ""target_reached"": true, ""strategy_branch"": ""machine_learning"", ""directions_agree"": true, ""probability_at_entry"": 0.915, ""predicted_peak_percent"": 0.010224459487070233, ""predicted_target_price"": 96.1733654602087, ""realized_move_at_entry"": -0.0011554686331698427, ""classification_probability"": 0.5723692242922432, ""price_confirmation_momentum"": 0.028188796993001697, ""polymarket_volume_statistics"": {""reason"": ""polymarket_volume_not_significant"", ""allowed"": false, ""gate_applied"": false, ""largest_hour_share"": null, ""active_volume_hours"": 0, ""pre_entry_volume_usdc"": 0.0, ""largest_hour_volume_usdc"": 0.0, ""median_active_hour_volume_usdc"": null, ""latest_completed_hour_volume_usdc"": 0.0}}], ""yes_outcome_polarity"": ""positive""}"
1099148:1:C,"{""symbol"": ""C"", ""market_id"": ""1099148"", ""pass_number"": 1}","{""model_status"": ""trained"", ""trades_opened"": 0, ""semantic_group"": ""earnings_beat+direct_company"", ""entry_decisions"": [{""opened"": false, ""reason"": ""semantic_long_only_rejects_short_prediction"", ""direction"": ""short"", ""portfolio"": ""machine_learning"", ""remaining_gap"": 0.028051676238688893, ""target_reached"": false, ""strategy_branch"": ""machine_learning"", ""directions_agree"": true, ""predicted_peak_percent"": -0.022912665067378123, ""predicted_target_price"": 115.98026367466831, ""realized_move_at_entry"": 0.00513901117131077, ""classification_probability"": 0.39001698710126464, ""price_confirmation_momentum"": null, ""polymarket_volume_statistics"": {""reason"": ""polymarket_volume_not_significant"", ""allowed"": false, ""gate_applied"": false, ""largest_hour_share"": 1.0, ""active_volume_hours"": 1, ""pre_entry_volume_usdc"": 9.999995, ""largest_hour_volume_usdc"": 9.999995, ""median_active_hour_volume_usdc"": 9.999995, ""latest_completed_hour_volume_usdc"": 0.0}}], ""yes_outcome_polarity"": ""positive""}"
1099149:1:MS,"{""symbol"": ""MS"", ""market_id"": ""1099149"", ""pass_number"": 1}","{""model_status"": ""trained"", ""trades_opened"": 1, ""semantic_group"": ""earnings_beat+direct_company"", ""entry_decisions"": [{""opened"": true, ""reason"": ""opened"", ""entry_at"": ""2026-01-05 14:30:00+00:00"", ""trade_id"": ""7f00932e-3ed8-4e8f-8d19-479fe5c3aa94"", ""direction"": ""long"", ""portfolio"": ""machine_learning"", ""remaining_gap"": 0.002539104354721939, ""target_reached"": true, ""strategy_branch"": ""machine_learning"", ""directions_agree"": true, ""probability_at_entry"": 0.935, ""predicted_peak_percent"": 0.004188379021155104, ""predicted_target_price"": 182.66186001486867, ""realized_move_at_entry"": 0.0016492746664331648, ""classification_probability"": 0.5412045631333698, ""price_confirmation_momentum"": 0.008930060848115762, ""polymarket_volume_statistics"": {""reason"": ""polymarket_volume_not_significant"", ""allowed"": false, ""gate_applied"": false, ""largest_hour_share"": null, ""active_volume_hours"": 0, ""pre_entry_volume_usdc"": 0.0, ""largest_hour_volume_usdc"": 0.0, ""median_active_hour_volume_usdc"": null, ""latest_completed_hour_volume_usdc"": 0.0}}], ""yes_outcome_polarity"": ""positive""}"
1099181:1:GS,"{""symbol"": ""GS"", ""market_id"": ""1099181"", ""pass_number"": 1}","{""model_status"": ""trained"", ""trades_opened"": 1, ""semantic_group"": ""earnings_beat+direct_company"", ""entry_decisions"": [{""opened"": true, ""reason"": ""opened"", ""entry_at"": ""2026-01-05 14:30:00+00:00"", ""trade_id"": ""da843806-17da-4eca-a4a4-b41ae5644c80"", ""direction"": ""long"", ""portfolio"": ""machine_learning"", ""remaining_gap"": 0.01083854958125776, ""target_reached"": true, ""strategy_branch"": ""machine_learning"", ""directions_agree"": true, ""probability_at_entry"": 0.935, ""predicted_peak_percent"": 0.010904168012947822, ""predicted_target_price"": 924.310144129264, ""realized_move_at_entry"": 0.0000656184316900621, ""classification_probability"": 0.5730729346939205, ""price_confirmation_momentum"": 0.0036332474804900983, ""polymarket_volume_statistics"": {""reason"": ""polymarket_volume_not_significant"", ""allowed"": false, ""gate_applied"": false, ""largest_hour_share"": null, ""active_volume_hours"": 0, ""pre_entry_volume_usdc"": 0.0, ""largest_hour_volume_usdc"": 0.0, ""median_active_hour_volume_usdc"": null, ""latest_completed_hour_volume_usdc"": 0.0}}], ""yes_outcome_polarity"": ""positive""}"
1099182:1:PNC,"{""symbol"": ""PNC"", ""market_id"": ""1099182"", ""pass_number"": 1}","{""model_status"": ""trained"", ""trades_opened"": 0, ""semantic_group"": ""earnings_beat+direct_company"", ""entry_decisions"": [{""opened"": false, ""reason"": ""semantic_long_only_rejects_short_prediction"", ""direction"": ""short"", ""portfolio"": ""machine_learning"", ""remaining_gap"": 0.022971429046070507, ""target_reached"": false, ""strategy_branch"": ""machine_learning"", ""directions_agree"": true, ""predicted_peak_percent"": -0.021600043077445213, ""predicted_target_price"": 206.8924614596908, ""realized_move_at_entry"": 0.0013713859686252938, ""classification_probability"": 0.3774192180803523, ""price_confirmation_momentum"": null, ""polymarket_volume_statistics"": {""reason"": ""polymarket_volume_not_significant"", ""allowed"": false, ""gate_applied"": false, ""largest_hour_share"": 1.0, ""active_volume_hours"": 1, ""pre_entry_volume_usdc"": 9.999989, ""largest_hour_volume_usdc"": 9.999989, ""median_active_hour_volume_usdc"": 9.999989, ""latest_completed_hour_volume_usdc"": 0.0}}], ""yes_outcome_polarity"": ""positive""}"
