observation_id,run_id,event_id,market_id,first_pass_number,first_pass_at,label_available_at,symbol,event_archetype,resolution,features,research_data,classification_target,regression_target,valid_for_training,exclusion_reason,created_at
7af0e43d-9001-4aaa-a3ff-d1a3048b104c,5fb1a1cd-7513-4085-a0c4-499d66c205ab,11804,504421,1,2024-08-01 19:00:00+00:00,2024-08-31 12:00:00+00:00,USO,military_escalation+energy_beneficiary,1d,"{""asset_ytd_change"": 0.16639153914474547, ""spy_two_week_trend"": -0.011006580342480254, ""asset_two_week_trend"": -0.035723204970178446, ""sector_one_month_trend"": -0.04660293118827019, ""query_runup_since_creation"": 0.0, ""polymarket_pre_entry_volume_log"": 0.0, ""polymarket_crossing_latency_days"": 0.10472107326388888, ""polymarket_probability_slope_24h"": 0.0, ""polymarket_probability_at_trigger"": 0.57, ""polymarket_probability_volatility"": 0.0, ""polymarket_time_to_resolution_days"": 29.708333333333332, ""query_elapsed_fraction_at_crossing"": 0.003512591223820245}","{""maximum_change"": 0.01144841026633503, ""minimum_change"": -0.0680473509247771, ""anchor_close_at"": ""2024-07-31 13:30:00+00:00"", ""event_path_rows"": 194, ""event_open_price"": 77.73999786376953, ""terminal_close_at"": ""2024-08-30 13:30:00+00:00"", ""anchor_close_price"": 77.73999786376953, ""current_probability"": 0.57, ""previous_pass_count"": 0, ""benchmark_references"": [""SPY"", ""QQQ"", ""IWM"", ""TLT"", ""USO""], ""price_path_reference"": {""symbol"": ""USO"", ""resolution"": ""1d""}, ""terminal_close_price"": 74.33999633789062, ""post_threshold_path_rows"": 22, ""benchmark_two_week_returns"": {""IWM"": 0.007244097234427649, ""QQQ"": -0.022209730646276293, ""SPY"": -0.011006580342480254, ""TLT"": 0.006582387738796269, ""USO"": -0.035723204970178446}, ""recent_probability_changes"": {""one_hour"": null, ""twenty_four_hours"": null}, ""latest_completed_daily_volume"": 4582800.0}",-1,-0.0680473509247771,True,,2026-06-25 07:22:59.092067+00:00
83583c8f-993b-4162-af20-442543d5ba8c,5fb1a1cd-7513-4085-a0c4-499d66c205ab,11804,504421,1,2024-08-01 19:00:00+00:00,2024-08-31 12:00:00+00:00,XLE,military_escalation+energy_beneficiary,1d,"{""asset_ytd_change"": 0.11176053382468187, ""spy_two_week_trend"": -0.011006580342480254, ""asset_two_week_trend"": -0.00010729603196191206, ""sector_one_month_trend"": 0.022039497845281586, ""query_runup_since_creation"": 0.0, ""polymarket_pre_entry_volume_log"": 0.0, ""polymarket_crossing_latency_days"": 0.10472107326388888, ""polymarket_probability_slope_24h"": 0.0, ""polymarket_probability_at_trigger"": 0.57, ""polymarket_probability_volatility"": 0.0, ""polymarket_time_to_resolution_days"": 29.708333333333332, ""query_elapsed_fraction_at_crossing"": 0.003512591223820245}","{""maximum_change"": -0.020705936317268914, ""minimum_change"": -0.072524430883259, ""anchor_close_at"": ""2024-07-31 13:30:00+00:00"", ""event_path_rows"": 194, ""event_open_price"": 46.60499954223633, ""terminal_close_at"": ""2024-08-30 13:30:00+00:00"", ""anchor_close_price"": 46.60499954223633, ""current_probability"": 0.57, ""previous_pass_count"": 0, ""benchmark_references"": [""SPY"", ""QQQ"", ""IWM"", ""TLT"", ""XLE""], ""price_path_reference"": {""symbol"": ""XLE"", ""resolution"": ""1d""}, ""terminal_close_price"": 45.63999938964844, ""post_threshold_path_rows"": 22, ""benchmark_two_week_returns"": {""IWM"": 0.007244097234427649, ""QQQ"": -0.022209730646276293, ""SPY"": -0.011006580342480254, ""TLT"": 0.006582387738796269, ""XLE"": -0.00010729603196191206}, ""recent_probability_changes"": {""one_hour"": null, ""twenty_four_hours"": null}, ""latest_completed_daily_volume"": 36173800.0}",-1,-0.072524430883259,True,,2026-06-25 07:22:59.222200+00:00
6653c023-27b5-4e34-9a11-f03d2d927af1,5fb1a1cd-7513-4085-a0c4-499d66c205ab,12942,508431,1,2024-10-01 17:00:00+00:00,2024-10-31 12:00:00+00:00,USO,military_escalation+energy_beneficiary,1d,"{""asset_ytd_change"": 0.04906221407657019, ""spy_two_week_trend"": 0.019401574850966385, ""asset_two_week_trend"": -0.013544005666935366, ""sector_one_month_trend"": -0.05945652928008649, ""query_runup_since_creation"": -0.004980766911074408, ""polymarket_pre_entry_volume_log"": 3.637586133410596, ""polymarket_crossing_latency_days"": 0.9055919980439815, ""polymarket_probability_slope_24h"": 0.0, ""polymarket_probability_at_trigger"": 0.565, ""polymarket_probability_volatility"": 0.0, ""polymarket_time_to_resolution_days"": 29.791666666666668, ""query_elapsed_fraction_at_crossing"": 0.029500744934108522}","{""maximum_change"": 0.1327230981453107, ""minimum_change"": -0.0037184570029267228, ""anchor_close_at"": ""2024-09-30 13:30:00+00:00"", ""event_path_rows"": 236, ""event_open_price"": 69.91999816894531, ""terminal_close_at"": ""2024-10-30 13:30:00+00:00"", ""anchor_close_price"": 69.91999816894531, ""current_probability"": 0.565, ""previous_pass_count"": 0, ""benchmark_references"": [""SPY"", ""QQQ"", ""IWM"", ""TLT"", ""USO""], ""price_path_reference"": {""symbol"": ""USO"", ""resolution"": ""1d""}, ""terminal_close_price"": 71.36000061035156, ""post_threshold_path_rows"": 22, ""benchmark_two_week_returns"": {""IWM"": 0.01507283107438595, ""QQQ"": 0.031337201833892214, ""SPY"": 0.019401574850966385, ""TLT"": -0.031876081106945064, ""USO"": -0.013544005666935366}, ""recent_probability_changes"": {""one_hour"": null, ""twenty_four_hours"": null}, ""latest_completed_daily_volume"": 2338500.0}",1,0.1327230981453107,True,,2026-06-25 07:22:59.640284+00:00
1521e2da-c3f7-45ec-b1f6-b01108013126,5fb1a1cd-7513-4085-a0c4-499d66c205ab,13144,508672,1,2024-10-02 18:00:00+00:00,2024-10-31 12:00:00+00:00,USO,military_escalation+energy_beneficiary,1d,"{""asset_ytd_change"": 0.08192046450820634, ""spy_two_week_trend"": 0.009856656758087778, ""asset_two_week_trend"": 0.005437805117268324, ""sector_one_month_trend"": -0.029997253664141632, ""query_runup_since_creation"": 0.0, ""polymarket_pre_entry_volume_log"": 0.0, ""polymarket_crossing_latency_days"": 0.08966376972222222, ""polymarket_probability_slope_24h"": 0.0, ""polymarket_probability_at_trigger"": 0.68, ""polymarket_probability_volatility"": 0.0, ""polymarket_time_to_resolution_days"": 28.75, ""query_elapsed_fraction_at_crossing"": 0.003109043518612625}","{""maximum_change"": 0.09832195642601116, ""minimum_change"": -0.033975827589862506, ""anchor_close_at"": ""2024-10-01 13:30:00+00:00"", ""event_path_rows"": 236, ""event_open_price"": 72.11000061035156, ""terminal_close_at"": ""2024-10-30 13:30:00+00:00"", ""anchor_close_price"": 72.11000061035156, ""current_probability"": 0.68, ""previous_pass_count"": 0, ""benchmark_references"": [""SPY"", ""QQQ"", ""IWM"", ""TLT"", ""USO""], ""price_path_reference"": {""symbol"": ""USO"", ""resolution"": ""1d""}, ""terminal_close_price"": 71.36000061035156, ""post_threshold_path_rows"": 21, ""benchmark_two_week_returns"": {""IWM"": -0.006927689016412164, ""QQQ"": 0.016431178989540607, ""SPY"": 0.009856656758087778, ""TLT"": -0.023304230062115572, ""USO"": 0.005437805117268324}, ""recent_probability_changes"": {""one_hour"": null, ""twenty_four_hours"": null}, ""latest_completed_daily_volume"": 13945000.0}",-1,-0.033975827589862506,True,,2026-06-25 07:22:59.832138+00:00
a387ff02-be20-4e24-a9e3-beeca97ff255,5fb1a1cd-7513-4085-a0c4-499d66c205ab,13144,508672,1,2024-10-02 18:00:00+00:00,2024-10-31 12:00:00+00:00,XLE,military_escalation+energy_beneficiary,1d,"{""asset_ytd_change"": 0.07108786944416434, ""spy_two_week_trend"": 0.009856656758087778, ""asset_two_week_trend"": 0.02347851878440621, ""sector_one_month_trend"": -0.016213800912919574, ""query_runup_since_creation"": 0.0, ""polymarket_pre_entry_volume_log"": 0.0, ""polymarket_crossing_latency_days"": 0.08966376972222222, ""polymarket_probability_slope_24h"": 0.0, ""polymarket_probability_at_trigger"": 0.68, ""polymarket_probability_volatility"": 0.0, ""polymarket_time_to_resolution_days"": 28.75, ""query_elapsed_fraction_at_crossing"": 0.003109043518612625}","{""maximum_change"": 0.04131401958120562, ""minimum_change"": -0.021826354646530488, ""anchor_close_at"": ""2024-10-01 13:30:00+00:00"", ""event_path_rows"": 236, ""event_open_price"": 44.900001525878906, ""terminal_close_at"": ""2024-10-30 13:30:00+00:00"", ""anchor_close_price"": 44.900001525878906, ""current_probability"": 0.68, ""previous_pass_count"": 0, ""benchmark_references"": [""SPY"", ""QQQ"", ""IWM"", ""TLT"", ""XLE""], ""price_path_reference"": {""symbol"": ""XLE"", ""resolution"": ""1d""}, ""terminal_close_price"": 44.02000045776367, ""post_threshold_path_rows"": 21, ""benchmark_two_week_returns"": {""IWM"": -0.006927689016412164, ""QQQ"": 0.016431178989540607, ""SPY"": 0.009856656758087778, ""TLT"": -0.023304230062115572, ""XLE"": 0.02347851878440621}, ""recent_probability_changes"": {""one_hour"": null, ""twenty_four_hours"": null}, ""latest_completed_daily_volume"": 66114200.0}",-1,-0.021826354646530488,True,,2026-06-25 07:22:59.960035+00:00
ff059ffc-049a-445e-8cd4-5bc412f7bd7e,5fb1a1cd-7513-4085-a0c4-499d66c205ab,13228,509050,1,2024-10-07 22:00:00+00:00,2024-10-13 12:00:00+00:00,USO,military_escalation+energy_beneficiary,1d,"{""asset_ytd_change"": 0.18829700127599192, ""spy_two_week_trend"": -0.00328259373547235, ""asset_two_week_trend"": 0.09619372938743509, ""sector_one_month_trend"": 0.14899168138107877, ""query_runup_since_creation"": 0.037328075063250976, ""polymarket_pre_entry_volume_log"": 4.305746017496859, ""polymarket_crossing_latency_days"": 0.29127599751157407, ""polymarket_probability_slope_24h"": 0.0, ""polymarket_probability_at_trigger"": 0.58, ""polymarket_probability_volatility"": 0.0846592434409852, ""polymarket_time_to_resolution_days"": 5.583333333333333, ""query_elapsed_fraction_at_crossing"": 0.04958219025428908}","{""maximum_change"": -0.018055560104507262, ""minimum_change"": -0.049873700763189976, ""anchor_close_at"": ""2024-10-07 13:30:00+00:00"", ""event_path_rows"": 223, ""event_open_price"": 79.19999694824219, ""terminal_close_at"": ""2024-10-11 13:30:00+00:00"", ""anchor_close_price"": 79.19999694824219, ""current_probability"": 0.58, ""previous_pass_count"": 0, ""benchmark_references"": [""SPY"", ""QQQ"", ""IWM"", ""TLT"", ""USO""], ""price_path_reference"": {""symbol"": ""USO"", ""resolution"": ""1d""}, ""terminal_close_price"": 77.48999786376953, ""post_threshold_path_rows"": 4, ""benchmark_two_week_returns"": {""IWM"": -0.015084263063575909, ""QQQ"": -0.0019460136319512378, ""SPY"": -0.00328259373547235, ""TLT"": -0.03891756774248323, ""USO"": 0.09619372938743509}, ""recent_probability_changes"": {""one_hour"": 0.18499999999999994, ""twenty_four_hours"": null}, ""latest_completed_daily_volume"": 4353500.0}",-1,-0.049873700763189976,True,,2026-06-25 07:23:00.090293+00:00
8360df1b-5843-40e4-b874-70e260f69ba3,5fb1a1cd-7513-4085-a0c4-499d66c205ab,13228,509050,1,2024-10-07 22:00:00+00:00,2024-10-13 12:00:00+00:00,XLE,military_escalation+energy_beneficiary,1d,"{""asset_ytd_change"": 0.1153388146555725, ""spy_two_week_trend"": -0.00328259373547235, ""asset_two_week_trend"": 0.049259417126945815, ""sector_one_month_trend"": 0.08719916072227063, ""query_runup_since_creation"": 0.0035415521568351593, ""polymarket_pre_entry_volume_log"": 4.305746017496859, ""polymarket_crossing_latency_days"": 0.29127599751157407, ""polymarket_probability_slope_24h"": 0.0, ""polymarket_probability_at_trigger"": 0.58, ""polymarket_probability_volatility"": 0.0846592434409852, ""polymarket_time_to_resolution_days"": 5.583333333333333, ""query_elapsed_fraction_at_crossing"": 0.04958219025428908}","{""maximum_change"": -0.007485879174902732, ""minimum_change"": -0.026093491451871897, ""anchor_close_at"": ""2024-10-07 13:30:00+00:00"", ""event_path_rows"": 223, ""event_open_price"": 46.755001068115234, ""terminal_close_at"": ""2024-10-11 13:30:00+00:00"", ""anchor_close_price"": 46.755001068115234, ""current_probability"": 0.58, ""previous_pass_count"": 0, ""benchmark_references"": [""SPY"", ""QQQ"", ""IWM"", ""TLT"", ""XLE""], ""price_path_reference"": {""symbol"": ""XLE"", ""resolution"": ""1d""}, ""terminal_close_price"": 46.404998779296875, ""post_threshold_path_rows"": 4, ""benchmark_two_week_returns"": {""IWM"": -0.015084263063575909, ""QQQ"": -0.0019460136319512378, ""SPY"": -0.00328259373547235, ""TLT"": -0.03891756774248323, ""XLE"": 0.049259417126945815}, ""recent_probability_changes"": {""one_hour"": 0.18499999999999994, ""twenty_four_hours"": null}, ""latest_completed_daily_volume"": 32519400.0}",-1,-0.026093491451871897,True,,2026-06-25 07:23:00.226238+00:00
9edc9354-b844-487e-98cf-f820c2d73511,5fb1a1cd-7513-4085-a0c4-499d66c205ab,13385,509713,1,2024-10-12 10:00:00+00:00,2024-10-20 12:00:00+00:00,XLE,military_escalation+energy_beneficiary,1d,"{""asset_ytd_change"": 0.10698952304998155, ""spy_two_week_trend"": 0.014191553016758451, ""asset_two_week_trend"": 0.06445687532769906, ""sector_one_month_trend"": 0.1002963750742476, ""query_runup_since_creation"": 0.0, ""polymarket_pre_entry_volume_log"": 0.0, ""polymarket_crossing_latency_days"": 0.5520019073611111, ""polymarket_probability_slope_24h"": 0.0, ""polymarket_probability_at_trigger"": 0.575, ""polymarket_probability_volatility"": 0.07145317036742005, ""polymarket_time_to_resolution_days"": 8.083333333333334, ""query_elapsed_fraction_at_crossing"": 0.06392362218432178}","{""maximum_change"": -0.00043099791595291315, ""minimum_change"": -0.03264733174229362, ""anchor_close_at"": ""2024-10-11 13:30:00+00:00"", ""event_path_rows"": 228, ""event_open_price"": 46.404998779296875, ""terminal_close_at"": ""2024-10-18 13:30:00+00:00"", ""anchor_close_price"": 46.404998779296875, ""current_probability"": 0.575, ""previous_pass_count"": 0, ""benchmark_references"": [""SPY"", ""QQQ"", ""IWM"", ""TLT"", ""XLE""], ""price_path_reference"": {""symbol"": ""XLE"", ""resolution"": ""1d""}, ""terminal_close_price"": 45.16999816894531, ""post_threshold_path_rows"": 5, ""benchmark_two_week_returns"": {""IWM"": 0.004220908038181426, ""QQQ"": 0.013579836366846454, ""SPY"": 0.014191553016758451, ""TLT"": -0.049406541155115224, ""XLE"": 0.06445687532769906}, ""recent_probability_changes"": {""one_hour"": 0.19499999999999995, ""twenty_four_hours"": null}, ""latest_completed_daily_volume"": 26414600.0}",-1,-0.03264733174229362,True,,2026-06-25 07:23:00.494529+00:00
00e16268-9ae8-41b7-a542-85a706ff7818,5fb1a1cd-7513-4085-a0c4-499d66c205ab,13385,509713,1,2024-10-12 10:00:00+00:00,2024-10-20 12:00:00+00:00,USO,military_escalation+energy_beneficiary,1d,"{""asset_ytd_change"": 0.16264060149618542, ""spy_two_week_trend"": 0.014191553016758451, ""asset_two_week_trend"": 0.10274657130520204, ""sector_one_month_trend"": 0.14207810768522355, ""query_runup_since_creation"": 0.0, ""polymarket_pre_entry_volume_log"": 0.0, ""polymarket_crossing_latency_days"": 0.5520019073611111, ""polymarket_probability_slope_24h"": 0.0, ""polymarket_probability_at_trigger"": 0.575, ""polymarket_probability_volatility"": 0.07145317036742005, ""polymarket_time_to_resolution_days"": 8.083333333333334, ""query_elapsed_fraction_at_crossing"": 0.06392362218432178}","{""maximum_change"": -0.0201315989366303, ""minimum_change"": -0.0788488937771451, ""anchor_close_at"": ""2024-10-11 13:30:00+00:00"", ""event_path_rows"": 228, ""event_open_price"": 77.48999786376953, ""terminal_close_at"": ""2024-10-18 13:30:00+00:00"", ""anchor_close_price"": 77.48999786376953, ""current_probability"": 0.575, ""previous_pass_count"": 0, ""benchmark_references"": [""SPY"", ""QQQ"", ""IWM"", ""TLT"", ""USO""], ""price_path_reference"": {""symbol"": ""USO"", ""resolution"": ""1d""}, ""terminal_close_price"": 71.37999725341797, ""post_threshold_path_rows"": 5, ""benchmark_two_week_returns"": {""IWM"": 0.004220908038181426, ""QQQ"": 0.013579836366846454, ""SPY"": 0.014191553016758451, ""TLT"": -0.049406541155115224, ""USO"": 0.10274657130520204}, ""recent_probability_changes"": {""one_hour"": 0.19499999999999995, ""twenty_four_hours"": null}, ""latest_completed_daily_volume"": 3642400.0}",-1,-0.0788488937771451,True,,2026-06-25 07:23:00.352131+00:00
035b8ac1-1622-4b02-8884-3da21cb95a22,5fb1a1cd-7513-4085-a0c4-499d66c205ab,13431,509855,1,2024-10-26 14:00:00+00:00,2024-10-31 12:00:00+00:00,USO,military_escalation+energy_beneficiary,1d,"{""asset_ytd_change"": 0.11372845697702672, ""spy_two_week_trend"": -0.0009317765391767541, ""asset_two_week_trend"": -0.04206987478006052, ""sector_one_month_trend"": 0.038472298137255834, ""query_runup_since_creation"": -0.02238900225746876, ""polymarket_pre_entry_volume_log"": 0.0, ""polymarket_crossing_latency_days"": 11.627998408668981, ""polymarket_probability_slope_24h"": 0.7050000000000001, ""polymarket_probability_at_trigger"": 0.8, ""polymarket_probability_volatility"": 0.08388126457019644, ""polymarket_time_to_resolution_days"": 4.916666666666667, ""query_elapsed_fraction_at_crossing"": 0.7028246480494607}","{""maximum_change"": -0.03866364834690461, ""minimum_change"": -0.061565397927431875, ""anchor_close_at"": ""2024-10-25 13:30:00+00:00"", ""event_path_rows"": 236, ""event_open_price"": 74.2300033569336, ""terminal_close_at"": ""2024-10-30 13:30:00+00:00"", ""anchor_close_price"": 74.2300033569336, ""current_probability"": 0.8, ""previous_pass_count"": 0, ""benchmark_references"": [""SPY"", ""QQQ"", ""IWM"", ""TLT"", ""USO""], ""price_path_reference"": {""symbol"": ""USO"", ""resolution"": ""1d""}, ""terminal_close_price"": 71.36000061035156, ""post_threshold_path_rows"": 3, ""benchmark_two_week_returns"": {""IWM"": -0.010711358474314148, ""QQQ"": 0.003972802884002702, ""SPY"": -0.0009317765391767541, ""TLT"": -0.016648853889029036, ""USO"": -0.04206987478006052}, ""recent_probability_changes"": {""one_hour"": 0.41500000000000004, ""twenty_four_hours"": 0.7050000000000001}, ""latest_completed_daily_volume"": 3676100.0}",-1,-0.061565397927431875,True,,2026-06-25 07:23:00.618148+00:00
