resolution,range_period,range_multiplier,signal_count,opened_trade_count,total_signal_net_profit,average_signal_net_profit,average_opened_trade_net_profit
1d,5,1.5,163,70,-1492.743971820006,-9.15793847742335,-21.324913883142944
1d,5,2.0,163,70,-1579.9221140433442,-9.692773705787388,-22.570315914904917
1d,21,1.5,163,75,-1595.1586634255902,-9.786249468868652,-21.26878217900787
1d,5,2.5,163,70,-1620.0785876714206,-9.939132439701966,-23.143979823877437
1d,5,-0.01,163,70,-1644.0263626574383,-10.08605130464686,-23.486090895106262
1d,5,-0.02,163,70,-1654.8502407554224,-10.152455464757193,-23.64071772507746
1d,21,-0.01,163,75,-1705.3902216445024,-10.462516697205537,-22.738536288593366
1d,7,-0.01,163,77,-1728.3552957219447,-10.60340672222052,-22.44617267171357
1d,7,1.5,163,77,-1745.5041810183543,-10.708614607474566,-22.668885467770835
1d,7,2.0,163,77,-1763.2680147638748,-10.817595182600458,-22.89958460732305
1d,7,2.5,163,77,-1766.6444833015025,-10.83830971350615,-22.943434848071462
1d,5,-0.03,163,70,-1824.8502680715753,-11.195400417617027,-26.06928954387965
1d,5,-0.05,163,70,-1826.478082401959,-11.205387008600976,-26.0925440343137
1d,18,1.5,163,79,-1841.4424173580967,-11.2971927445282,-23.309397688077173
1d,5,3.0,163,70,-1856.0992513571173,-11.387111971516058,-26.51570359081596
1d,7,-0.02,163,77,-1876.6811058210264,-11.51338101730691,-24.372481893779565
1d,21,-0.02,163,75,-1908.6868943176419,-11.709735547960992,-25.44915859090189
1d,18,-0.01,163,79,-1913.4654617064866,-11.739051912309733,-24.221081793752994
1d,12,-0.01,163,75,-1927.2108283802684,-11.82337931521637,-25.696144378403577
1d,14,1.5,163,80,-1931.512385446027,-11.849769235865198,-24.143904818075338
1d,14,-0.01,163,80,-1938.6252177312097,-11.893406243749752,-24.23281522164012
1d,12,1.5,163,75,-1956.661311292384,-12.004057124493153,-26.088817483898453
1d,7,3.0,163,77,-1993.1338279112924,-12.227814895161304,-25.884854907938863
1d,7,-0.05,163,77,-2037.102085108762,-12.497558804348232,-26.455871235178726
1d,7,-0.03,163,77,-2045.4917440597346,-12.54902910466095,-26.564827844931617
1d,14,-0.02,163,80,-2059.468599290622,-12.634776682764553,-25.743357491132777
1d,14,2.0,163,80,-2097.964990100054,-12.870950859509533,-26.224562376250674
1d,18,-0.02,163,79,-2100.6923465898303,-12.88768310791307,-26.591042361896587
1d,12,-0.02,163,75,-2101.3410916870635,-12.891663139184438,-28.01788122249418
1d,21,2.0,163,75,-2124.2350639622077,-13.03211695682336,-28.32313418616277
1d,12,2.5,163,75,-2153.6973523911797,-13.212867192583925,-28.71596469854906
1d,21,2.5,163,75,-2173.359211053842,-13.33349209235486,-28.97812281405123
1d,14,2.5,163,80,-2201.9876413771913,-13.509126634215898,-27.524845517214892
1d,21,-0.03,163,75,-2250.086410169883,-13.804211105336705,-30.001152135598442
1d,18,2.5,163,79,-2257.2207931021826,-13.847980325780261,-28.572415102559273
1d,12,2.0,163,75,-2273.416720251703,-13.947341842034987,-30.31222293668937
1d,14,-0.05,163,80,-2279.23850679084,-13.983058323870184,-28.490481334885498
1d,12,-0.05,163,75,-2309.1296365153908,-14.166439487824483,-30.788395153538545
1d,12,3.0,163,75,-2314.855377111571,-14.201566730745835,-30.864738361487618
1d,18,2.0,163,79,-2319.679850140542,-14.2311647247886,-29.363036077728378
1d,21,3.0,163,75,-2324.987870657057,-14.263729267834707,-30.99983827542743
1d,12,-0.03,163,75,-2334.0956572940772,-14.319605259472866,-31.121275430587698
1d,14,-0.03,163,80,-2334.337236488413,-14.321087340419712,-29.17921545610516
1d,21,-0.05,163,75,-2336.6579129438715,-14.335324619287555,-31.15543883925162
1d,14,3.0,163,80,-2336.845327353117,-14.33647440093937,-29.210566591913967
1d,18,-0.03,163,79,-2395.3407117405104,-14.695341789819082,-30.320768503044437
1d,18,-0.05,163,79,-2396.7676288570888,-14.704095882558827,-30.33883074502644
1d,18,3.0,163,79,-2409.5124742949265,-14.782285118373782,-30.500157902467425
