symbol,trade_count,total_net_profit,win_rate,average_winner,average_loser,payoff_ratio,profit_factor,expectancy,largest_winner,largest_loser,maximum_consecutive_losses
ADI,1,37.13802013521434,1.0,37.13802013521434,,,,37.13802013521434,37.13802013521434,,0
AMAT,1,-23.01005206461391,0.0,,-23.01005206461391,,0.0,-23.01005206461391,,-23.01005206461391,1
AMZN,1,-8.958905736632076,0.0,,-8.958905736632076,,0.0,-8.958905736632076,,-8.958905736632076,1
BGC,1,-22.674601638597267,0.0,,-22.674601638597267,,0.0,-22.674601638597267,,-22.674601638597267,1
BNO,2,-76.25635034600768,0.0,,-38.12817517300384,,0.0,-38.12817517300384,,-59.258482112290665,2
BURL,1,-15.103015691001932,0.0,,-15.103015691001932,,0.0,-15.103015691001932,,-15.103015691001932,1
CASY,1,-26.05960157829308,0.0,,-26.05960157829308,,0.0,-26.05960157829308,,-26.05960157829308,1
CBOE,1,-36.857378976978815,0.0,,-36.857378976978815,,0.0,-36.857378976978815,,-36.857378976978815,1
CBRL,1,73.46021516297768,1.0,73.46021516297768,,,,73.46021516297768,73.46021516297768,,0
CME,1,38.996247775842065,1.0,38.996247775842065,,,,38.996247775842065,38.996247775842065,,0
CMG,1,31.37583116665008,1.0,31.37583116665008,,,,31.37583116665008,31.37583116665008,,0
CSCO,1,5.28399323304012,1.0,5.28399323304012,,,,5.28399323304012,5.28399323304012,,0
DELL,1,321.88189402944045,1.0,321.88189402944045,,,,321.88189402944045,321.88189402944045,,0
DG,1,88.7659091800136,1.0,88.7659091800136,,,,88.7659091800136,88.7659091800136,,0
DLTR,1,71.87860278821448,1.0,71.87860278821448,,,,71.87860278821448,71.87860278821448,,0
DOCU,1,166.6820944415507,1.0,166.6820944415507,,,,166.6820944415507,166.6820944415507,,0
DPZ,1,-43.79420260960465,0.0,,-43.79420260960465,,0.0,-43.79420260960465,,-43.79420260960465,1
ETOR,1,-17.21403226301463,0.0,,-17.21403226301463,,0.0,-17.21403226301463,,-17.21403226301463,1
F,1,3.805509815405882,1.0,3.805509815405882,,,,3.805509815405882,3.805509815405882,,0
FNF,1,-12.727995500118862,0.0,,-12.727995500118862,,0.0,-12.727995500118862,,-12.727995500118862,1
FRO,1,-41.57783481817986,0.0,,-41.57783481817986,,0.0,-41.57783481817986,,-41.57783481817986,1
GOOGL,1,23.44469707711964,1.0,23.44469707711964,,,,23.44469707711964,23.44469707711964,,0
GS,1,17.57563746826926,1.0,17.57563746826926,,,,17.57563746826926,17.57563746826926,,0
HNGE,1,89.55553181966145,1.0,89.55553181966145,,,,89.55553181966145,89.55553181966145,,0
ICE,1,-68.97849725731221,0.0,,-68.97849725731221,,0.0,-68.97849725731221,,-68.97849725731221,1
IOT,1,-26.08069580675014,0.0,,-26.08069580675014,,0.0,-26.08069580675014,,-26.08069580675014,1
KFY,1,19.477122426317166,1.0,19.477122426317166,,,,19.477122426317166,19.477122426317166,,0
KR,2,4.833058233763877,0.5,12.835049850923058,-8.001991617159181,1.603981916626861,1.603981916626861,2.4165291168819385,12.835049850923058,-8.001991617159181,1
KSS,1,-26.70514541847027,0.0,,-26.70514541847027,,0.0,-26.70514541847027,,-26.70514541847027,1
LZB,1,-25.447560299195708,0.0,,-25.447560299195708,,0.0,-25.447560299195708,,-25.447560299195708,1
M,1,131.3666341280492,1.0,131.3666341280492,,,,131.3666341280492,131.3666341280492,,0
MCHP,1,30.65965026511916,1.0,30.65965026511916,,,,30.65965026511916,30.65965026511916,,0
MRNA,1,-35.10635929468138,0.0,,-35.10635929468138,,0.0,-35.10635929468138,,-35.10635929468138,1
MRX,1,-50.59459118085236,0.0,,-50.59459118085236,,0.0,-50.59459118085236,,-50.59459118085236,1
MS,1,-2.0548545938712426,0.0,,-2.0548545938712426,,0.0,-2.0548545938712426,,-2.0548545938712426,1
MTN,1,-24.239437376858586,0.0,,-24.239437376858586,,0.0,-24.239437376858586,,-24.239437376858586,1
