resolution,range_period,range_multiplier,signal_count,opened_trade_count,total_signal_net_profit,average_signal_net_profit,average_opened_trade_net_profit
1d,12,-0.05,498,215,-2475.142152219612,-4.970164964296409,-11.512289080091218
1d,18,-0.05,498,220,-2495.3887958500613,-5.010820875200927,-11.342676344773006
1d,18,-0.02,498,220,-2514.9793495454696,-5.050159336436686,-11.431724316115771
1d,21,-0.02,498,220,-2520.443073278806,-5.06113066923455,-11.456559423994573
1d,21,-0.01,498,220,-2521.699005897255,-5.063652622283644,-11.462268208623886
1d,18,-0.01,498,220,-2555.1181641136063,-5.130759365689973,-11.614173473243666
1d,12,-0.02,498,215,-2576.1648151079703,-5.173021717084278,-11.982161930734746
1d,12,-0.01,498,215,-2579.8921827629724,-5.180506391090306,-11.999498524478941
1d,21,-0.05,498,220,-2586.812664965825,-5.194402941698444,-11.758239386208297
1d,7,-0.01,498,213,-2628.544793863035,-5.278202397315331,-12.340585886680916
1d,7,2.5,498,213,-2649.1895292024547,-5.319657689161556,-12.437509526772088
1d,12,-0.03,498,215,-2722.36282077779,-5.466592009593956,-12.662152654780419
1d,7,1.5,498,213,-2769.8272738335254,-5.56190215629222,-13.003883914711388
1d,21,-0.03,498,220,-2775.819700714343,-5.573935141996673,-12.617362275974287
1d,7,3.0,498,213,-2777.923721392257,-5.578160083116982,-13.041895405597451
1d,18,-0.03,498,220,-2781.641059786844,-5.5856246180458715,-12.643822999031109
1d,7,2.0,498,213,-2816.4906803699673,-5.655603775843308,-13.222960940704072
1d,14,-0.02,498,218,-2826.2581150978517,-5.675217098590064,-12.964486766503907
1d,14,-0.05,498,218,-2832.481951743201,-5.687714762536548,-12.993036475886244
1d,14,-0.01,498,218,-2833.768423190487,-5.690298038535114,-12.99893772105728
1d,18,1.5,498,220,-2879.6116357594115,-5.782352682247814,-13.089143798906417
1d,7,-0.02,498,213,-2926.049252057611,-5.875600907746207,-13.737320432195355
1d,18,2.5,498,220,-2933.904986630467,-5.89137547516158,-13.335931757411215
1d,12,2.5,498,215,-2948.217797818858,-5.920116059877225,-13.712640920087711
1d,12,3.0,498,215,-2956.789662474693,-5.937328639507416,-13.752510058021828
1d,18,3.0,498,220,-2995.866598970005,-6.015796383473905,-13.617575449863658
1d,14,-0.03,498,218,-3020.60420705881,-6.065470295298815,-13.855982601187202
1d,7,-0.05,498,213,-3032.427764168494,-6.089212377848382,-14.23675006651875
1d,7,-0.03,498,213,-3035.777304624302,-6.0959383626994015,-14.252475608564797
1d,21,1.5,498,220,-3043.6506378132744,-6.111748268701354,-13.834775626423975
1d,5,1.5,498,204,-3047.5409789720575,-6.119560198739071,-14.938926367510085
1d,14,2.5,498,218,-3061.073685745952,-6.146734308726811,-14.041622411678679
1d,14,1.5,498,218,-3062.652985740674,-6.149905593856775,-14.048866907067312
1d,12,1.5,498,215,-3085.2254020799455,-6.1952317310842275,-14.349885591069514
1d,14,2.0,498,218,-3111.843420509828,-6.248681567288811,-14.27451110325609
1d,21,2.5,498,220,-3130.8941139701938,-6.286935971827698,-14.231336881682699
1d,5,-0.01,498,204,-3134.8500732663197,-6.294879665193413,-15.366912123854508
1d,14,3.0,498,218,-3178.797257437741,-6.383127022967352,-14.581638795585967
1d,5,2.5,498,204,-3179.3436882585074,-6.38422427361146,-15.585018079698566
1d,5,2.0,498,204,-3188.432729794873,-6.402475361033882,-15.629572204876828
1d,5,-0.02,498,204,-3208.175328886022,-6.442119134309281,-15.726349651402067
1d,12,2.0,498,215,-3241.9526410333565,-6.5099450623159765,-15.078849493178403
1d,18,2.0,498,220,-3254.7577591277022,-6.53565815085884,-14.794353450580465
1d,5,-0.05,498,204,-3297.188353294746,-6.620860147178204,-16.162688006346794
1d,21,3.0,498,220,-3328.742142573906,-6.684221169827121,-15.130646102608665
1d,5,-0.03,498,204,-3373.746713915818,-6.774591795011682,-16.537974087822636
1d,21,2.0,498,220,-3389.3869915185287,-6.805997974936805,-15.406304506902403
1d,5,3.0,498,204,-3434.027347198096,-6.89563724336967,-16.83346738822596
