symbol,trade_count,total_net_profit,win_rate,average_winner,average_loser,payoff_ratio,profit_factor,expectancy,largest_winner,largest_loser,maximum_consecutive_losses
ADI,1,46.829433004104445,1.0,46.829433004104445,,,,46.829433004104445,46.829433004104445,,0
AMAT,1,-19.56166469556144,0.0,,-19.56166469556144,,0.0,-19.56166469556144,,-19.56166469556144,1
AMZN,1,-8.097570918169815,0.0,,-8.097570918169815,,0.0,-8.097570918169815,,-8.097570918169815,1
BA,3,102.99175837958335,0.3333333333333333,108.08788510448504,-2.548063362450847,42.4196221716092,21.2098110858046,34.330586126527784,108.08788510448504,-2.548063362450847,2
BGC,1,-38.311806175927856,0.0,,-38.311806175927856,,0.0,-38.311806175927856,,-38.311806175927856,1
BNO,5,-37.95590844292458,0.4,135.85280869845855,-103.22050861328056,1.3161416323517268,0.8774277549011512,-7.591181688584916,207.40519893998592,-139.08533970021088,3
BP,1,64.91311724223573,1.0,64.91311724223573,,,,64.91311724223573,64.91311724223573,,0
BURL,1,-14.104913236609852,0.0,,-14.104913236609852,,0.0,-14.104913236609852,,-14.104913236609852,1
BWXT,2,-91.64948318837689,0.0,,-45.824741594188446,,0.0,-45.824741594188446,,-85.02289765808575,2
CASY,1,-9.642593138838901,0.0,,-9.642593138838901,,0.0,-9.642593138838901,,-9.642593138838901,1
CBOE,1,-30.993717300416147,0.0,,-30.993717300416147,,0.0,-30.993717300416147,,-30.993717300416147,1
CBRL,1,82.0085160338592,1.0,82.0085160338592,,,,82.0085160338592,82.0085160338592,,0
CME,1,42.199789623977416,1.0,42.199789623977416,,,,42.199789623977416,42.199789623977416,,0
CMG,1,15.125454677402029,1.0,15.125454677402029,,,,15.125454677402029,15.125454677402029,,0
CPB,1,-51.64961021425957,0.0,,-51.64961021425957,,0.0,-51.64961021425957,,-51.64961021425957,1
CSCO,1,-16.704935460822167,0.0,,-16.704935460822167,,0.0,-16.704935460822167,,-16.704935460822167,1
CVS,1,-21.621122730595204,0.0,,-21.621122730595204,,0.0,-21.621122730595204,,-21.621122730595204,1
CVX,1,-23.545136206703905,0.0,,-23.545136206703905,,0.0,-23.545136206703905,,-23.545136206703905,1
DG,2,114.1776228703443,1.0,57.08881143517215,,,,57.08881143517215,62.99965163384882,,0
DKS,1,-18.205939570676414,0.0,,-18.205939570676414,,0.0,-18.205939570676414,,-18.205939570676414,1
DLTR,2,83.1339296008207,1.0,41.56696480041035,,,,41.56696480041035,46.89163339774167,,0
DOCU,1,107.32012429896417,1.0,107.32012429896417,,,,107.32012429896417,107.32012429896417,,0
DPZ,1,-26.441537350654638,0.0,,-26.441537350654638,,0.0,-26.441537350654638,,-26.441537350654638,1
F,1,7.106451842150575,1.0,7.106451842150575,,,,7.106451842150575,7.106451842150575,,0
FNF,1,-9.164962513635388,0.0,,-9.164962513635388,,0.0,-9.164962513635388,,-9.164962513635388,1
FSK,1,-31.846918626303683,0.0,,-31.846918626303683,,0.0,-31.846918626303683,,-31.846918626303683,1
GD,33,-436.7692956786124,0.30303030303030304,7.52818396601571,-22.263092840816068,0.33814636716664564,0.14702015963767204,-13.235433202382195,15.926474976977378,-67.55696968849017,11
GOOG,1,19.659408631698383,1.0,19.659408631698383,,,,19.659408631698383,19.659408631698383,,0
GOOGL,1,16.713488029740606,1.0,16.713488029740606,,,,16.713488029740606,16.713488029740606,,0
GS,1,50.850882516519775,1.0,50.850882516519775,,,,50.850882516519775,50.850882516519775,,0
HII,3,42.45285291924846,0.3333333333333333,62.244853367578365,-9.896000224164954,6.28990015739725,3.144950078698625,14.15095097308282,62.244853367578365,-19.03488186131406,2
HLT,1,-55.63186394972038,0.0,,-55.63186394972038,,0.0,-55.63186394972038,,-55.63186394972038,1
ICE,1,-81.27618006262674,0.0,,-81.27618006262674,,0.0,-81.27618006262674,,-81.27618006262674,1
IOT,1,-37.3169857468202,0.0,,-37.3169857468202,,0.0,-37.3169857468202,,-37.3169857468202,1
ITA,32,91.20455406323978,0.40625,38.346680773043204,-21.43696294664852,1.7888112634461761,1.2239234960421206,2.850142314476243,113.20326091947484,-60.4857030806795,13
JPM,1,26.163344185594678,1.0,26.163344185594678,,,,26.163344185594678,26.163344185594678,,0
KFY,1,-11.789540171339084,0.0,,-11.789540171339084,,0.0,-11.789540171339084,,-11.789540171339084,1
KR,2,-13.127123154990517,0.0,,-6.563561577495259,,0.0,-6.563561577495259,,-12.931207695241715,2
KRE,1,1.7943710247583242,1.0,1.7943710247583242,,,,1.7943710247583242,1.7943710247583242,,0
KSS,1,-31.36066360984495,0.0,,-31.36066360984495,,0.0,-31.36066360984495,,-31.36066360984495,1
LMT,31,112.45582717539318,0.5483870967741935,35.58297867745223,-35.17534359580677,1.0115886595545311,1.2283576580305022,3.6276073282384895,102.4923814374967,-58.86038328494292,3
LZB,1,-15.703837571553791,0.0,,-15.703837571553791,,0.0,-15.703837571553791,,-15.703837571553791,1
M,1,94.66352211894589,1.0,94.66352211894589,,,,94.66352211894589,94.66352211894589,,0
MCHP,1,100.19577305575194,1.0,100.19577305575194,,,,100.19577305575194,100.19577305575194,,0
MRNA,1,-47.87357039327704,0.0,,-47.87357039327704,,0.0,-47.87357039327704,,-47.87357039327704,1
MRX,1,-57.52264168855751,0.0,,-57.52264168855751,,0.0,-57.52264168855751,,-57.52264168855751,1
MS,1,31.220390454379277,1.0,31.220390454379277,,,,31.220390454379277,31.220390454379277,,0
MTN,1,-25.897877146406426,0.0,,-25.897877146406426,,0.0,-25.897877146406426,,-25.897877146406426,1
NOC,37,62.32642794590205,0.43243243243243246,40.21010936251193,-27.668348659728036,1.4532890942291303,1.1072678813174326,1.6844980525919473,169.82191599344074,-71.88819711899443,6
NYT,1,15.4545297610222,1.0,15.4545297610222,,,,15.4545297610222,15.4545297610222,,0
OIH,1,-38.95852138369452,0.0,,-38.95852138369452,,0.0,-38.95852138369452,,-38.95852138369452,1
OKTA,1,36.45671452678096,1.0,36.45671452678096,,,,36.45671452678096,36.45671452678096,,0
ON,1,-28.635966456367775,0.0,,-28.635966456367775,,0.0,-28.635966456367775,,-28.635966456367775,1
OPEN,1,-34.57222719840325,0.0,,-34.57222719840325,,0.0,-34.57222719840325,,-34.57222719840325,1
ORLY,1,8.741072445176677,1.0,8.741072445176677,,,,8.741072445176677,8.741072445176677,,0
