work_key,payload,result
1004539:1:BNO,"{""symbol"": ""BNO"", ""market_id"": ""1004539"", ""pass_number"": 1}","{""model_status"": ""semantic_long_only_excluded"", ""trades_opened"": 0, ""semantic_group"": null, ""entry_decisions"": [{""opened"": false, ""reason"": ""semantic_group_not_positive_long_beneficiary"", ""semantic_group"": null, ""semantic_reason"": ""Explicit military-escalation Yes outcome; no conservative supported asset role"", ""strategy_branch"": ""none""}], ""yes_outcome_polarity"": ""ambiguous""}"
1004539:1:ERX,"{""symbol"": ""ERX"", ""market_id"": ""1004539"", ""pass_number"": 1}","{""model_status"": ""semantic_long_only_excluded"", ""trades_opened"": 0, ""semantic_group"": null, ""entry_decisions"": [{""opened"": false, ""reason"": ""semantic_group_not_positive_long_beneficiary"", ""semantic_group"": null, ""semantic_reason"": ""Explicit military-escalation Yes outcome; no conservative supported asset role"", ""strategy_branch"": ""none""}], ""yes_outcome_polarity"": ""ambiguous""}"
1004539:1:ERY,"{""symbol"": ""ERY"", ""market_id"": ""1004539"", ""pass_number"": 1}","{""model_status"": ""semantic_long_only_excluded"", ""trades_opened"": 0, ""semantic_group"": null, ""entry_decisions"": [{""opened"": false, ""reason"": ""semantic_group_not_positive_long_beneficiary"", ""semantic_group"": null, ""semantic_reason"": ""Explicit military-escalation Yes outcome; no conservative supported asset role"", ""strategy_branch"": ""none""}], ""yes_outcome_polarity"": ""ambiguous""}"
1004539:1:PXE,"{""symbol"": ""PXE"", ""market_id"": ""1004539"", ""pass_number"": 1}","{""model_status"": ""semantic_long_only_excluded"", ""trades_opened"": 0, ""semantic_group"": null, ""entry_decisions"": [{""opened"": false, ""reason"": ""semantic_group_not_positive_long_beneficiary"", ""semantic_group"": null, ""semantic_reason"": ""Explicit military-escalation Yes outcome; no conservative supported asset role"", ""strategy_branch"": ""none""}], ""yes_outcome_polarity"": ""ambiguous""}"
1004539:1:SCO,"{""symbol"": ""SCO"", ""market_id"": ""1004539"", ""pass_number"": 1}","{""model_status"": ""semantic_long_only_excluded"", ""trades_opened"": 0, ""semantic_group"": null, ""entry_decisions"": [{""opened"": false, ""reason"": ""semantic_group_not_positive_long_beneficiary"", ""semantic_group"": null, ""semantic_reason"": ""Explicit military-escalation Yes outcome; no conservative supported asset role"", ""strategy_branch"": ""none""}], ""yes_outcome_polarity"": ""ambiguous""}"
1004539:1:UCO,"{""symbol"": ""UCO"", ""market_id"": ""1004539"", ""pass_number"": 1}","{""model_status"": ""semantic_long_only_excluded"", ""trades_opened"": 0, ""semantic_group"": null, ""entry_decisions"": [{""opened"": false, ""reason"": ""semantic_group_not_positive_long_beneficiary"", ""semantic_group"": null, ""semantic_reason"": ""Explicit military-escalation Yes outcome; no conservative supported asset role"", ""strategy_branch"": ""none""}], ""yes_outcome_polarity"": ""ambiguous""}"
1004539:1:USO,"{""symbol"": ""USO"", ""market_id"": ""1004539"", ""pass_number"": 1}","{""model_status"": ""semantic_long_only_excluded"", ""trades_opened"": 0, ""semantic_group"": null, ""entry_decisions"": [{""opened"": false, ""reason"": ""semantic_group_not_positive_long_beneficiary"", ""semantic_group"": null, ""semantic_reason"": ""Explicit military-escalation Yes outcome; no conservative supported asset role"", ""strategy_branch"": ""none""}], ""yes_outcome_polarity"": ""ambiguous""}"
1004539:1:XLE,"{""symbol"": ""XLE"", ""market_id"": ""1004539"", ""pass_number"": 1}","{""model_status"": ""semantic_long_only_excluded"", ""trades_opened"": 0, ""semantic_group"": null, ""entry_decisions"": [{""opened"": false, ""reason"": ""semantic_group_not_positive_long_beneficiary"", ""semantic_group"": null, ""semantic_reason"": ""Explicit military-escalation Yes outcome; no conservative supported asset role"", ""strategy_branch"": ""none""}], ""yes_outcome_polarity"": ""ambiguous""}"
1004654:1:BWXT,"{""symbol"": ""BWXT"", ""market_id"": ""1004654"", ""pass_number"": 1}","{""model_status"": ""trained"", ""trades_opened"": 1, ""semantic_group"": ""military_escalation+defense_beneficiary"", ""entry_decisions"": [{""opened"": true, ""reason"": ""opened"", ""entry_at"": ""2025-12-24 14:30:00+00:00"", ""trade_id"": ""56ff1b9d-45ba-4d59-a994-57ade2cdab7a"", ""direction"": ""long"", ""portfolio"": ""machine_learning"", ""remaining_gap"": 0.01835373320169148, ""target_reached"": false, ""strategy_branch"": ""machine_learning"", ""directions_agree"": true, ""probability_at_entry"": 0.8, ""predicted_peak_percent"": 0.02161914164105122, ""predicted_target_price"": 181.4599869499088, ""realized_move_at_entry"": 0.0032654084393597405, ""classification_probability"": 0.6984575012900188, ""price_confirmation_momentum"": 0.016656106070021437, ""polymarket_volume_statistics"": {""reason"": ""polymarket_volume_quality_confirmed"", ""allowed"": true, ""gate_applied"": false, ""largest_hour_share"": 0.7232824417283374, ""active_volume_hours"": 2, ""pre_entry_volume_usdc"": 104.79999600000001, ""largest_hour_volume_usdc"": 75.799997, ""median_active_hour_volume_usdc"": 52.399998000000004, ""latest_completed_hour_volume_usdc"": 75.799997}}], ""yes_outcome_polarity"": ""positive""}"
1004654:1:GD,"{""symbol"": ""GD"", ""market_id"": ""1004654"", ""pass_number"": 1}","{""model_status"": ""trained"", ""trades_opened"": 1, ""semantic_group"": ""military_escalation+defense_beneficiary"", ""entry_decisions"": [{""opened"": true, ""reason"": ""opened"", ""entry_at"": ""2025-12-24 14:30:00+00:00"", ""trade_id"": ""c66e3c16-6608-4037-aae6-7f45d7ab1ea5"", ""direction"": ""long"", ""portfolio"": ""machine_learning"", ""remaining_gap"": 0.01417206114860334, ""target_reached"": false, ""strategy_branch"": ""machine_learning"", ""directions_agree"": true, ""probability_at_entry"": 0.8, ""predicted_peak_percent"": 0.0132704861081909, ""predicted_target_price"": 348.40292023273304, ""realized_move_at_entry"": -0.000901575040412439, ""classification_probability"": 0.6637838506124872, ""price_confirmation_momentum"": 0.017037417162798496, ""polymarket_volume_statistics"": {""reason"": ""polymarket_volume_quality_confirmed"", ""allowed"": true, ""gate_applied"": false, ""largest_hour_share"": 0.7232824417283374, ""active_volume_hours"": 2, ""pre_entry_volume_usdc"": 104.79999600000001, ""largest_hour_volume_usdc"": 75.799997, ""median_active_hour_volume_usdc"": 52.399998000000004, ""latest_completed_hour_volume_usdc"": 75.799997}}], ""yes_outcome_polarity"": ""positive""}"
1004654:1:HII,"{""symbol"": ""HII"", ""market_id"": ""1004654"", ""pass_number"": 1}","{""model_status"": ""trained"", ""trades_opened"": 1, ""semantic_group"": ""military_escalation+defense_beneficiary"", ""entry_decisions"": [{""opened"": true, ""reason"": ""opened"", ""entry_at"": ""2025-12-24 14:30:00+00:00"", ""trade_id"": ""71651ffc-be6c-45b2-afb9-08a6fba1bb7c"", ""direction"": ""long"", ""portfolio"": ""machine_learning"", ""remaining_gap"": 0.04036064919235663, ""target_reached"": false, ""strategy_branch"": ""machine_learning"", ""directions_agree"": true, ""probability_at_entry"": 0.8, ""predicted_peak_percent"": 0.038922142863092285, ""predicted_target_price"": 368.31866667388397, ""realized_move_at_entry"": -0.001438506329264344, ""classification_probability"": 0.8219630456736909, ""price_confirmation_momentum"": 0.14646048707525394, ""polymarket_volume_statistics"": {""reason"": ""polymarket_volume_quality_confirmed"", ""allowed"": true, ""gate_applied"": false, ""largest_hour_share"": 0.7232824417283374, ""active_volume_hours"": 2, ""pre_entry_volume_usdc"": 104.79999600000001, ""largest_hour_volume_usdc"": 75.799997, ""median_active_hour_volume_usdc"": 52.399998000000004, ""latest_completed_hour_volume_usdc"": 75.799997}}], ""yes_outcome_polarity"": ""positive""}"
