symbol,trade_count,total_net_profit,win_rate,average_winner,average_loser,payoff_ratio,profit_factor,expectancy,largest_winner,largest_loser,maximum_consecutive_losses
ADI,2,56.796480493658756,1.0,28.398240246829378,,,,28.398240246829378,37.13802013521434,,0
AMAT,1,-23.01005206461391,0.0,,-23.01005206461391,,0.0,-23.01005206461391,,-23.01005206461391,1
AMZN,1,-8.958905736632076,0.0,,-8.958905736632076,,0.0,-8.958905736632076,,-8.958905736632076,1
BA,3,102.99175837958335,0.3333333333333333,108.08788510448504,-2.548063362450847,42.4196221716092,21.2098110858046,34.330586126527784,108.08788510448504,-2.548063362450847,2
BGC,1,-22.674601638597267,0.0,,-22.674601638597267,,0.0,-22.674601638597267,,-22.674601638597267,1
BNO,5,268.0294460771626,0.6,158.24150705835305,-103.34753754894828,1.5311589498047349,2.2967384247071023,53.605889215432526,262.02277384327914,-105.24587162021872,1
BP,1,61.559287788196166,1.0,61.559287788196166,,,,61.559287788196166,61.559287788196166,,0
BURL,1,-15.103015691001932,0.0,,-15.103015691001932,,0.0,-15.103015691001932,,-15.103015691001932,1
BWXT,2,-86.29927399376056,0.0,,-43.14963699688028,,0.0,-43.14963699688028,,-74.81553398058252,2
CASY,1,-26.05960157829308,0.0,,-26.05960157829308,,0.0,-26.05960157829308,,-26.05960157829308,1
CAT,1,3.9289995561801048,1.0,3.9289995561801048,,,,3.9289995561801048,3.9289995561801048,,0
CBOE,1,-36.857378976978815,0.0,,-36.857378976978815,,0.0,-36.857378976978815,,-36.857378976978815,1
CBRL,1,73.46021516297768,1.0,73.46021516297768,,,,73.46021516297768,73.46021516297768,,0
CME,1,38.996247775842065,1.0,38.996247775842065,,,,38.996247775842065,38.996247775842065,,0
CMG,1,31.37583116665008,1.0,31.37583116665008,,,,31.37583116665008,31.37583116665008,,0
CRSP,1,17.577404895249625,1.0,17.577404895249625,,,,17.577404895249625,17.577404895249625,,0
CSCO,1,5.28399323304012,1.0,5.28399323304012,,,,5.28399323304012,5.28399323304012,,0
CVS,1,-18.65667394224772,0.0,,-18.65667394224772,,0.0,-18.65667394224772,,-18.65667394224772,1
CVX,1,-23.545136206703905,0.0,,-23.545136206703905,,0.0,-23.545136206703905,,-23.545136206703905,1
DELL,1,321.88189402944045,1.0,321.88189402944045,,,,321.88189402944045,321.88189402944045,,0
DG,2,164.93084980698188,1.0,82.46542490349094,,,,82.46542490349094,88.7659091800136,,0
DLTR,2,133.88715653745828,1.0,66.94357826872914,,,,66.94357826872914,71.87860278821448,,0
DOCU,1,166.6820944415507,1.0,166.6820944415507,,,,166.6820944415507,166.6820944415507,,0
DPZ,1,-43.79420260960465,0.0,,-43.79420260960465,,0.0,-43.79420260960465,,-43.79420260960465,1
F,1,5.982627901535132,1.0,5.982627901535132,,,,5.982627901535132,5.982627901535132,,0
FNF,1,-12.727995500118862,0.0,,-12.727995500118862,,0.0,-12.727995500118862,,-12.727995500118862,1
FRO,1,-41.57783481817986,0.0,,-41.57783481817986,,0.0,-41.57783481817986,,-41.57783481817986,1
GD,33,-356.5949866113668,0.3333333333333333,18.615335446858133,-25.516530751218465,0.7295402195680232,0.3647701097840116,-10.805908685192932,47.10748178251298,-53.87713310580205,11
GOOG,1,26.390617679077415,1.0,26.390617679077415,,,,26.390617679077415,26.390617679077415,,0
GOOGL,1,3.292237850409216,1.0,3.292237850409216,,,,3.292237850409216,3.292237850409216,,0
GS,1,17.57563746826926,1.0,17.57563746826926,,,,17.57563746826926,17.57563746826926,,0
HII,3,69.84038270852102,0.3333333333333333,108.14633462696756,-19.152975959223273,5.646450706000537,2.8232253530002684,23.280127569507005,108.14633462696756,-23.892036344200964,2
HLT,1,-42.70057939359676,0.0,,-42.70057939359676,,0.0,-42.70057939359676,,-42.70057939359676,1
ICE,1,-68.97849725731221,0.0,,-68.97849725731221,,0.0,-68.97849725731221,,-68.97849725731221,1
IOT,1,-26.08069580675014,0.0,,-26.08069580675014,,0.0,-26.08069580675014,,-26.08069580675014,1
ITA,30,272.4531749349424,0.5333333333333333,37.866995037455325,-23.815624690310194,1.5900063731211795,1.8171501407099193,9.081772497831414,113.56352202734212,-40.41344551557042,10
JPM,1,0.7342999951996925,1.0,0.7342999951996925,,,,0.7342999951996925,0.7342999951996925,,0
KBH,1,30.190506211485022,1.0,30.190506211485022,,,,30.190506211485022,30.190506211485022,,0
KFY,1,19.477122426317166,1.0,19.477122426317166,,,,19.477122426317166,19.477122426317166,,0
KR,2,4.833058233763877,0.5,12.835049850923058,-8.001991617159181,1.603981916626861,1.603981916626861,2.4165291168819385,12.835049850923058,-8.001991617159181,1
KRE,1,5.685436224083627,1.0,5.685436224083627,,,,5.685436224083627,5.685436224083627,,0
KSS,1,-26.70514541847027,0.0,,-26.70514541847027,,0.0,-26.70514541847027,,-26.70514541847027,1
LH,1,31.45763320501623,1.0,31.45763320501623,,,,31.45763320501623,31.45763320501623,,0
LMT,23,-123.0679694428899,0.391304347826087,40.024646133652006,-34.52069890326843,1.1594390439720343,0.7453536711248794,-5.350781280125648,180.4335827661682,-60.234405517578125,6
LOW,1,-42.49898278259894,0.0,,-42.49898278259894,,0.0,-42.49898278259894,,-42.49898278259894,1
LZB,1,-25.447560299195708,0.0,,-25.447560299195708,,0.0,-25.447560299195708,,-25.447560299195708,1
M,2,63.62763080739553,0.5,131.3666341280492,-67.73900332065368,1.939305683406703,1.939305683406703,31.813815403697767,131.3666341280492,-67.73900332065368,1
MCHP,1,30.65965026511916,1.0,30.65965026511916,,,,30.65965026511916,30.65965026511916,,0
MNST,1,-3.5619255983607974,0.0,,-3.5619255983607974,,0.0,-3.5619255983607974,,-3.5619255983607974,1
MRNA,1,-35.10635929468138,0.0,,-35.10635929468138,,0.0,-35.10635929468138,,-35.10635929468138,1
MRX,1,-50.59459118085236,0.0,,-50.59459118085236,,0.0,-50.59459118085236,,-50.59459118085236,1
MS,1,-2.0548545938712426,0.0,,-2.0548545938712426,,0.0,-2.0548545938712426,,-2.0548545938712426,1
MTN,1,-24.239437376858586,0.0,,-24.239437376858586,,0.0,-24.239437376858586,,-24.239437376858586,1
NET,1,-97.77667828902457,0.0,,-97.77667828902457,,0.0,-97.77667828902457,,-97.77667828902457,1
NOC,37,-162.51973380682716,0.2702702702702703,44.03150114069858,-22.327212785696776,1.972100215254184,0.7304074871311792,-4.392425238022356,169.82191599344074,-45.53741496598639,14
NYT,1,30.271715685921393,1.0,30.271715685921393,,,,30.271715685921393,30.271715685921393,,0
OIH,1,-38.95852138369452,0.0,,-38.95852138369452,,0.0,-38.95852138369452,,-38.95852138369452,1
ON,1,-19.452574805109514,0.0,,-19.452574805109514,,0.0,-19.452574805109514,,-19.452574805109514,1
OPEN,1,-34.3740701782522,0.0,,-34.3740701782522,,0.0,-34.3740701782522,,-34.3740701782522,1
ORLY,1,-1.0841154944569074,0.0,,-1.0841154944569074,,0.0,-1.0841154944569074,,-1.0841154944569074,1
PEP,1,45.670821906536105,1.0,45.670821906536105,,,,45.670821906536105,45.670821906536105,,0
PFE,1,14.882619425526347,1.0,14.882619425526347,,,,14.882619425526347,14.882619425526347,,0
POWL,1,-49.74197015132559,0.0,,-49.74197015132559,,0.0,-49.74197015132559,,-49.74197015132559,1
PYPL,1,12.015539288847936,1.0,12.015539288847936,,,,12.015539288847936,12.015539288847936,,0
RBLX,1,12.308270017413227,1.0,12.308270017413227,,,,12.308270017413227,12.308270017413227,,0
RBRK,1,-18.102606768582273,0.0,,-18.102606768582273,,0.0,-18.102606768582273,,-18.102606768582273,1
RL,1,-42.28092583328426,0.0,,-42.28092583328426,,0.0,-42.28092583328426,,-42.28092583328426,1
