event_id,symbol,suppressed_count
303908,NOC,17
303908,LMT,17
303908,RTX,17
303908,ITA,17
303908,GD,17
303908,XLE,17
303908,USO,17
281087,XLE,13
281087,LMT,13
303908,BNO,13
281154,XLE,13
281087,RTX,13
281087,GD,12
279992,XLE,11
279992,LMT,11
279992,RTX,11
280978,LMT,10
303893,XLE,10
303893,USO,10
303893,NOC,10
289930,USO,10
289930,ITA,10
280978,XLE,10
280978,RTX,10
303745,NOC,9
236827,GD,9
236827,ITA,9
26899,NOC,9
26899,RTX,9
26899,USO,9
26899,XLE,9
280978,GD,9
281154,GD,9
281154,LMT,9
281154,NOC,9
281154,RTX,9
303623,GD,9
303623,ITA,9
303623,LMT,9
303623,NOC,9
303623,RTX,9
303623,USO,9
303623,XLE,9
303662,LMT,9
303662,NOC,9
303662,RTX,9
303662,USO,9
303662,XLE,9
303737,RTX,9
303737,XLE,9
303745,LMT,9
303745,RTX,9
303745,XLE,9
289930,XLE,8
303745,GD,8
303678,NOC,8
303678,LMT,8
303678,RTX,8
303893,LMT,8
303678,XLE,8
281072,NOC,7
303893,RTX,7
303893,GD,7
303737,LMT,7
303737,GD,7
303643,LMT,7
281072,RTX,7
281072,LMT,7
281072,ITA,7
281072,GD,7
236943,ITA,7
236943,NOC,7
303643,USO,7
303643,RTX,7
303643,NOC,7
303678,USO,6
26899,BNO,6
303737,USO,6
303737,ITA,5
303662,GD,5
303678,GD,5
303623,BNO,5
303893,SHEL,4
281072,XLE,4
303662,ITA,4
86338,GD,4
86338,ITA,4
86338,LMT,4
86338,NOC,4
86338,RTX,4
303893,ITA,4
303893,XOM,4
303893,BP,3
303737,NOC,3
303745,ITA,3
303643,ITA,3
303678,ITA,3
303678,SHEL,2
26899,XOM,2
237033,GD,2
303623,XOM,2
303745,USO,2
237033,ITA,2
237033,NOC,2
80892,GD,2
80892,HII,2
303643,XOM,2
303623,SHEL,2
80892,LMT,2
303678,XOM,2
80892,RTX,2
26899,GD,2
26899,ITA,2
26899,LMT,2
280978,ITA,2
281165,ITA,1
94821,ITA,1
104393,GD,1
95160,GD,1
303745,SHEL,1
95160,ITA,1
303745,XOM,1
281165,GD,1
190463,GD,1
167846,LMT,1
160183,RTX,1
104393,LMT,1
104393,NOC,1
160183,GD,1
237185,GD,1
237185,ITA,1
237185,NOC,1
104393,RTX,1
190463,LMT,1
133118,RTX,1
133118,NOC,1
133118,LMT,1
133118,GD,1
167846,NOC,1
133118,ITA,1
303923,USO,1
303923,XLE,1
80892,ITA,1
160183,ITA,1
300418,XLE,1
300418,RTX,1
300418,NOC,1
300418,LMT,1
300418,GD,1
236943,GD,1
280978,NOC,1
190463,RTX,1
190463,NOC,1
167846,RTX,1
167846,GD,1
167846,ITA,1
281180,RTX,1
281180,NOC,1
281180,LMT,1
281180,ITA,1
281180,GD,1
281165,RTX,1
281165,NOC,1
90945,NOC,1
281165,LMT,1
90945,RTX,1
