resolution,range_period,range_multiplier,signal_count,opened_trade_count,total_signal_net_profit,average_signal_net_profit,average_opened_trade_net_profit
1d,12,-0.05,498,215,-2475.1421522196124,-4.97016496429641,-11.51228908009122
1d,18,-0.05,498,220,-2495.3887958500613,-5.010820875200927,-11.342676344773006
1d,18,-0.02,498,220,-2514.97934954547,-5.050159336436687,-11.431724316115773
1d,21,-0.02,498,220,-2520.4430732788055,-5.061130669234549,-11.456559423994571
1d,21,-0.01,498,220,-2521.699005897255,-5.063652622283644,-11.462268208623886
1d,18,-0.01,498,220,-2555.1181641136063,-5.130759365689973,-11.614173473243666
1d,12,-0.02,498,215,-2576.1648151079703,-5.173021717084278,-11.982161930734746
1d,12,-0.01,498,215,-2579.892182762973,-5.180506391090307,-11.999498524478943
1d,21,-0.05,498,220,-2586.8126649658257,-5.194402941698445,-11.758239386208299
1d,7,-0.01,498,213,-2628.5447938630355,-5.278202397315332,-12.340585886680918
1d,7,2.5,498,213,-2649.1895292024537,-5.319657689161554,-12.437509526772084
1d,12,-0.03,498,215,-2722.36282077779,-5.466592009593956,-12.662152654780419
1d,7,1.5,498,213,-2769.827273833526,-5.561902156292221,-13.00388391471139
1d,21,-0.03,498,220,-2775.819700714343,-5.573935141996673,-12.617362275974287
1d,7,3.0,498,213,-2777.923721392258,-5.578160083116984,-13.041895405597455
1d,18,-0.03,498,220,-2781.6410597868426,-5.585624618045869,-12.643822999031103
1d,7,2.0,498,213,-2816.4906803699673,-5.655603775843308,-13.222960940704072
1d,14,-0.02,498,218,-2826.258115097851,-5.675217098590062,-12.964486766503903
1d,14,-0.05,498,218,-2832.4819517432006,-5.687714762536547,-12.99303647588624
1d,14,-0.01,498,218,-2833.768423190486,-5.690298038535112,-12.998937721057274
1d,18,1.5,498,220,-2879.611635759412,-5.782352682247815,-13.089143798906418
1d,7,-0.02,498,213,-2926.0492520576113,-5.8756009077462075,-13.737320432195357
1d,18,2.5,498,220,-2933.9049866304667,-5.8913754751615794,-13.335931757411213
1d,12,2.5,498,215,-2948.2177978188583,-5.920116059877226,-13.712640920087713
1d,12,3.0,498,215,-2956.789662474693,-5.937328639507416,-13.752510058021828
1d,18,3.0,498,220,-2995.866598970003,-6.015796383473901,-13.61757544986365
1d,14,-0.03,498,218,-3020.604207058809,-6.065470295298813,-13.855982601187199
1d,7,-0.05,498,213,-3032.427764168494,-6.089212377848382,-14.23675006651875
1d,7,-0.03,498,213,-3035.777304624302,-6.0959383626994015,-14.252475608564797
1d,21,1.5,498,220,-3043.6506378132744,-6.111748268701354,-13.834775626423975
1d,5,1.5,498,204,-3047.540978972058,-6.119560198739072,-14.938926367510089
1d,14,2.5,498,218,-3061.0736857459524,-6.146734308726812,-14.04162241167868
1d,14,1.5,498,218,-3062.652985740674,-6.149905593856775,-14.048866907067312
1d,12,1.5,498,215,-3085.2254020799455,-6.1952317310842275,-14.349885591069514
1d,14,2.0,498,218,-3111.8434205098283,-6.248681567288812,-14.274511103256094
1d,21,2.5,498,220,-3130.894113970193,-6.286935971827696,-14.231336881682696
1d,5,-0.01,498,204,-3134.850073266321,-6.294879665193416,-15.366912123854515
1d,14,3.0,498,218,-3178.79725743774,-6.383127022967349,-14.581638795585963
1d,5,2.5,498,204,-3179.343688258508,-6.384224273611462,-15.585018079698568
1d,5,2.0,498,204,-3188.432729794874,-6.402475361033884,-15.629572204876833
1d,5,-0.02,498,204,-3208.1753288860227,-6.442119134309283,-15.726349651402073
1d,12,2.0,498,215,-3241.9526410333556,-6.509945062315975,-15.078849493178398
1d,18,2.0,498,220,-3254.7577591277013,-6.535658150858838,-14.794353450580461
1d,5,-0.05,498,204,-3297.188353294746,-6.620860147178204,-16.162688006346794
1d,21,3.0,498,220,-3328.742142573905,-6.684221169827119,-15.130646102608658
1d,5,-0.03,498,204,-3373.746713915818,-6.774591795011682,-16.537974087822636
1d,21,2.0,498,220,-3389.386991518528,-6.805997974936803,-15.4063045069024
1d,5,3.0,498,204,-3434.0273471980963,-6.895637243369672,-16.833467388225962
