symbol,trade_count,total_net_profit,win_rate,average_winner,average_loser,payoff_ratio,profit_factor,expectancy,largest_winner,largest_loser,maximum_consecutive_losses
AAL,2,16.229553516631718,0.5,19.847713574821285,-3.6181600581895665,5.4855819686298135,5.4855819686298135,8.114776758315859,19.847713574821285,-3.6181600581895665,1
AAPL,2,38.55397929441202,0.5,41.182890019005,-2.6289107245929833,15.6653817239766,15.6653817239766,19.27698964720601,41.182890019005,-2.6289107245929833,1
ACM,2,13.544676032193095,0.5,52.20410900736154,-38.65943297516844,1.3503588901806463,1.3503588901806463,6.772338016096548,52.20410900736154,-38.65943297516844,1
ACN,1,74.4834635954062,1.0,74.4834635954062,,,,74.4834635954062,74.4834635954062,,0
ADBE,1,74.6592715213662,1.0,74.6592715213662,,,,74.6592715213662,74.6592715213662,,0
ADI,3,-33.37809052726053,0.3333333333333333,37.13802013521434,-35.258055331237436,1.0533201501420109,0.5266600750710054,-11.126030175753511,37.13802013521434,-37.1172954762972,1
ADSK,2,46.26686416683728,1.0,23.13343208341864,,,,23.13343208341864,27.715593974744788,,0
AFL,2,31.565233915228852,0.5,43.23170254408655,-11.6664686288577,3.705637405748504,3.705637405748504,15.782616957614426,43.23170254408655,-11.6664686288577,1
AKAM,2,66.38175622613458,0.5,67.56900143282948,-1.1872452066948918,56.912423020793824,56.912423020793824,33.19087811306729,67.56900143282948,-1.1872452066948918,1
ALL,3,21.170964246273613,0.3333333333333333,35.147385018524105,-6.988210386125246,5.029525883809614,2.514762941904807,7.0569880820912045,35.147385018524105,-12.161454945683213,1
ALLY,2,55.2140241120612,0.5,93.10640895113032,-37.892384839069116,2.457127186545739,2.457127186545739,27.6070120560306,93.10640895113032,-37.892384839069116,1
AMAT,2,-79.33871970549254,0.0,,-39.66935985274627,,0.0,-39.66935985274627,,-56.32866764087862,2
AMC,1,-55.99995422363281,0.0,,-55.99995422363281,,0.0,-55.99995422363281,,-55.99995422363281,1
AMD,1,-42.39613634356913,0.0,,-42.39613634356913,,0.0,-42.39613634356913,,-42.39613634356913,1
AMPL,3,-134.16230613040335,0.3333333333333333,69.77504313040482,-101.96867463040408,0.6842792002868687,0.34213960014343436,-44.72076871013445,69.77504313040482,-110.41650887733354,2
AMZN,2,-55.77879711232481,0.0,,-27.889398556162405,,0.0,-27.889398556162405,,-46.819891375692734,2
ANF,1,23.24327771941475,1.0,23.24327771941475,,,,23.24327771941475,23.24327771941475,,0
APP,3,-179.66565043397875,0.3333333333333333,18.78820443577974,-99.22692743487924,0.1893458249839499,0.09467291249197494,-59.88855014465958,18.78820443577974,-169.70186335403727,2
ARCC,1,11.655473549363261,1.0,11.655473549363261,,,,11.655473549363261,11.655473549363261,,0
ARM,1,56.59322684214908,1.0,56.59322684214908,,,,56.59322684214908,56.59322684214908,,0
AS,1,100.5434584424718,1.0,100.5434584424718,,,,100.5434584424718,100.5434584424718,,0
ASAN,2,128.81166937005793,1.0,64.40583468502896,,,,64.40583468502896,71.02905398437605,,0
ATO,1,-8.612141786636801,0.0,,-8.612141786636801,,0.0,-8.612141786636801,,-8.612141786636801,1
AXP,1,-8.781964265837855,0.0,,-8.781964265837855,,0.0,-8.781964265837855,,-8.781964265837855,1
AZO,2,61.2648349019873,1.0,30.63241745099365,,,,30.63241745099365,38.5038976376955,,0
BA,5,62.28074294315071,0.2,108.08788510448504,-11.451785540333582,9.438518100412884,2.359629525103221,12.456148588630143,108.08788510448504,-40.0382629102497,4
BABA,2,10.140806177549258,0.5,20.63999357999266,-10.4991874024434,1.9658658131189526,1.9658658131189526,5.070403088774629,20.63999357999266,-10.4991874024434,1
BAC,1,14.022747739365638,1.0,14.022747739365638,,,,14.022747739365638,14.022747739365638,,0
BBW,1,86.44095704495435,1.0,86.44095704495435,,,,86.44095704495435,86.44095704495435,,0
BBY,2,90.58752436169512,1.0,45.29376218084756,,,,45.29376218084756,76.4790851317431,,0
BEN,2,33.62668020812954,1.0,16.81334010406477,,,,16.81334010406477,21.42340967676661,,0
BFC,2,-18.43488100429575,0.5,27.64002378685696,-46.07490479115271,0.5998932371568219,0.5998932371568219,-9.217440502147875,27.64002378685696,-46.07490479115271,1
