work_key,payload,result
1065892:1:USO,"{""symbol"": ""USO"", ""market_id"": ""1065892"", ""pass_number"": 1}","{""model_status"": ""trained"", ""trades_opened"": 0, ""semantic_group"": ""military_escalation+energy_beneficiary"", ""entry_decisions"": [{""opened"": false, ""reason"": ""semantic_long_only_rejects_short_prediction"", ""direction"": ""short"", ""portfolio"": ""machine_learning"", ""remaining_gap"": 0.03193032854914133, ""target_reached"": true, ""strategy_branch"": ""machine_learning"", ""directions_agree"": false, ""predicted_peak_percent"": 0.042485610768328665, ""predicted_target_price"": 72.09830865843394, ""realized_move_at_entry"": -0.010555282219187334, ""classification_probability"": 0.4760438048162599, ""price_confirmation_momentum"": null, ""polymarket_volume_statistics"": {""reason"": ""polymarket_volume_quality_confirmed"", ""allowed"": true, ""gate_applied"": false, ""largest_hour_share"": 0.4662644396965216, ""active_volume_hours"": 32, ""pre_entry_volume_usdc"": 17132.765108999996, ""largest_hour_volume_usdc"": 7988.399123999998, ""median_active_hour_volume_usdc"": 70.62999249999999, ""latest_completed_hour_volume_usdc"": 2111.14601}}], ""yes_outcome_polarity"": ""positive""}"
1065893:1:USO,"{""symbol"": ""USO"", ""market_id"": ""1065893"", ""pass_number"": 1}","{""model_status"": ""trained"", ""trades_opened"": 0, ""semantic_group"": ""military_escalation+energy_beneficiary"", ""entry_decisions"": [{""opened"": false, ""reason"": ""semantic_long_only_rejects_short_prediction"", ""direction"": ""short"", ""portfolio"": ""machine_learning"", ""remaining_gap"": 0.050727364161070355, ""target_reached"": true, ""strategy_branch"": ""machine_learning"", ""directions_agree"": false, ""predicted_peak_percent"": 0.042485610768328665, ""predicted_target_price"": 72.09830865843394, ""realized_move_at_entry"": 0.00824175339274169, ""classification_probability"": 0.4760438048162599, ""price_confirmation_momentum"": null, ""polymarket_volume_statistics"": {""reason"": ""polymarket_volume_quality_confirmed"", ""allowed"": true, ""gate_applied"": false, ""largest_hour_share"": 0.6388872535043192, ""active_volume_hours"": 39, ""pre_entry_volume_usdc"": 7647.929292999998, ""largest_hour_volume_usdc"": 4886.164540999998, ""median_active_hour_volume_usdc"": 27.771994, ""latest_completed_hour_volume_usdc"": 60.67964}}], ""yes_outcome_polarity"": ""positive""}"
1065894:1:USO,"{""symbol"": ""USO"", ""market_id"": ""1065894"", ""pass_number"": 1}","{""model_status"": ""trained"", ""trades_opened"": 0, ""semantic_group"": ""military_escalation+energy_beneficiary"", ""entry_decisions"": [{""opened"": false, ""reason"": ""semantic_long_only_rejects_short_prediction"", ""direction"": ""short"", ""portfolio"": ""machine_learning"", ""remaining_gap"": 0.050727364161070355, ""target_reached"": true, ""strategy_branch"": ""machine_learning"", ""directions_agree"": false, ""predicted_peak_percent"": 0.042485610768328665, ""predicted_target_price"": 72.09830865843394, ""realized_move_at_entry"": 0.00824175339274169, ""classification_probability"": 0.4760438048162599, ""price_confirmation_momentum"": null, ""polymarket_volume_statistics"": {""reason"": ""polymarket_volume_quality_confirmed"", ""allowed"": true, ""gate_applied"": false, ""largest_hour_share"": 0.5101185697327382, ""active_volume_hours"": 37, ""pre_entry_volume_usdc"": 5212.408561, ""largest_hour_volume_usdc"": 2658.9464, ""median_active_hour_volume_usdc"": 28.15, ""latest_completed_hour_volume_usdc"": 45.7542}}], ""yes_outcome_polarity"": ""positive""}"
1065895:1:USO,"{""symbol"": ""USO"", ""market_id"": ""1065895"", ""pass_number"": 1}","{""model_status"": ""trained"", ""trades_opened"": 0, ""semantic_group"": ""military_escalation+energy_beneficiary"", ""entry_decisions"": [{""opened"": false, ""reason"": ""semantic_long_only_rejects_short_prediction"", ""direction"": ""short"", ""portfolio"": ""machine_learning"", ""remaining_gap"": 0.050727364161070355, ""target_reached"": true, ""strategy_branch"": ""machine_learning"", ""directions_agree"": false, ""predicted_peak_percent"": 0.042485610768328665, ""predicted_target_price"": 72.09830865843394, ""realized_move_at_entry"": 0.00824175339274169, ""classification_probability"": 0.4760438048162599, ""price_confirmation_momentum"": null, ""polymarket_volume_statistics"": {""reason"": ""polymarket_volume_quality_confirmed"", ""allowed"": true, ""gate_applied"": false, ""largest_hour_share"": 0.17644557294978394, ""active_volume_hours"": 30, ""pre_entry_volume_usdc"": 850.016753, ""largest_hour_volume_usdc"": 149.98169299999998, ""median_active_hour_volume_usdc"": 17.499997, ""latest_completed_hour_volume_usdc"": 65.303594}}], ""yes_outcome_polarity"": ""positive""}"
1065896:1:USO,"{""symbol"": ""USO"", ""market_id"": ""1065896"", ""pass_number"": 1}","{""model_status"": ""trained"", ""trades_opened"": 0, ""semantic_group"": ""military_escalation+energy_beneficiary"", ""entry_decisions"": [{""opened"": false, ""reason"": ""semantic_long_only_rejects_short_prediction"", ""direction"": ""short"", ""portfolio"": ""machine_learning"", ""remaining_gap"": 0.050727364161070355, ""target_reached"": true, ""strategy_branch"": ""machine_learning"", ""directions_agree"": false, ""predicted_peak_percent"": 0.042485610768328665, ""predicted_target_price"": 72.09830865843394, ""realized_move_at_entry"": 0.00824175339274169, ""classification_probability"": 0.4760438048162599, ""price_confirmation_momentum"": null, ""polymarket_volume_statistics"": {""reason"": ""polymarket_volume_quality_confirmed"", ""allowed"": true, ""gate_applied"": false, ""largest_hour_share"": 0.32203232186167485, ""active_volume_hours"": 20, ""pre_entry_volume_usdc"": 332.264772, ""largest_hour_volume_usdc"": 106.99999600000001, ""median_active_hour_volume_usdc"": 11.4999995, ""latest_completed_hour_volume_usdc"": 14.999998999999999}}], ""yes_outcome_polarity"": ""positive""}"
1065897:1:USO,"{""symbol"": ""USO"", ""market_id"": ""1065897"", ""pass_number"": 1}","{""model_status"": ""trained"", ""trades_opened"": 0, ""semantic_group"": ""military_escalation+energy_beneficiary"", ""entry_decisions"": [{""opened"": false, ""reason"": ""semantic_long_only_rejects_short_prediction"", ""direction"": ""short"", ""portfolio"": ""machine_learning"", ""remaining_gap"": 0.050727364161070355, ""target_reached"": true, ""strategy_branch"": ""machine_learning"", ""directions_agree"": false, ""predicted_peak_percent"": 0.042485610768328665, ""predicted_target_price"": 72.09830865843394, ""realized_move_at_entry"": 0.00824175339274169, ""classification_probability"": 0.4760438048162599, ""price_confirmation_momentum"": null, ""polymarket_volume_statistics"": {""reason"": ""polymarket_volume_quality_confirmed"", ""allowed"": true, ""gate_applied"": false, ""largest_hour_share"": 0.227311481557494, ""active_volume_hours"": 13, ""pre_entry_volume_usdc"": 175.969985, ""largest_hour_volume_usdc"": 39.999998, ""median_active_hour_volume_usdc"": 10.8, ""latest_completed_hour_volume_usdc"": 0.999999}}], ""yes_outcome_polarity"": ""positive""}"
1065898:1:USO,"{""symbol"": ""USO"", ""market_id"": ""1065898"", ""pass_number"": 1}","{""model_status"": ""trained"", ""trades_opened"": 0, ""semantic_group"": ""military_escalation+energy_beneficiary"", ""entry_decisions"": [{""opened"": false, ""reason"": ""semantic_long_only_rejects_short_prediction"", ""direction"": ""short"", ""portfolio"": ""machine_learning"", ""remaining_gap"": 0.050727364161070355, ""target_reached"": true, ""strategy_branch"": ""machine_learning"", ""directions_agree"": false, ""predicted_peak_percent"": 0.042485610768328665, ""predicted_target_price"": 72.09830865843394, ""realized_move_at_entry"": 0.00824175339274169, ""classification_probability"": 0.4760438048162599, ""price_confirmation_momentum"": null, ""polymarket_volume_statistics"": {""reason"": ""polymarket_volume_quality_confirmed"", ""allowed"": true, ""gate_applied"": false, ""largest_hour_share"": 0.47214357516534516, ""active_volume_hours"": 7, ""pre_entry_volume_usdc"": 52.949993, ""largest_hour_volume_usdc"": 24.999999, ""median_active_hour_volume_usdc"": 2.45, ""latest_completed_hour_volume_usdc"": 2.45}}], ""yes_outcome_polarity"": ""positive""}"
1065899:1:USO,"{""symbol"": ""USO"", ""market_id"": ""1065899"", ""pass_number"": 1}","{""model_status"": ""trained"", ""trades_opened"": 0, ""semantic_group"": ""military_escalation+energy_beneficiary"", ""entry_decisions"": [{""opened"": false, ""reason"": ""semantic_long_only_rejects_short_prediction"", ""direction"": ""short"", ""portfolio"": ""machine_learning"", ""remaining_gap"": 0.050727364161070355, ""target_reached"": true, ""strategy_branch"": ""machine_learning"", ""directions_agree"": false, ""predicted_peak_percent"": 0.042485610768328665, ""predicted_target_price"": 72.09830865843394, ""realized_move_at_entry"": 0.00824175339274169, ""classification_probability"": 0.4760438048162599, ""price_confirmation_momentum"": null, ""polymarket_volume_statistics"": {""reason"": ""polymarket_volume_not_significant"", ""allowed"": false, ""gate_applied"": false, ""largest_hour_share"": null, ""active_volume_hours"": 0, ""pre_entry_volume_usdc"": 0.0, ""largest_hour_volume_usdc"": 0.0, ""median_active_hour_volume_usdc"": null, ""latest_completed_hour_volume_usdc"": 0.0}}], ""yes_outcome_polarity"": ""positive""}"
1065900:1:USO,"{""symbol"": ""USO"", ""market_id"": ""1065900"", ""pass_number"": 1}","{""model_status"": ""trained"", ""trades_opened"": 0, ""semantic_group"": ""military_escalation+energy_beneficiary"", ""entry_decisions"": [{""opened"": false, ""reason"": ""semantic_long_only_rejects_short_prediction"", ""direction"": ""short"", ""portfolio"": ""machine_learning"", ""remaining_gap"": 0.050727364161070355, ""target_reached"": true, ""strategy_branch"": ""machine_learning"", ""directions_agree"": false, ""predicted_peak_percent"": 0.042485610768328665, ""predicted_target_price"": 72.09830865843394, ""realized_move_at_entry"": 0.00824175339274169, ""classification_probability"": 0.4760438048162599, ""price_confirmation_momentum"": null, ""polymarket_volume_statistics"": {""reason"": ""polymarket_volume_not_significant"", ""allowed"": false, ""gate_applied"": false, ""largest_hour_share"": null, ""active_volume_hours"": 0, ""pre_entry_volume_usdc"": 0.0, ""largest_hour_volume_usdc"": 0.0, ""median_active_hour_volume_usdc"": null, ""latest_completed_hour_volume_usdc"": 0.0}}], ""yes_outcome_polarity"": ""positive""}"
1065901:1:USO,"{""symbol"": ""USO"", ""market_id"": ""1065901"", ""pass_number"": 1}","{""model_status"": ""trained"", ""trades_opened"": 0, ""semantic_group"": ""military_escalation+energy_beneficiary"", ""entry_decisions"": [{""opened"": false, ""reason"": ""semantic_long_only_rejects_short_prediction"", ""direction"": ""short"", ""portfolio"": ""machine_learning"", ""remaining_gap"": 0.0371356580935178, ""target_reached"": true, ""strategy_branch"": ""machine_learning"", ""directions_agree"": false, ""predicted_peak_percent"": 0.042485610768328665, ""predicted_target_price"": 72.09830865843394, ""realized_move_at_entry"": -0.005349952674810865, ""classification_probability"": 0.4760438048162599, ""price_confirmation_momentum"": null, ""polymarket_volume_statistics"": {""reason"": ""polymarket_volume_not_significant"", ""allowed"": false, ""gate_applied"": false, ""largest_hour_share"": 1.0, ""active_volume_hours"": 1, ""pre_entry_volume_usdc"": 3.9999819999999997, ""largest_hour_volume_usdc"": 3.9999819999999997, ""median_active_hour_volume_usdc"": 3.9999819999999997, ""latest_completed_hour_volume_usdc"": 3.9999819999999997}}], ""yes_outcome_polarity"": ""positive""}"
