resolution,range_period,range_multiplier,signal_count,opened_trade_count,total_signal_net_profit,average_signal_net_profit,average_opened_trade_net_profit
1d,21,1.5,152,67,-1134.2257845909169,-7.462011740729716,-16.928743053595774
1d,5,1.5,152,64,-1166.5393712523162,-7.674601126659975,-18.22717767581744
1d,7,-0.01,152,67,-1267.6692970818935,-8.33992958606509,-18.92043726987901
1d,7,1.5,152,67,-1286.160769761501,-8.46158401158882,-19.196429399425387
1d,5,-0.01,152,64,-1335.0224924461131,-8.78304271346127,-20.859726444470517
1d,5,2.0,152,64,-1341.9492271057131,-8.828613336221798,-20.967956673526768
1d,5,-0.02,152,64,-1350.2646636187494,-8.883320155386508,-21.09788536904296
1d,14,1.5,152,71,-1355.0285042578016,-8.914661212222379,-19.084908510673262
1d,7,2.5,152,67,-1372.7706648470291,-9.031385952940981,-20.489114400701926
1d,18,1.5,152,72,-1373.3072490287145,-9.034916112031016,-19.07371179206548
1d,7,2.0,152,67,-1384.669470975567,-9.109667572207679,-20.666708522023388
1d,21,-0.01,152,67,-1392.9833667630503,-9.164364255020068,-20.790796518851497
1d,5,2.5,152,64,-1402.0969098344244,-9.224321775226477,-21.90776421616288
1d,7,-0.02,152,67,-1414.9541236256694,-9.308908708063614,-21.11871826306969
1d,18,-0.01,152,72,-1431.167021039785,-9.41557250684069,-19.87731973666368
1d,12,-0.01,152,67,-1447.2489513704386,-9.521374680068675,-21.60073061746923
1d,14,-0.01,152,71,-1447.440512185933,-9.522634948591664,-20.386486087125814
1d,12,1.5,152,67,-1454.405286883978,-9.568455834763014,-21.707541595283256
1d,14,2.0,152,71,-1521.481108911827,-10.00974413757781,-21.429311393124326
1d,14,-0.02,152,71,-1569.846275862004,-10.32793602540792,-22.110510927633857
1d,21,-0.02,152,67,-1580.3635889235318,-10.39712887449692,-23.587516252590028
1d,5,-0.05,152,64,-1608.496404564962,-10.582213187927382,-25.13275632132753
1d,5,-0.03,152,64,-1608.496404564962,-10.582213187927382,-25.13275632132753
1d,18,-0.02,152,72,-1609.1109586805958,-10.586256307109183,-22.348763315008274
1d,7,3.0,152,67,-1612.3958990615788,-10.60786775698407,-24.06561043375491
1d,12,-0.02,152,67,-1632.9372432455416,-10.743008179246985,-24.372197660381218
1d,5,3.0,152,64,-1638.11757352012,-10.777089299474474,-25.595587086251875
1d,21,2.0,152,67,-1671.5302174777573,-10.996909325511561,-24.94821220116056
1d,7,-0.05,152,67,-1671.9964754944367,-10.9999768124634,-24.955171276036367
1d,7,-0.03,152,67,-1671.9964754944367,-10.9999768124634,-24.955171276036367
1d,14,2.5,152,71,-1682.6873966783214,-11.070311820252115,-23.699822488427063
1d,18,2.0,152,72,-1697.7378044892562,-11.169327661113527,-23.579691729017448
1d,12,2.5,152,67,-1709.1543772964135,-11.244436692739562,-25.509766825319605
1d,18,2.5,152,72,-1757.8876140846728,-11.565050092662322,-24.41510575117601
1d,12,2.0,152,67,-1771.1606958432972,-11.65237299896906,-26.435234266317867
1d,21,2.5,152,67,-1830.8241796074033,-12.044895918469757,-27.325734023991092
1d,14,3.0,152,71,-1871.3590028031556,-12.311572386862865,-26.35716905356557
1d,14,-0.05,152,71,-1913.3669537527908,-12.587940485215729,-26.94883033454635
1d,12,3.0,152,67,-1923.5969093414299,-12.65524282461467,-28.71040163196164
1d,18,3.0,152,72,-1934.0304675858777,-12.723884655170247,-26.861534272026077
1d,14,-0.03,152,71,-1936.994681747393,-12.743386064127586,-27.281615235878775
1d,12,-0.05,152,67,-1954.4590851830808,-12.858283455151847,-29.171031122135535
1d,12,-0.03,152,67,-1957.9715775401548,-12.881391957501018,-29.223456381196343
1d,18,-0.03,152,72,-1996.0390925188747,-13.131836134992596,-27.72276517387326
1d,21,3.0,152,67,-2000.0654881925504,-13.158325580214148,-29.851723704366425
1d,21,-0.03,152,67,-2004.7063349575164,-13.188857466825766,-29.920990073992783
1d,18,-0.05,152,72,-2018.9195380570677,-13.282365381954392,-28.040549139681495
1d,21,-0.05,152,67,-2121.5405726369645,-13.95750376734845,-31.66478466622335
