resolution,range_period,range_multiplier,signal_count,opened_trade_count,total_signal_net_profit,average_signal_net_profit,average_opened_trade_net_profit
1d,12,-0.05,498,215,-2475.142152219613,-4.970164964296411,-11.512289080091223
1d,18,-0.05,498,220,-2495.388795850061,-5.010820875200926,-11.342676344773004
1d,18,-0.02,498,220,-2514.97934954547,-5.050159336436687,-11.431724316115773
1d,21,-0.02,498,220,-2520.4430732788064,-5.061130669234551,-11.456559423994575
1d,21,-0.01,498,220,-2521.699005897255,-5.063652622283644,-11.462268208623886
1d,18,-0.01,498,220,-2555.118164113607,-5.130759365689974,-11.614173473243667
1d,12,-0.02,498,215,-2576.1648151079708,-5.1730217170842785,-11.982161930734748
1d,12,-0.01,498,215,-2579.892182762973,-5.180506391090307,-11.999498524478943
1d,21,-0.05,498,220,-2586.8126649658257,-5.194402941698445,-11.758239386208299
1d,7,-0.01,498,213,-2628.544793863036,-5.278202397315333,-12.34058588668092
1d,7,2.5,498,213,-2649.1895292024537,-5.319657689161554,-12.437509526772084
1d,12,-0.03,498,215,-2722.36282077779,-5.466592009593956,-12.662152654780419
1d,7,1.5,498,213,-2769.8272738335263,-5.561902156292222,-13.003883914711391
1d,21,-0.03,498,220,-2775.8197007143435,-5.573935141996674,-12.617362275974289
1d,7,3.0,498,213,-2777.923721392257,-5.578160083116982,-13.041895405597451
1d,18,-0.03,498,220,-2781.641059786843,-5.58562461804587,-12.643822999031105
1d,7,2.0,498,213,-2816.490680369968,-5.655603775843309,-13.222960940704073
1d,14,-0.02,498,218,-2826.2581150978513,-5.675217098590063,-12.964486766503905
1d,14,-0.05,498,218,-2832.4819517432015,-5.687714762536549,-12.993036475886246
1d,14,-0.01,498,218,-2833.768423190487,-5.690298038535114,-12.99893772105728
1d,18,1.5,498,220,-2879.6116357594115,-5.782352682247814,-13.089143798906417
1d,7,-0.02,498,213,-2926.0492520576113,-5.8756009077462075,-13.737320432195357
1d,18,2.5,498,220,-2933.9049866304667,-5.8913754751615794,-13.335931757411213
1d,12,2.5,498,215,-2948.2177978188574,-5.920116059877223,-13.71264092008771
1d,12,3.0,498,215,-2956.7896624746927,-5.937328639507415,-13.752510058021826
1d,18,3.0,498,220,-2995.866598970004,-6.015796383473903,-13.617575449863654
1d,14,-0.03,498,218,-3020.6042070588096,-6.065470295298814,-13.8559826011872
1d,7,-0.05,498,213,-3032.427764168494,-6.089212377848382,-14.23675006651875
1d,7,-0.03,498,213,-3035.7773046243015,-6.095938362699401,-14.252475608564795
1d,21,1.5,498,220,-3043.6506378132744,-6.111748268701354,-13.834775626423975
1d,5,1.5,498,204,-3047.540978972058,-6.119560198739072,-14.938926367510089
1d,14,2.5,498,218,-3061.0736857459515,-6.14673430872681,-14.041622411678677
1d,14,1.5,498,218,-3062.6529857406745,-6.149905593856776,-14.048866907067314
1d,12,1.5,498,215,-3085.2254020799455,-6.1952317310842275,-14.349885591069514
1d,14,2.0,498,218,-3111.843420509829,-6.248681567288813,-14.274511103256096
1d,21,2.5,498,220,-3130.894113970193,-6.286935971827696,-14.231336881682696
1d,5,-0.01,498,204,-3134.850073266321,-6.294879665193416,-15.366912123854515
1d,14,3.0,498,218,-3178.79725743774,-6.383127022967349,-14.581638795585963
1d,5,2.5,498,204,-3179.3436882585074,-6.38422427361146,-15.585018079698566
1d,5,2.0,498,204,-3188.432729794874,-6.402475361033884,-15.629572204876833
1d,5,-0.02,498,204,-3208.1753288860227,-6.442119134309283,-15.726349651402073
1d,12,2.0,498,215,-3241.9526410333556,-6.509945062315975,-15.078849493178398
1d,18,2.0,498,220,-3254.757759127702,-6.535658150858839,-14.794353450580463
1d,5,-0.05,498,204,-3297.188353294746,-6.620860147178204,-16.162688006346794
1d,21,3.0,498,220,-3328.742142573905,-6.684221169827119,-15.130646102608658
1d,5,-0.03,498,204,-3373.746713915818,-6.774591795011682,-16.537974087822636
1d,21,2.0,498,220,-3389.3869915185282,-6.805997974936804,-15.406304506902401
1d,5,3.0,498,204,-3434.027347198097,-6.895637243369673,-16.833467388225966
