resolution,range_period,range_multiplier,signal_count,opened_trade_count,total_signal_net_profit,average_signal_net_profit,average_opened_trade_net_profit
1d,12,-0.05,498,215,-2475.1421522196124,-4.97016496429641,-11.51228908009122
1d,18,-0.05,498,220,-2495.3887958500613,-5.010820875200927,-11.342676344773006
1d,18,-0.02,498,220,-2514.979349545469,-5.0501593364366855,-11.43172431611577
1d,21,-0.02,498,220,-2520.443073278806,-5.06113066923455,-11.456559423994573
1d,21,-0.01,498,220,-2521.699005897255,-5.063652622283644,-11.462268208623886
1d,18,-0.01,498,220,-2555.1181641136063,-5.130759365689973,-11.614173473243666
1d,12,-0.02,498,215,-2576.1648151079708,-5.1730217170842785,-11.982161930734748
1d,12,-0.01,498,215,-2579.892182762973,-5.180506391090307,-11.999498524478943
1d,21,-0.05,498,220,-2586.8126649658257,-5.194402941698445,-11.758239386208299
1d,7,-0.01,498,213,-2628.544793863035,-5.278202397315331,-12.340585886680916
1d,7,2.5,498,213,-2649.1895292024537,-5.319657689161554,-12.437509526772084
1d,12,-0.03,498,215,-2722.3628207777906,-5.466592009593957,-12.66215265478042
1d,7,1.5,498,213,-2769.8272738335254,-5.56190215629222,-13.003883914711388
1d,21,-0.03,498,220,-2775.8197007143426,-5.573935141996672,-12.617362275974285
1d,7,3.0,498,213,-2777.9237213922574,-5.578160083116983,-13.041895405597453
1d,18,-0.03,498,220,-2781.6410597868426,-5.585624618045869,-12.643822999031103
1d,7,2.0,498,213,-2816.490680369967,-5.655603775843307,-13.22296094070407
1d,14,-0.02,498,218,-2826.2581150978513,-5.675217098590063,-12.964486766503905
1d,14,-0.05,498,218,-2832.4819517432006,-5.687714762536547,-12.99303647588624
1d,14,-0.01,498,218,-2833.7684231904864,-5.690298038535113,-12.998937721057278
1d,18,1.5,498,220,-2879.611635759411,-5.782352682247813,-13.089143798906413
1d,7,-0.02,498,213,-2926.049252057611,-5.875600907746207,-13.737320432195355
1d,18,2.5,498,220,-2933.904986630467,-5.89137547516158,-13.335931757411215
1d,12,2.5,498,215,-2948.2177978188583,-5.920116059877226,-13.712640920087713
1d,12,3.0,498,215,-2956.7896624746936,-5.937328639507417,-13.75251005802183
1d,18,3.0,498,220,-2995.866598970004,-6.015796383473903,-13.617575449863654
1d,14,-0.03,498,218,-3020.604207058809,-6.065470295298813,-13.855982601187199
1d,7,-0.05,498,213,-3032.427764168494,-6.089212377848382,-14.23675006651875
1d,7,-0.03,498,213,-3035.7773046243015,-6.095938362699401,-14.252475608564795
1d,21,1.5,498,220,-3043.650637813275,-6.111748268701355,-13.834775626423976
1d,5,1.5,498,204,-3047.5409789720575,-6.119560198739071,-14.938926367510085
1d,14,2.5,498,218,-3061.0736857459524,-6.146734308726812,-14.04162241167868
1d,14,1.5,498,218,-3062.652985740674,-6.149905593856775,-14.048866907067312
1d,12,1.5,498,215,-3085.2254020799455,-6.1952317310842275,-14.349885591069514
1d,14,2.0,498,218,-3111.8434205098283,-6.248681567288812,-14.274511103256094
1d,21,2.5,498,220,-3130.894113970192,-6.2869359718276945,-14.23133688168269
1d,5,-0.01,498,204,-3134.850073266321,-6.294879665193416,-15.366912123854515
1d,14,3.0,498,218,-3178.7972574377404,-6.383127022967351,-14.581638795585965
1d,5,2.5,498,204,-3179.3436882585074,-6.38422427361146,-15.585018079698566
1d,5,2.0,498,204,-3188.432729794873,-6.402475361033882,-15.629572204876828
1d,5,-0.02,498,204,-3208.175328886023,-6.442119134309284,-15.726349651402074
1d,12,2.0,498,215,-3241.952641033356,-6.509945062315976,-15.0788494931784
1d,18,2.0,498,220,-3254.757759127701,-6.535658150858837,-14.79435345058046
1d,5,-0.05,498,204,-3297.188353294746,-6.620860147178204,-16.162688006346794
1d,21,3.0,498,220,-3328.742142573905,-6.684221169827119,-15.130646102608658
1d,5,-0.03,498,204,-3373.746713915818,-6.774591795011682,-16.537974087822636
1d,21,2.0,498,220,-3389.3869915185287,-6.805997974936805,-15.406304506902403
1d,5,3.0,498,204,-3434.0273471980963,-6.895637243369672,-16.833467388225962
