date,realized_daily_pnl,realized_signal_notional,daily_return,cumulative_pnl,drawdown
2024-10-03,-6.779022766213175,1000.0,-0.006779022766213175,-6.779022766213175,-6.779022766213175
2024-10-04,17.038720128623396,1000.0,0.017038720128623397,10.259697362410222,0.0
2024-10-07,0.0,0.0,0.0,10.259697362410222,0.0
2024-10-08,30.105683398896634,6000.0,0.005017613899816106,40.36538076130685,0.0
2024-10-09,-36.74841433530261,5000.0,-0.007349682867060523,3.6169664260042396,-36.74841433530261
2024-10-10,0.0,0.0,0.0,3.6169664260042396,-36.74841433530261
2024-10-11,0.0,0.0,0.0,3.6169664260042396,-36.74841433530261
2024-10-14,0.0,0.0,0.0,3.6169664260042396,-36.74841433530261
2024-10-15,0.0,0.0,0.0,3.6169664260042396,-36.74841433530261
2024-10-16,0.0,0.0,0.0,3.6169664260042396,-36.74841433530261
2024-10-17,0.0,0.0,0.0,3.6169664260042396,-36.74841433530261
2024-10-18,-58.38259493968512,6000.0,-0.00973043248994752,-54.76562851368088,-95.13100927498773
2024-10-21,0.0,0.0,0.0,-54.76562851368088,-95.13100927498773
2024-10-22,0.0,0.0,0.0,-54.76562851368088,-95.13100927498773
2024-10-23,0.0,0.0,0.0,-54.76562851368088,-95.13100927498773
2024-10-24,0.0,0.0,0.0,-54.76562851368088,-95.13100927498773
2024-10-25,0.0,0.0,0.0,-54.76562851368088,-95.13100927498773
2024-10-28,0.0,0.0,0.0,-54.76562851368088,-95.13100927498773
2024-10-29,0.0,0.0,0.0,-54.76562851368088,-95.13100927498773
2024-10-30,-25.077592761902277,1000.0,-0.025077592761902277,-79.84322127558316,-120.20860203689001
2024-10-31,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
2024-11-01,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
2024-11-04,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
2024-11-05,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
2024-11-06,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
2024-11-07,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
2024-11-08,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
2024-11-11,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
2024-11-12,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
2024-11-13,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
2024-11-14,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
2024-11-15,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
2024-11-18,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
2024-11-19,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
2024-11-20,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
2024-11-21,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
2024-11-22,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
2024-11-25,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
2024-11-26,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
2024-11-27,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
2024-11-28,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
2024-11-29,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
2024-12-02,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
2024-12-03,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
2024-12-04,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
2024-12-05,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
2024-12-06,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
2024-12-09,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
2024-12-10,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
2024-12-11,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
2024-12-12,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
2024-12-13,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
2024-12-16,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
2024-12-17,0.0,0.0,0.0,-79.84322127558316,-120.20860203689001
