resolution,range_period,range_multiplier,signal_count,opened_trade_count,total_signal_net_profit,average_signal_net_profit,average_opened_trade_net_profit
1d,21,-0.01,498,220,-2526.3164239919956,-5.072924546168666,-11.48325647269089
1d,21,-0.02,498,220,-2561.460871755568,-5.143495726416803,-11.64300396252531
1d,18,-0.02,498,220,-2571.3878705919556,-5.163429459019991,-11.68812668450889
1d,18,-0.01,498,220,-2671.3192486474404,-5.364094876802089,-12.14236022112473
1d,12,-0.01,498,215,-2700.0316417349536,-5.421750284608341,-12.55828670574397
1d,7,-0.01,498,213,-2706.326127503199,-5.434389814263452,-12.70575646715117
1d,12,-0.02,498,215,-2732.2270026780498,-5.486399603771185,-12.70803257059558
1d,18,-0.05,498,220,-2773.209593232981,-5.568693962315224,-12.605498151059006
1d,12,-0.05,498,215,-2805.49162883863,-5.6335173269852,-13.048798273668046
1d,7,2.5,498,213,-2821.5924279116325,-5.6658482488185395,-13.246912807096866
1d,7,3.0,498,213,-2873.938837538332,-5.770961521161309,-13.492670598771511
1d,21,-0.05,498,220,-2887.0036532974564,-5.797196090958748,-13.122743878624801
1d,7,1.5,498,213,-2887.5256085886795,-5.798244193953171,-13.55645825628488
1d,12,-0.03,498,215,-2889.6392579479025,-5.802488469774905,-13.440182595106522
1d,18,-0.03,498,220,-2897.8580601446242,-5.818992088643824,-13.172082091566473
1d,14,-0.02,498,218,-2922.4057417300905,-5.868284621947973,-13.405530925367389
1d,21,-0.03,498,220,-2926.8183705035926,-5.8771453222963705,-13.303719865925421
1d,14,-0.01,498,218,-2929.760099055762,-5.883052407742494,-13.439266509430102
1d,18,1.5,498,220,-2960.2680758686383,-5.944313405358711,-13.455763981221084
1d,7,2.0,498,213,-2965.981750076751,-5.955786646740464,-13.92479694871714
1d,7,-0.02,498,213,-3035.688486797414,-6.095760013649426,-14.252058623462037
1d,5,1.5,498,204,-3038.487222149811,-6.101379964156247,-14.89454520661672
1d,21,1.5,498,220,-3039.3548050028235,-6.103122098399244,-13.815249113649198
1d,12,3.0,498,215,-3070.648053066559,-6.165959945916785,-14.282083967751436
1d,14,-0.05,498,218,-3084.8850255552716,-6.19454824408689,-14.150848741079228
1d,18,2.5,498,220,-3096.125356982734,-6.217119190728382,-14.073297077194246
1d,7,-0.05,498,213,-3118.548637366178,-6.262145858165016,-14.641073414864685
1d,14,-0.03,498,218,-3119.282739301755,-6.26361995843726,-14.308636418815391
1d,7,-0.03,498,213,-3121.898177821986,-6.2688718430160355,-14.656798956910732
1d,14,1.5,498,218,-3144.220820522391,-6.313696426751789,-14.423031286799958
1d,5,-0.01,498,204,-3156.8991202714415,-6.3391548599828145,-15.474995687605105
1d,18,3.0,498,220,-3157.073043604603,-6.3395041036237005,-14.350332016384558
1d,12,1.5,498,215,-3163.5807396079435,-6.352571766281011,-14.714329021432295
1d,5,2.5,498,204,-3166.201043846314,-6.357833421378141,-15.520593352187813
1d,12,2.5,498,215,-3180.48999064045,-6.386526085623394,-14.792976700653256
1d,5,2.0,498,204,-3187.539097218245,-6.400680918108925,-15.625191653030612
1d,5,-0.02,498,204,-3209.8828747669795,-6.445547941299155,-15.73471997434794
1d,21,2.5,498,220,-3259.2306957548844,-6.544639951315029,-14.81468498070402
1d,14,3.0,498,218,-3275.0330186461215,-6.576371523385786,-15.02308724149597
1d,14,2.5,498,218,-3278.1274969751603,-6.582585335291487,-15.037282096216332
1d,14,2.0,498,218,-3302.567921561184,-6.631662493094747,-15.149394135601762
1d,5,-0.05,498,204,-3315.9579907439247,-6.658550182216716,-16.254696033058455
1d,21,3.0,498,220,-3360.194193110252,-6.7473778978117505,-15.273609968682964
1d,5,-0.03,498,204,-3375.454259796774,-6.778020602001554,-16.546344410768498
1d,12,2.0,498,215,-3431.348930605581,-6.890258896798355,-15.959762467932935
1d,5,3.0,498,204,-3435.734893079053,-6.8990660503595445,-16.84183771117183
1d,18,2.0,498,220,-3458.6292785811606,-6.945038712010363,-15.721042175368911
1d,21,2.0,498,220,-3494.5999686470936,-7.017269013347578,-15.884545312032245
