symbol,trade_count,total_net_profit,win_rate,average_winner,average_loser,payoff_ratio,profit_factor,expectancy,largest_winner,largest_loser,maximum_consecutive_losses
AB,1,22.010181100187882,1.0,22.010181100187882,,,,22.010181100187882,22.010181100187882,,0
ADI,1,37.13802013521434,1.0,37.13802013521434,,,,37.13802013521434,37.13802013521434,,0
ADSK,1,-16.306538793665275,0.0,,-16.306538793665275,,0.0,-16.306538793665275,,-16.306538793665275,1
AMAT,1,-23.01005206461391,0.0,,-23.01005206461391,,0.0,-23.01005206461391,,-23.01005206461391,1
AMZN,1,-8.958905736632076,0.0,,-8.958905736632076,,0.0,-8.958905736632076,,-8.958905736632076,1
BA,2,-5.096126724901694,0.0,,-2.548063362450847,,0.0,-2.548063362450847,,-2.548063362450847,2
BGC,1,-11.793166814249243,0.0,,-11.793166814249243,,0.0,-11.793166814249243,,-11.793166814249243,1
BNO,6,69.45747267514461,0.3333333333333333,163.16159615010514,-64.21642990626643,2.5408076467076124,1.2704038233538062,11.576245445857436,262.02277384327914,-105.24587162021872,3
BP,2,58.526694176431484,1.0,29.263347088215742,,,,29.263347088215742,41.48797404780809,,0
BURL,1,-15.103015691001932,0.0,,-15.103015691001932,,0.0,-15.103015691001932,,-15.103015691001932,1
BWXT,2,-86.29927399376056,0.0,,-43.14963699688028,,0.0,-43.14963699688028,,-74.81553398058252,2
CASY,1,-26.05960157829308,0.0,,-26.05960157829308,,0.0,-26.05960157829308,,-26.05960157829308,1
CBOE,1,-52.97299689895112,0.0,,-52.97299689895112,,0.0,-52.97299689895112,,-52.97299689895112,1
CBRL,1,73.46021516297768,1.0,73.46021516297768,,,,73.46021516297768,73.46021516297768,,0
CME,1,38.996247775842065,1.0,38.996247775842065,,,,38.996247775842065,38.996247775842065,,0
CMG,1,31.37583116665008,1.0,31.37583116665008,,,,31.37583116665008,31.37583116665008,,0
CPB,1,-33.730432549488114,0.0,,-33.730432549488114,,0.0,-33.730432549488114,,-33.730432549488114,1
CRSP,1,17.577404895249625,1.0,17.577404895249625,,,,17.577404895249625,17.577404895249625,,0
CSCO,1,5.28399323304012,1.0,5.28399323304012,,,,5.28399323304012,5.28399323304012,,0
CVS,2,-40.06362461870815,0.0,,-20.031812309354073,,0.0,-20.031812309354073,,-21.406950676460422,2
CVX,1,-27.1140249360343,0.0,,-27.1140249360343,,0.0,-27.1140249360343,,-27.1140249360343,1
DELL,1,321.88189402944045,1.0,321.88189402944045,,,,321.88189402944045,321.88189402944045,,0
DG,2,164.93084980698188,1.0,82.46542490349094,,,,82.46542490349094,88.7659091800136,,0
DKS,1,-18.170204108488473,0.0,,-18.170204108488473,,0.0,-18.170204108488473,,-18.170204108488473,1
DLTR,2,133.88715653745828,1.0,66.94357826872914,,,,66.94357826872914,71.87860278821448,,0
DOCU,1,166.6820944415507,1.0,166.6820944415507,,,,166.6820944415507,166.6820944415507,,0
DPZ,1,-21.252392492968454,0.0,,-21.252392492968454,,0.0,-21.252392492968454,,-21.252392492968454,1
F,1,3.805509815405882,1.0,3.805509815405882,,,,3.805509815405882,3.805509815405882,,0
FNF,1,-12.727995500118862,0.0,,-12.727995500118862,,0.0,-12.727995500118862,,-12.727995500118862,1
FRO,1,-41.57783481817986,0.0,,-41.57783481817986,,0.0,-41.57783481817986,,-41.57783481817986,1
FSK,1,-21.21802245994631,0.0,,-21.21802245994631,,0.0,-21.21802245994631,,-21.21802245994631,1
GD,33,-294.8639883343913,0.3333333333333333,18.847397157686327,-22.826607139497312,0.825676678207438,0.4128383391037189,-8.935272373769434,47.10748178251298,-55.99869855598472,11
GOOG,1,26.390617679077415,1.0,26.390617679077415,,,,26.390617679077415,26.390617679077415,,0
GOOGL,1,23.44469707711964,1.0,23.44469707711964,,,,23.44469707711964,23.44469707711964,,0
GPI,1,-60.05366785348016,0.0,,-60.05366785348016,,0.0,-60.05366785348016,,-60.05366785348016,1
GS,1,17.57563746826926,1.0,17.57563746826926,,,,17.57563746826926,17.57563746826926,,0
HII,3,69.84038270852102,0.3333333333333333,108.14633462696756,-19.152975959223273,5.646450706000537,2.8232253530002684,23.280127569507005,108.14633462696756,-23.892036344200964,2
HLT,1,-26.913717647293513,0.0,,-26.913717647293513,,0.0,-26.913717647293513,,-26.913717647293513,1
HPQ,1,173.42165733245483,1.0,173.42165733245483,,,,173.42165733245483,173.42165733245483,,0
ICE,1,-68.97849725731221,0.0,,-68.97849725731221,,0.0,-68.97849725731221,,-68.97849725731221,1
INTC,1,4.600601202993509,1.0,4.600601202993509,,,,4.600601202993509,4.600601202993509,,0
IOT,1,252.47444878989185,1.0,252.47444878989185,,,,252.47444878989185,252.47444878989185,,0
ITA,32,176.90232977365764,0.5,37.36690424356721,-26.31050863271361,1.4202273610593164,1.4202273610593164,5.528197805426801,113.56352202734212,-63.09026057292834,12
JPM,1,-5.686673447100614,0.0,,-5.686673447100614,,0.0,-5.686673447100614,,-5.686673447100614,1
KFY,1,19.477122426317166,1.0,19.477122426317166,,,,19.477122426317166,19.477122426317166,,0
KR,2,4.833058233763877,0.5,12.835049850923058,-8.001991617159181,1.603981916626861,1.603981916626861,2.4165291168819385,12.835049850923058,-8.001991617159181,1
KRE,1,5.685436224083627,1.0,5.685436224083627,,,,5.685436224083627,5.685436224083627,,0
KSS,1,-108.68162130850118,0.0,,-108.68162130850118,,0.0,-108.68162130850118,,-108.68162130850118,1
LMT,27,561.3921186771182,0.6666666666666666,45.27128455401313,-28.165667032790893,1.6073215841580324,3.214643168316065,20.79230069174512,180.4335827661682,-60.234405517578125,4
