resolution,range_period,range_multiplier,signal_count,opened_trade_count,total_signal_net_profit,average_signal_net_profit,average_opened_trade_net_profit
1d,12,-0.05,498,215,-2475.142152219612,-4.970164964296409,-11.512289080091218
1d,18,-0.05,498,220,-2495.3887958500613,-5.010820875200927,-11.342676344773006
1d,18,-0.02,498,220,-2514.979349545471,-5.050159336436689,-11.431724316115778
1d,21,-0.02,498,220,-2520.4430732788082,-5.061130669234554,-11.456559423994582
1d,21,-0.01,498,220,-2521.6990058972583,-5.0636526222836515,-11.462268208623902
1d,18,-0.01,498,220,-2555.1181641136086,-5.130759365689977,-11.614173473243676
1d,12,-0.02,498,215,-2576.164815107971,-5.173021717084279,-11.98216193073475
1d,12,-0.01,498,215,-2579.8921827629756,-5.180506391090312,-11.999498524478957
1d,21,-0.05,498,220,-2586.812664965826,-5.194402941698446,-11.7582393862083
1d,7,-0.01,498,213,-2628.5447938630386,-5.278202397315338,-12.340585886680932
1d,7,2.5,498,213,-2649.1895292024574,-5.319657689161561,-12.4375095267721
1d,12,-0.03,498,215,-2722.3628207777906,-5.466592009593957,-12.66215265478042
1d,7,1.5,498,213,-2769.827273833528,-5.561902156292225,-13.0038839147114
1d,21,-0.03,498,220,-2775.819700714345,-5.573935141996676,-12.617362275974296
1d,7,3.0,498,213,-2777.923721392261,-5.57816008311699,-13.04189540559747
1d,18,-0.03,498,220,-2781.6410597868426,-5.585624618045869,-12.643822999031103
1d,7,2.0,498,213,-2816.49068036997,-5.655603775843313,-13.222960940704084
1d,14,-0.02,498,218,-2826.2581150978513,-5.675217098590063,-12.964486766503905
1d,14,-0.05,498,218,-2832.481951743202,-5.68771476253655,-12.993036475886248
1d,14,-0.01,498,218,-2833.7684231904886,-5.690298038535118,-12.998937721057287
1d,18,1.5,498,220,-2879.6116357594133,-5.782352682247818,-13.089143798906424
1d,7,-0.02,498,213,-2926.0492520576145,-5.875600907746214,-13.737320432195373
1d,18,2.5,498,220,-2933.9049866304686,-5.891375475161584,-13.33593175741122
1d,12,2.5,498,215,-2948.2177978188597,-5.920116059877229,-13.71264092008772
1d,12,3.0,498,215,-2956.789662474694,-5.937328639507418,-13.752510058021834
1d,18,3.0,498,220,-2995.866598970005,-6.015796383473905,-13.617575449863658
1d,14,-0.03,498,218,-3020.6042070588105,-6.065470295298816,-13.855982601187204
1d,7,-0.05,498,213,-3032.427764168498,-6.08921237784839,-14.23675006651877
1d,7,-0.03,498,213,-3035.777304624306,-6.0959383626994095,-14.252475608564817
1d,21,1.5,498,220,-3043.6506378132776,-6.111748268701361,-13.834775626423989
1d,5,1.5,498,204,-3047.5409789720597,-6.119560198739076,-14.938926367510097
1d,14,2.5,498,218,-3061.0736857459533,-6.146734308726814,-14.041622411678684
1d,14,1.5,498,218,-3062.652985740676,-6.149905593856778,-14.048866907067321
1d,12,1.5,498,215,-3085.225402079948,-6.195231731084233,-14.349885591069524
1d,14,2.0,498,218,-3111.8434205098292,-6.248681567288814,-14.274511103256097
1d,21,2.5,498,220,-3130.894113970196,-6.2869359718277025,-14.23133688168271
1d,5,-0.01,498,204,-3134.850073266323,-6.294879665193419,-15.366912123854524
1d,14,3.0,498,218,-3178.797257437742,-6.383127022967353,-14.581638795585972
1d,5,2.5,498,204,-3179.3436882585097,-6.384224273611466,-15.585018079698576
1d,5,2.0,498,204,-3188.4327297948766,-6.402475361033889,-15.629572204876846
1d,5,-0.02,498,204,-3208.1753288860255,-6.442119134309288,-15.726349651402085
1d,12,2.0,498,215,-3241.952641033357,-6.509945062315977,-15.078849493178405
1d,18,2.0,498,220,-3254.7577591277022,-6.53565815085884,-14.794353450580465
1d,5,-0.05,498,204,-3297.1883532947486,-6.62086014717821,-16.16268800634681
1d,21,3.0,498,220,-3328.74214257391,-6.684221169827128,-15.130646102608681
1d,5,-0.03,498,204,-3373.7467139158202,-6.774591795011688,-16.537974087822647
1d,21,2.0,498,220,-3389.386991518531,-6.805997974936809,-15.406304506902414
1d,5,3.0,498,204,-3434.027347198099,-6.895637243369677,-16.833467388225976
