date,equity,benchmark_equity,cash,benchmark_shares,open_positions
2026-04-10,99949.63,99949.63,345.22,163,0
2026-04-13,100979.79,100979.79,345.22,163,0
2026-04-14,102807.01,102807.01,345.22,163,0
2026-04-15,104241.42,104241.42,345.22,163,0
2026-04-16,104731.35,104741.82,537.21,148,1
2026-04-17,106046.04,106107.76,1076.2,13,10
2026-04-20,105928.44,105771.98,1076.2,13,10
2026-04-21,105233.75,105371.01,2413.83,11,10
2026-04-22,106355.22,107128.14,3184.98,10,10
2026-04-23,105466.13,106526.67,4254.7,6,10
2026-04-24,106128.36,108557.66,4254.7,6,10
2026-04-27,105853.83,108614.7,4254.7,6,10
2026-04-28,104501.78,107525.86,6267.8,8,10
2026-04-29,104803.48,108181.13,6328.84,23,9
2026-04-30,104498.48,109186.83,9126.07,6,10
2026-05-01,106026.88,110231.67,9649.48,18,9
2026-05-04,106039.3,110024.66,10286.61,17,9
2026-05-05,105908.49,111447.64,11874.61,41,7
2026-05-06,106921.45,113755.73,12498.51,27,8
2026-05-07,108069.81,113620.44,13369.32,53,6
2026-05-08,110581.85,116275.7,13421.31,54,6
2026-05-11,110236.32,116611.48,14092.62,67,5
2026-05-12,109511.84,115625.33,14815.59,0,10
2026-05-13,106970.26,116842.95,15290.55,9,9
2026-05-14,108149.05,117670.98,16150.81,22,8
2026-05-15,107531.5,115900.8,16150.81,22,8
2026-05-18,107787.03,115403.66,16150.81,22,8
2026-05-19,107486.98,114694.61,16575.89,20,8
2026-05-20,108004.37,116588.67,19320.48,0,9
2026-05-21,108765.87,116810.35,19424.37,0,9
2026-05-22,114146.58,117304.23,19424.37,0,9
2026-05-26,114780.2,119380.86,19424.37,0,9
2026-05-27,113951.99,119245.57,20390.13,0,9
2026-05-28,117491.81,120248.01,21430.73,46,6
2026-05-29,122082.41,120689.75,21430.73,46,6
2026-06-01,126677.14,121411.83,23463.37,124,1
2026-06-02,126806.69,121969.29,23836.62,138,0
