date,equity,benchmark_equity,cash,benchmark_shares,open_positions
2026-04-10,99922.42,99949.63,510.93,123,2
2026-04-13,100611.95,100979.79,510.93,123,2
2026-04-14,101923.67,102807.01,510.93,123,2
2026-04-15,103030.44,104241.42,706.98,103,3
2026-04-16,103065.22,104741.82,706.98,103,3
2026-04-17,103555.64,106107.76,706.98,103,3
2026-04-20,103265.25,105771.98,706.98,103,3
2026-04-21,102303.07,105371.01,706.98,103,3
2026-04-22,103216.99,107128.14,1864.03,97,3
2026-04-23,102489.15,106526.67,2402.49,94,3
2026-04-24,104092.96,108557.66,2402.49,94,3
2026-04-27,103825.14,108614.7,2402.49,94,3
2026-04-28,102136.71,107525.86,3078.51,113,2
2026-04-29,102072.92,108181.13,3105.2,112,2
2026-04-30,102869.68,109186.83,3349.44,92,3
2026-05-01,103267.28,110231.67,3349.44,92,3
2026-05-04,103428.12,110024.66,3349.44,92,3
2026-05-05,103852.63,111447.64,4093.43,91,3
2026-05-06,105215.31,113755.73,4491.73,90,3
2026-05-07,107103.16,113620.44,5018.71,89,3
2026-05-08,108407.18,116275.7,5062.41,125,1
2026-05-11,108184.37,116611.48,5062.41,125,1
2026-05-12,107046.95,115625.33,5257.83,87,3
2026-05-13,106800.89,116842.95,5257.83,87,3
2026-05-14,107707.84,117670.98,5620.18,86,3
2026-05-15,107655.38,115900.8,5620.18,86,3
2026-05-18,108290.37,115403.66,5620.18,86,3
2026-05-19,107984.04,114694.61,5620.18,86,3
2026-05-20,108857.55,116588.67,5817.83,85,3
2026-05-21,108646.34,116810.35,5996.39,104,2
2026-05-22,111410.3,117304.23,5996.39,104,2
2026-05-26,112120.12,119380.86,6102.98,85,3
2026-05-27,112933.69,119245.57,6943.0,88,3
2026-05-28,115160.62,120248.01,6943.0,88,3
2026-05-29,116555.09,120689.75,6943.0,88,3
2026-06-01,118444.44,121411.83,7776.18,149,0
2026-06-02,118954.02,121969.29,7776.18,149,0
