date,equity,benchmark_equity,cash,benchmark_shares,open_positions
2026-04-10,99910.71,99949.63,844.95,107,4
2026-04-13,100379.65,100979.79,892.71,79,6
2026-04-14,101077.61,102807.01,892.71,79,6
2026-04-15,101830.62,104241.42,892.71,79,6
2026-04-16,102157.97,104741.82,892.71,79,6
2026-04-17,102760.57,106107.76,892.71,79,6
2026-04-20,102452.27,105771.98,892.71,79,6
2026-04-21,101290.16,105371.01,892.71,79,6
2026-04-22,102064.86,107128.14,2368.08,114,3
2026-04-23,102063.59,106526.67,3366.93,88,5
2026-04-24,103200.41,108557.66,3413.07,75,6
2026-04-27,103455.13,108614.7,3413.07,75,6
2026-04-28,102271.11,107525.86,4341.0,72,6
2026-04-29,102682.04,108181.13,4341.0,72,6
2026-04-30,102874.09,109186.83,6230.24,68,6
2026-05-01,103488.52,110231.67,6915.77,66,6
2026-05-04,103112.52,110024.66,7029.03,66,6
2026-05-05,105826.36,111447.64,8902.67,104,3
2026-05-06,108645.41,113755.73,9122.62,79,5
2026-05-07,108070.96,113620.44,9122.62,79,5
2026-05-08,111400.69,116275.7,9832.21,79,5
2026-05-11,110765.36,116611.48,9832.21,79,5
2026-05-12,110160.81,115625.33,10391.12,66,6
2026-05-13,110114.09,116842.95,10391.12,66,6
2026-05-14,110844.66,117670.98,11541.76,77,5
2026-05-15,110334.95,115900.8,11541.76,77,5
2026-05-18,110884.05,115403.66,12228.35,88,4
2026-05-19,110691.87,114694.61,12697.22,86,4
2026-05-20,111908.69,116588.67,13002.55,59,6
2026-05-21,111873.95,116810.35,13099.64,59,6
2026-05-22,116563.98,117304.23,13099.64,59,6
2026-05-26,117644.27,119380.86,13099.64,59,6
2026-05-27,117196.93,119245.57,13950.2,60,6
2026-05-28,120085.15,120248.01,14492.95,89,4
2026-05-29,122864.27,120689.75,14492.95,89,4
2026-06-01,126056.94,121411.83,15388.69,149,0
2026-06-02,126566.52,121969.29,15388.69,149,0
