date,equity,benchmark_equity,cash,benchmark_shares,open_positions
2026-04-10,99949.63,99949.63,345.22,163,0
2026-04-13,100976.56,100979.79,364.84,159,1
2026-04-14,102694.44,102807.01,385.09,151,3
2026-04-15,103967.58,104241.42,385.09,151,3
2026-04-16,104575.71,104741.82,420.48,147,4
2026-04-17,105599.03,106107.76,1109.79,123,10
2026-04-20,105442.56,105771.98,1109.79,123,10
2026-04-21,105077.34,105371.01,2193.87,121,10
2026-04-22,106336.91,107128.14,2603.14,124,9
2026-04-23,105941.0,106526.67,4085.72,126,7
2026-04-24,107437.54,108557.66,4204.1,105,10
2026-04-27,107430.22,108614.7,4834.11,90,10
2026-04-28,105974.29,107525.86,6413.44,53,8
2026-04-29,106836.93,108181.13,6674.64,4,10
2026-04-30,108212.0,109186.83,9384.45,0,10
2026-05-01,108353.94,110231.67,10465.85,28,9
2026-05-04,108773.72,110024.66,11002.26,25,10
2026-05-05,110861.47,111447.64,11597.84,55,8
2026-05-06,113304.56,113755.73,12429.14,41,9
2026-05-07,113617.7,113620.44,13239.81,69,7
2026-05-08,116896.25,116275.7,13563.88,91,5
2026-05-11,116230.28,116611.48,14131.19,99,4
2026-05-12,114985.84,115625.33,14864.76,3,10
2026-05-13,115110.36,116842.95,14864.76,3,10
2026-05-14,116524.51,117670.98,15451.61,3,9
2026-05-15,115972.63,115900.8,15528.45,0,10
2026-05-18,116595.77,115403.66,15728.88,0,10
2026-05-19,116517.59,114694.61,16078.72,0,10
2026-05-20,117128.65,116588.67,18458.42,0,10
2026-05-21,117773.94,116810.35,18589.48,16,9
2026-05-22,122529.22,117304.23,18597.44,0,10
2026-05-26,123363.89,119380.86,19051.49,0,10
2026-05-27,122691.74,119245.57,20306.15,0,9
2026-05-28,126394.55,120248.01,21652.21,61,5
2026-05-29,130286.3,120689.75,21684.12,35,6
2026-06-01,133985.29,121411.83,24059.77,148,0
