date,equity,benchmark_equity,cash,benchmark_shares,open_positions
2026-04-10,99949.63,99949.63,345.22,163,0
2026-04-13,100979.79,100979.79,345.22,163,0
2026-04-14,102807.01,102807.01,345.22,163,0
2026-04-15,104241.42,104241.42,345.22,163,0
2026-04-16,104741.82,104741.82,345.22,163,0
2026-04-17,106013.49,106107.76,1468.78,33,10
2026-04-20,106033.17,105771.98,1471.15,20,11
2026-04-21,105792.83,105371.01,2911.43,17,11
2026-04-22,107318.6,107128.14,3523.07,17,11
2026-04-23,106786.0,106526.67,4099.84,15,11
2026-04-24,107725.39,108557.66,4761.51,14,11
2026-04-27,107357.85,108614.7,4761.51,14,11
2026-04-28,106121.6,107525.86,6751.95,24,10
2026-04-29,106709.7,108181.13,6822.28,37,9
2026-04-30,106608.16,109186.83,8806.47,5,11
2026-05-01,107714.15,110231.67,9968.53,28,9
2026-05-04,107814.09,110024.66,10141.78,2,11
2026-05-05,107532.59,111447.64,11466.6,38,8
2026-05-06,108391.07,113755.73,12235.5,25,9
2026-05-07,109212.18,113620.44,13316.27,49,7
2026-05-08,111450.59,116275.7,14025.87,49,7
2026-05-11,111005.62,116611.48,14999.7,72,5
2026-05-12,110263.03,115625.33,16524.48,0,11
2026-05-13,107744.54,116842.95,17216.92,8,10
2026-05-14,109021.0,117670.98,17862.39,20,9
2026-05-15,108552.18,115900.8,17862.39,20,9
2026-05-18,108892.98,115403.66,17862.39,20,9
2026-05-19,108563.13,114694.61,18331.26,18,9
2026-05-20,108864.45,116588.67,21242.3,0,10
2026-05-21,109405.33,116810.35,21326.51,1,10
2026-05-22,114125.64,117304.23,21326.51,1,10
2026-05-26,114857.87,119380.86,21330.08,0,11
2026-05-27,114076.48,119245.57,22102.58,0,11
2026-05-28,117333.42,120248.01,23081.39,51,7
2026-05-29,121648.74,120689.75,23081.39,51,7
2026-06-01,125464.79,121411.83,25194.89,135,0
2026-06-02,125926.49,121969.29,25194.89,135,0
