date,equity,benchmark_equity,cash,benchmark_shares,open_positions
2026-04-10,99949.63,99949.63,345.22,163,0
2026-04-13,100979.79,100979.79,345.22,163,0
2026-04-14,102807.01,102807.01,345.22,163,0
2026-04-15,104241.42,104241.42,345.22,163,0
2026-04-16,104741.82,104741.82,345.22,163,0
2026-04-17,106104.46,106107.76,464.51,159,1
2026-04-20,105719.95,105771.98,760.87,151,3
2026-04-21,105303.37,105371.01,1472.16,134,7
2026-04-22,106777.73,107128.14,1624.64,130,8
2026-04-23,106177.73,106526.67,2999.57,128,8
2026-04-24,107813.88,108557.66,3252.06,116,11
2026-04-27,107689.97,108614.7,3907.33,115,11
2026-04-28,106617.58,107525.86,4582.69,121,9
2026-04-29,107246.17,108181.13,6269.48,80,9
2026-04-30,107362.53,109186.83,8736.0,59,8
2026-05-01,110104.18,110231.67,9033.37,76,7
2026-05-04,110028.24,110024.66,9800.46,24,11
2026-05-05,111389.11,111447.64,10424.63,33,11
2026-05-06,111041.02,113755.73,11004.54,40,11
2026-05-07,109525.14,113620.44,12654.25,80,6
2026-05-08,111638.76,116275.7,13175.9,91,5
2026-05-11,111994.96,116611.48,14161.7,110,3
2026-05-12,110897.28,115625.33,15713.79,78,11
2026-05-13,109753.5,116842.95,16027.7,93,9
2026-05-14,110574.75,117670.98,16560.42,97,9
2026-05-15,109499.79,115900.8,16560.42,97,9
2026-05-18,109359.82,115403.66,16600.17,93,10
2026-05-19,108851.38,114694.61,16630.03,89,11
2026-05-20,110022.38,116588.67,19754.64,84,11
2026-05-21,110316.27,116810.35,21104.25,89,9
2026-05-22,111873.23,117304.23,21104.25,89,9
2026-05-26,113429.42,119380.86,21775.68,81,11
2026-05-27,112860.89,119245.57,21969.04,81,11
2026-05-28,114428.85,120248.01,23374.15,92,8
2026-05-29,116218.04,120689.75,23374.15,92,8
2026-06-01,118171.37,121411.83,26814.35,123,0
2026-06-02,118592.02,121969.29,26814.35,123,0
