date,equity,benchmark_equity,cash,benchmark_shares,open_positions
2026-04-10,99927.99,99949.55,182.05,120,3
2026-04-13,100485.36,100925.62,182.05,120,3
2026-04-14,101457.32,102154.55,182.05,120,3
2026-04-15,102097.15,102960.1,182.05,120,3
2026-04-16,102447.77,103212.94,296.6,111,4
2026-04-17,103177.23,104459.5,782.63,48,11
2026-04-20,103266.96,104250.76,782.63,48,11
2026-04-21,102756.2,103568.68,1623.68,47,11
2026-04-22,103430.2,104616.8,2221.03,62,9
2026-04-23,103120.91,104211.07,3592.59,41,11
2026-04-24,103889.08,105018.1,3786.28,41,11
2026-04-27,103687.87,105198.91,3786.28,41,11
2026-04-28,102972.23,104687.35,5670.27,39,11
2026-04-29,102978.42,104671.18,5894.39,39,11
2026-04-30,103879.74,105711.94,7687.18,36,11
2026-05-01,103673.42,106004.48,9284.32,33,11
2026-05-04,103349.93,105616.39,10357.09,41,10
2026-05-05,104079.12,106463.11,11539.27,65,7
2026-05-06,105256.86,107941.93,12585.69,65,7
2026-05-07,103315.26,107611.18,13696.75,78,5
2026-05-08,104379.45,108499.06,14331.7,86,4
2026-05-11,103816.78,108746.02,14331.7,86,4
2026-05-12,103770.89,108581.38,15496.99,23,11
2026-05-13,103544.52,109188.49,15496.99,23,11
2026-05-14,104494.6,110049.91,16141.78,22,11
2026-05-15,103991.31,108726.91,16141.78,22,11
2026-05-18,104477.66,108650.48,16662.73,30,10
2026-05-19,104057.02,107927.23,16780.22,29,10
2026-05-20,104236.08,109032.67,19495.47,16,11
2026-05-21,104370.03,109248.76,20163.2,23,10
2026-05-22,108044.1,109678.0,20163.2,23,10
2026-05-26,108689.76,110405.66,20176.23,14,11
2026-05-27,108134.17,110386.55,20769.39,15,11
2026-05-28,111004.75,110995.12,21839.88,35,9
2026-05-29,114411.39,111271.48,21839.88,35,9
2026-06-01,117871.14,111574.3,24570.72,123,0
2026-06-02,117997.83,111725.71,24570.72,123,0
