date,equity,benchmark_equity,cash,benchmark_shares,open_positions
2026-04-10,99915.15,99949.55,258.77,103,4
2026-04-13,100403.8,100925.62,495.17,59,8
2026-04-14,100984.49,102154.55,528.33,48,9
2026-04-15,101437.31,102960.1,528.33,48,9
2026-04-16,101579.1,103212.94,617.32,59,8
2026-04-17,101307.79,104459.5,643.06,48,9
2026-04-20,101408.44,104250.76,643.06,48,9
2026-04-21,100510.42,103568.68,643.06,48,9
2026-04-22,100845.89,104616.8,1706.9,65,7
2026-04-23,100816.92,104211.07,3321.88,94,4
2026-04-24,101571.42,105018.1,3810.87,39,9
2026-04-27,101833.14,105198.91,4534.73,38,9
2026-04-28,100514.73,104687.35,6818.34,59,7
2026-04-29,100503.92,104671.18,6843.03,39,9
2026-04-30,100310.31,105711.94,7857.35,40,9
2026-05-01,100164.28,106004.48,7882.45,39,9
2026-05-04,100091.91,105616.39,8965.39,58,7
2026-05-05,101403.46,106463.11,9312.19,48,8
2026-05-06,103173.45,107941.93,10445.77,46,8
2026-05-07,103205.98,107611.18,11621.9,56,7
2026-05-08,106144.29,108499.06,12763.41,76,5
2026-05-11,105463.37,108746.02,12904.07,75,5
2026-05-12,105056.8,108581.38,13117.41,31,9
2026-05-13,105235.19,109188.49,13117.41,31,9
2026-05-14,106066.72,110049.91,15042.92,49,7
2026-05-15,105772.82,108726.91,15042.92,49,7
2026-05-18,106522.46,108650.48,15416.65,47,7
2026-05-19,106425.69,107927.23,15474.12,45,7
2026-05-20,107382.27,109032.67,16872.95,21,9
2026-05-21,108323.34,109248.76,17361.93,21,9
2026-05-22,112184.79,109678.0,17361.93,21,9
2026-05-26,113570.96,110405.66,18318.2,22,9
2026-05-27,112577.75,110386.55,18755.53,22,9
2026-05-28,115302.08,110995.12,19893.46,58,6
2026-05-29,118682.54,111271.48,19893.46,58,6
2026-06-01,121939.02,111574.3,21053.21,133,0
2026-06-02,122076.02,111725.71,21053.21,133,0
