date,equity,benchmark_equity,cash,benchmark_shares,open_positions
2026-04-10,99941.21,99949.55,152.15,136,1
2026-04-13,100950.97,100925.62,326.35,103,4
2026-04-14,101959.38,102154.55,326.35,103,4
2026-04-15,102813.38,102960.1,366.3,81,6
2026-04-16,102951.43,103212.94,595.44,81,6
2026-04-17,104124.5,104459.5,845.32,59,8
2026-04-20,103834.52,104250.76,845.32,59,8
2026-04-21,102402.14,103568.68,845.32,59,8
2026-04-22,102893.88,104616.8,1048.59,58,8
2026-04-23,102536.74,104211.07,3991.16,52,8
2026-04-24,102785.86,105018.1,3991.16,52,8
2026-04-27,103115.24,105198.91,4189.8,52,8
2026-04-28,102201.57,104687.35,6539.36,48,8
2026-04-29,102365.85,104671.18,6539.36,48,8
2026-04-30,102571.97,105711.94,8846.19,44,8
2026-05-01,103571.88,106004.48,10426.1,41,8
2026-05-04,103158.47,105616.39,10920.68,51,7
2026-05-05,103488.18,106463.11,12399.58,49,7
2026-05-06,104585.1,107941.93,13457.56,48,7
2026-05-07,104812.83,107611.18,13457.56,48,7
2026-05-08,106261.81,108499.06,13497.7,59,6
2026-05-11,105567.18,108746.02,13497.7,59,6
2026-05-12,105013.36,108581.38,13790.48,37,8
2026-05-13,102454.6,109188.49,14396.52,44,7
2026-05-14,103433.3,110049.91,15780.9,65,5
2026-05-15,103261.58,108726.91,15780.9,65,5
2026-05-18,103886.04,108650.48,15780.9,65,5
2026-05-19,103648.26,107927.23,16480.74,63,5
2026-05-20,104623.48,109032.67,17737.51,29,8
2026-05-21,105308.64,109248.76,17857.31,29,8
2026-05-22,109609.12,109678.0,17857.31,29,8
2026-05-26,110180.12,110405.66,17857.31,29,8
2026-05-27,109776.93,110386.55,18658.45,29,8
2026-05-28,112501.75,110995.12,19796.39,65,5
2026-05-29,115643.41,111271.48,19796.39,65,5
2026-06-01,118843.08,111574.3,20991.43,129,0
2026-06-02,118975.96,111725.71,20991.43,129,0
