date,equity,benchmark_equity,cash,benchmark_shares,open_positions
2026-04-10,99949.55,99949.55,68.92,147,0
2026-04-13,100925.62,100925.62,68.92,147,0
2026-04-14,102154.55,102154.55,68.92,147,0
2026-04-15,102960.1,102960.1,68.92,147,0
2026-04-16,103212.94,103212.94,68.92,147,0
2026-04-17,104401.51,104459.5,628.28,75,8
2026-04-20,104463.5,104250.76,628.28,75,8
2026-04-21,104010.38,103568.68,1512.09,74,8
2026-04-22,105300.72,104616.8,1512.09,74,8
2026-04-23,104838.13,104211.07,2582.05,80,8
2026-04-24,105606.56,105018.1,2582.05,80,8
2026-04-27,105444.46,105198.91,2582.05,80,8
2026-04-28,104501.3,104687.35,4474.6,71,8
2026-04-29,104604.19,104671.18,4639.01,80,7
2026-04-30,104941.7,105711.94,6228.14,28,8
2026-05-01,104880.39,106004.48,7920.36,22,8
2026-05-04,105129.12,105616.39,8290.58,32,7
2026-05-05,105577.68,106463.11,9924.92,76,4
2026-05-06,107054.67,107941.93,10545.74,52,5
2026-05-07,106373.72,107611.18,10545.74,52,5
2026-05-08,108409.32,108499.06,10857.17,53,5
2026-05-11,107130.02,108746.02,11178.65,69,4
2026-05-12,107209.85,108581.38,12224.04,19,8
2026-05-13,107120.84,109188.49,12224.04,19,8
2026-05-14,107896.59,110049.91,12866.0,23,8
2026-05-15,107377.8,108726.91,12866.0,23,8
2026-05-18,107887.42,108650.48,13540.95,39,7
2026-05-19,107592.73,107927.23,13998.93,48,7
2026-05-20,107950.77,109032.67,15900.5,76,8
2026-05-21,107914.93,109248.76,15992.98,85,8
2026-05-22,109797.11,109678.0,15992.98,85,8
2026-05-26,110343.11,110405.66,15992.98,85,8
2026-05-27,110118.3,110386.55,16754.6,71,8
2026-05-28,112252.1,110995.12,17152.36,84,5
2026-05-29,114139.13,111271.48,17152.36,84,5
2026-06-01,116190.65,111574.3,19097.53,128,0
2026-06-02,116322.49,111725.71,19097.53,128,0
