date,equity,benchmark_equity,cash,benchmark_shares,open_positions
2026-04-10,99932.88,99949.55,244.57,125,2
2026-04-13,101001.71,100925.62,399.24,103,4
2026-04-14,102050.61,102154.55,399.24,103,4
2026-04-15,102903.13,102960.1,439.19,81,6
2026-04-16,103001.94,103212.94,668.33,81,6
2026-04-17,104013.5,104459.5,993.56,48,9
2026-04-20,103454.42,104250.76,993.56,48,9
2026-04-21,101916.37,103568.68,1420.2,47,9
2026-04-22,102614.39,104616.8,2271.23,55,8
2026-04-23,101637.6,104211.07,4746.5,50,8
2026-04-24,101885.05,105018.1,4781.96,39,9
2026-04-27,102459.13,105198.91,4980.61,39,9
2026-04-28,100988.98,104687.35,7330.17,35,9
2026-04-29,101145.87,104671.18,7330.17,35,9
2026-04-30,101217.58,105711.94,9735.85,30,9
2026-05-01,102225.71,106004.48,11087.97,49,7
2026-05-04,102226.2,105616.39,11248.56,38,8
2026-05-05,102285.53,106463.11,12450.81,69,5
2026-05-06,103354.25,107941.93,13508.78,68,5
2026-05-07,103661.0,107611.18,13508.78,68,5
2026-05-08,105407.31,108499.06,13540.36,69,5
2026-05-11,104574.06,108746.02,13540.36,69,5
2026-05-12,104227.2,108581.38,14352.73,25,9
2026-05-13,102035.53,109188.49,14958.77,32,8
2026-05-14,102882.76,110049.91,16211.62,42,7
2026-05-15,102496.35,108726.91,16211.62,42,7
2026-05-18,102834.71,108650.48,16211.62,42,7
2026-05-19,102515.38,107927.23,16911.45,40,7
2026-05-20,102977.78,109032.67,18510.49,21,9
2026-05-21,103531.64,109248.76,18633.06,22,9
2026-05-22,107692.26,109678.0,18633.06,22,9
2026-05-26,108286.68,110405.66,18633.06,22,9
2026-05-27,107603.42,110386.55,19318.95,21,9
2026-05-28,110453.9,110995.12,20191.84,54,6
2026-05-29,114132.32,111271.48,20191.84,54,6
2026-06-01,117748.77,111574.3,22172.73,126,0
2026-06-02,117878.55,111725.71,22172.73,126,0
