date,equity,benchmark_equity,cash,benchmark_shares,open_positions
2026-04-10,99935.67,99949.55,274.13,131,4
2026-04-13,100659.26,100925.62,935.18,130,4
2026-04-14,101724.3,102154.55,968.29,126,5
2026-04-15,102365.69,102960.1,973.92,118,7
2026-04-16,102762.33,103212.94,1376.81,106,10
2026-04-17,103421.8,104459.5,1406.91,98,12
2026-04-20,103279.38,104250.76,1406.91,98,12
2026-04-21,102976.35,103568.68,1846.77,98,12
2026-04-22,103744.54,104616.8,3479.94,95,12
2026-04-23,103460.65,104211.07,6457.53,113,6
2026-04-24,104007.09,105018.1,6865.77,89,12
2026-04-27,104129.26,105198.91,6959.08,89,12
2026-04-28,103621.94,104687.35,9618.15,89,11
2026-04-29,103494.58,104671.18,10225.56,84,12
2026-04-30,104484.4,105711.94,10700.41,83,12
2026-05-01,104935.81,106004.48,11477.39,82,12
2026-05-04,104841.85,105616.39,12300.32,89,10
2026-05-05,105721.17,106463.11,13083.11,94,8
2026-05-06,107265.89,107941.93,16091.84,64,6
2026-05-07,107851.37,107611.18,17499.12,10,6
2026-05-08,111225.54,108499.06,17875.53,27,5
2026-05-11,108915.61,108746.02,18181.71,27,5
2026-05-12,109487.31,108581.38,18988.76,0,7
2026-05-13,108557.09,109188.49,18988.76,0,7
2026-05-14,109752.9,110049.91,19913.87,16,6
2026-05-15,110187.01,108726.91,19913.87,16,6
2026-05-18,111507.93,108650.48,19913.87,16,6
2026-05-19,111767.27,107927.23,20424.12,28,5
2026-05-20,112525.04,109032.67,21105.04,0,6
2026-05-21,112541.08,109248.76,21319.06,22,5
2026-05-22,118579.77,109678.0,21319.06,22,5
2026-05-26,118574.28,110405.66,21386.16,0,6
2026-05-27,119153.38,110386.55,21694.62,3,6
2026-05-28,122352.62,110995.12,22140.67,15,5
2026-05-29,126890.65,111271.48,22140.67,15,5
2026-06-01,132017.07,111574.3,24304.39,142,0
2026-06-02,132163.33,111725.71,24304.39,142,0
