experiment,benchmark,hurdle,walk_fwd,kelly,return_pct,test_return,max_dd,n_trades,test_trades,win_rate,test_win_rate,avg_pnl,txn_cost,final_eq,policy_ps,policy_mc
Baseline,SPY,False,False,False,47.19,11.45,-18.66,226,34,55.3,52.9,115.13,4751.43,147186.3,7.33,10
Baseline,QQQ,False,False,False,57.4,14.06,-22.53,228,35,54.8,54.3,134.2,5797.07,157395.88,8.22,10
T1 Hurdle,SPY,True,False,False,47.03,16.43,-18.67,189,31,52.9,54.8,150.5,5577.32,147026.53,10.49,7
T1 Hurdle,QQQ,True,False,False,55.36,17.42,-22.53,191,31,52.9,54.8,160.14,6037.99,155356.68,10.49,7
T2 WalkFwd,SPY,False,True,False,44.57,15.58,-18.76,171,30,59.6,70.0,199.22,5997.6,144574.02,14.92,12
T2 WalkFwd,QQQ,False,True,False,55.13,21.48,-22.67,173,30,59.5,70.0,228.14,6600.63,155132.46,14.92,12
T3 Kelly,SPY,False,False,True,31.3,5.91,-18.67,201,18,58.2,72.2,81.66,3803.63,131298.05,14.64,12
T3 Kelly,QQQ,False,False,True,35.34,5.82,-22.58,214,42,57.9,59.5,72.97,4516.96,135343.15,13.8,13
T1+T2,SPY,True,True,False,71.67,30.69,-18.76,125,25,59.2,68.0,500.12,6248.27,171668.61,16.54,4
T1+T2,QQQ,True,True,False,84.31,33.37,-22.66,125,25,59.2,68.0,534.57,6619.32,184308.63,16.54,4
T1+T3,SPY,True,False,True,43.93,9.82,-18.68,226,19,56.2,63.2,90.27,4001.89,143931.87,10.15,14
T1+T3,QQQ,True,False,True,52.46,13.51,-22.6,220,20,57.3,65.0,100.83,4605.89,152461.71,10.15,14
T2+T3,SPY,False,True,True,18.86,7.68,-18.66,213,16,50.7,62.5,26.02,3394.59,118855.93,9.82,13
T2+T3,QQQ,False,True,True,28.1,11.76,-22.71,228,22,52.6,59.1,39.84,3754.38,128097.54,9.82,13
T1+T2+T3,SPY,True,True,True,23.78,6.59,-18.75,214,36,53.7,58.3,35.44,4020.5,123776.24,8.78,10
T1+T2+T3,QQQ,True,True,True,39.32,9.69,-22.67,217,43,57.1,58.1,81.02,4980.34,139316.11,4.84,9
