experiment,benchmark,hurdle_realized_fitness_penalty,train_windows,kelly,cem_objective,train_return_pct,train_benchmark_return_pct,train_excess_return_pct,train_max_dd_pct,train_trades,oos_return_pct,oos_benchmark_return_pct,oos_excess_return_pct,oos_max_dd_pct,oos_start_date,oos_end_date,oos_equity_days,oos_trades,oos_win_rate_pct,oos_avg_net_pnl,oos_avg_gross_pnl,oos_gross_trade_pnl,oos_net_trade_pnl,oos_total_txn_cost,oos_trade_txn_cost,oos_friction_fail_rate_pct,policy_base_position_size_pct,oos_avg_position_size_pct,oos_median_position_size_pct,oos_min_position_size_pct,oos_max_position_size_pct,policy_max_concurrent,policy_json
Baseline,SPY,False,False,False,-4.3231,37.5693,26.4516,11.1178,-18.6807,104,24.7051,11.5743,13.1308,-1.1993,2026-04-10,2026-06-01,36,52,61.5385,385.0588,406.379,21131.71,20023.06,1159.1,1108.65,40.3846,8.4276,8.4276,8.4276,8.4276,8.4276,9,"{""atr_mult"": 3.7197316997903416, ""enter_floor"": 0.7159806951997681, ""enter_strong"": 0.762780572547387, ""hold_days"": 3, ""lock_activate"": 0.02819507993469981, ""max_concurrent"": 9, ""max_price_runup"": 0.07188054569002787, ""max_prob_surge"": 0.43985437941369193, ""position_size_pct"": 0.08427564669420279, ""theta_out"": 0.5376945357633739}"
Baseline,QQQ,False,False,False,-5.45568,47.2886,34.3752,12.9134,-22.6074,102,27.9844,21.4118,6.5726,-2.445,2026-04-10,2026-06-01,36,49,65.3061,394.7167,419.79,20569.71,19341.12,1278.95,1228.59,38.7755,10.1753,10.1753,10.1753,10.1753,10.1753,9,"{""atr_mult"": 3.137914616238757, ""enter_floor"": 0.7399397218936129, ""enter_strong"": 0.7690256035594609, ""hold_days"": 2, ""lock_activate"": 0.04155115875956216, ""max_concurrent"": 9, ""max_price_runup"": 0.11247530576508294, ""max_prob_surge"": 0.23326671134267338, ""position_size_pct"": 0.10175322352587375, ""theta_out"": 0.5664605756117493}"
T1 FrictionPenalty,SPY,True,False,False,-5.443375,26.7338,26.4516,0.2822,-18.6689,99,16.4497,11.5743,4.8754,-1.1934,2026-04-10,2026-06-01,36,51,56.8627,165.1518,176.7875,9016.16,8422.74,643.9,593.42,45.098,4.7838,4.7838,4.7838,4.7838,4.7838,9,"{""atr_mult"": 3.944547444198237, ""enter_floor"": 0.7081558611243434, ""enter_strong"": 0.7081558611243434, ""hold_days"": 2, ""lock_activate"": 0.02, ""max_concurrent"": 9, ""max_price_runup"": 0.1287006378447701, ""max_prob_surge"": 0.5987023460145198, ""position_size_pct"": 0.047837616515563425, ""theta_out"": 0.5557771275891467}"
T1 FrictionPenalty,QQQ,True,False,False,-6.374808,46.4794,34.3752,12.1042,-22.5066,78,32.8094,21.4118,11.3976,-3.3316,2026-04-10,2026-06-01,36,36,61.1111,706.7611,742.7086,26737.51,25443.4,1344.54,1294.11,44.4444,15.6812,15.6812,15.6812,15.6812,15.6812,9,"{""atr_mult"": 3.8161536296137677, ""enter_floor"": 0.7167877760175523, ""enter_strong"": 0.7496934896774406, ""hold_days"": 3, ""lock_activate"": 0.0417114921588863, ""max_concurrent"": 9, ""max_price_runup"": 0.13940467109569105, ""max_prob_surge"": 0.2, ""position_size_pct"": 0.15681238070514697, ""theta_out"": 0.5596178088971789}"
T2 TrainWindows,SPY,False,True,False,2.295119,30.5227,26.4516,4.0711,-18.8029,111,18.2601,11.7257,6.5343,-1.1227,2026-04-10,2026-06-02,37,53,58.4906,210.6619,225.3015,11940.98,11165.08,826.32,775.9,43.3962,6.2016,6.2016,6.2016,6.2016,6.2016,10,"{""atr_mult"": 1.5, ""enter_floor"": 0.7550479184976212, ""enter_strong"": 0.7550479184976212, ""hold_days"": 2, ""lock_activate"": 0.02, ""max_concurrent"": 10, ""max_price_runup"": 0.12358720446221322, ""max_prob_surge"": 0.35528482906348224, ""position_size_pct"": 0.062015865443310114, ""theta_out"": 0.5634844302972373}"
T2 TrainWindows,QQQ,False,True,False,2.332152,40.0932,34.3752,5.718,-22.6889,109,24.1685,21.9693,2.1992,-1.2707,2026-04-10,2026-06-02,37,54,61.1111,221.9644,236.0774,12748.18,11986.08,812.51,762.1,42.5926,5.7335,5.7335,5.7335,5.7335,5.7335,10,"{""atr_mult"": 3.0332439366134354, ""enter_floor"": 0.7581399486123761, ""enter_strong"": 0.7646759290549213, ""hold_days"": 2, ""lock_activate"": 0.031173061073729705, ""max_concurrent"": 10, ""max_price_runup"": 0.1537623173144507, ""max_prob_surge"": 0.8, ""position_size_pct"": 0.057335278605767884, ""theta_out"": 0.5831278227357237}"
T3 Kelly,SPY,False,False,True,-4.299223,35.3103,26.4516,8.8588,-18.5261,105,32.289,11.5743,20.7147,-2.707,2026-04-10,2026-06-01,36,57,59.6491,453.9904,471.2402,26860.69,25877.45,1033.75,983.24,43.8596,12.3172,6.7114,3.0,3.0,15.0,14,"{""atr_mult"": 3.313762736223058, ""enter_floor"": 0.6940977835955454, ""enter_strong"": 0.6940977835955454, ""hold_days"": 1, ""lock_activate"": 0.037132901786764844, ""max_concurrent"": 14, ""max_price_runup"": 0.08433884447892397, ""max_prob_surge"": 0.3943419543382052, ""position_size_pct"": 0.12317244851276725, ""theta_out"": 0.5390141610718848}"
T3 Kelly,QQQ,False,False,True,-5.684815,36.7645,34.3752,2.3893,-22.6555,108,28.0374,21.4118,6.6255,-3.6819,2026-04-10,2026-06-01,36,52,63.4615,436.4681,462.6152,24055.99,22696.34,1410.02,1359.65,38.4615,11.8702,11.2346,12.1508,5.0288,15.0,10,"{""atr_mult"": 2.6684302432164078, ""enter_floor"": 0.728486132059169, ""enter_strong"": 0.7925503903220568, ""hold_days"": 3, ""lock_activate"": 0.056097008948019174, ""max_concurrent"": 10, ""max_price_runup"": 0.09611325585986415, ""max_prob_surge"": 0.3691786462577667, ""position_size_pct"": 0.11870226134428864, ""theta_out"": 0.5395907053102759}"
T1+T2,SPY,True,True,False,1.647224,31.5558,26.4516,5.1042,-18.7218,103,21.5145,11.7257,9.7888,-0.7049,2026-04-10,2026-06-02,37,47,61.7021,313.8896,330.0117,15510.55,14752.81,808.21,757.74,40.4255,6.8225,6.8225,6.8225,6.8225,6.8225,9,"{""atr_mult"": 2.9464306122085535, ""enter_floor"": 0.7553473489238436, ""enter_strong"": 0.7553473489238436, ""hold_days"": 2, ""lock_activate"": 0.02, ""max_concurrent"": 9, ""max_price_runup"": 0.11133958531754558, ""max_prob_surge"": 0.6053586958492465, ""position_size_pct"": 0.06822542693101782, ""theta_out"": 0.5541563877382302}"
T1+T2,QQQ,True,True,False,1.54924,41.5547,34.3752,7.1795,-22.6078,93,29.7915,21.9693,7.8222,-1.479,2026-04-10,2026-06-02,37,41,63.4146,441.9324,465.5246,19086.51,18119.23,1017.6,967.28,39.0244,9.2159,9.2159,9.2159,9.2159,9.2159,8,"{""atr_mult"": 2.9796401897176166, ""enter_floor"": 0.7561012199756976, ""enter_strong"": 0.7561012199756976, ""hold_days"": 2, ""lock_activate"": 0.021534719285451743, ""max_concurrent"": 8, ""max_price_runup"": 0.08933704466157345, ""max_prob_surge"": 0.2, ""position_size_pct"": 0.09215917199607958, ""theta_out"": 0.5652862462130657}"
