market_id,symbol,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,peak_pct,trough_pct,return_pct,_entry_ts,_exit_ts,candidate_t_theta,candidate_t_e,_qty,_position_size_pct,_asset_entry_notional,_benchmark_sell_cost,_asset_buy_cost,realized_exit_reason,gross_pnl,pnl,pnl_pct,txn_cost,exit_value,benchmark_rebuy_qty
1986792,EFX,Equifax Earnings,0.95,test,2026-04-17,0.77,196.22,2026-04-21,192.42,resolution-1d,1.97,-5.13,-1.94,2026-04-17 00:00:00+00:00,2026-04-21 00:00:00+00:00,2026-04-17,2026-04-21,49,0.09289446625223367,9614.78,5.49,5.16,resolution-1d,-186.2,-207.04,-2.1533,20.84,9428.58,14
1986790,MSCI,MSCI Earnings,0.95,test,2026-04-17,0.77,568.55,2026-04-21,597.39,resolution-1d,0.33,-2.14,5.07,2026-04-17 00:00:00+00:00,2026-04-21 00:00:00+00:00,2026-04-17,2026-04-21,17,0.09289446625223367,9665.35,5.49,5.18,resolution-1d,490.28,468.72,4.8495,21.56,10155.63,15
1986791,MMM,3M Earnings,1.0,test,2026-04-17,0.86,154.55,2026-04-21,148.47,resolution-1d,0.25,-4.98,-3.93,2026-04-17 00:00:00+00:00,2026-04-21 00:00:00+00:00,2026-04-17,2026-04-21,62,0.09289446625223367,9582.1,5.49,5.14,resolution-1d,-376.96,-397.66,-4.15,20.7,9205.14,14
1993856,SNY,Sanofi FDA Approval,0.765,test,2026-04-21,0.91,47.13,2026-04-22,46.9,poly<0.5469722686465119,0.0,-0.59,-0.49,2026-04-21 00:00:00+00:00,2026-04-22 00:00:00+00:00,2026-04-18,2026-04-23,204,0.09289446625223367,9614.52,5.45,5.52,poly<0.5469722686465119,-46.92,-68.59,-0.7134,21.67,9567.6,14
1937068,HON,Honeywell International Earnings,1.0,test,2026-04-16,0.865,229.38,2026-04-23,214.34,resolution-1d,3.08,-9.39,-6.56,2026-04-16 00:00:00+00:00,2026-04-23 00:00:00+00:00,2026-04-13,2026-04-23,41,0.09289446625223367,9404.58,5.42,5.05,resolution-1d,-616.64,-636.68,-6.7699,20.04,8787.94,13
1937070,CBRE,CBRE Group Earnings,1.0,test,2026-04-17,0.85,151.51,2026-04-23,149.31,resolution-1d,1.78,-5.22,-1.45,2026-04-17 00:00:00+00:00,2026-04-23 00:00:00+00:00,2026-04-13,2026-04-23,64,0.09289446625223367,9696.64,5.49,5.2,resolution-1d,-140.8,-161.79,-1.6686,20.99,9555.84,14
1937066,AXP,American Express Earnings,1.0,test,2026-04-17,0.8,331.69,2026-04-23,318.55,resolution-1d,1.93,-5.11,-3.96,2026-04-17 00:00:00+00:00,2026-04-23 00:00:00+00:00,2026-04-14,2026-04-23,29,0.09289446625223367,9619.01,5.49,5.16,resolution-1d,-381.06,-401.85,-4.1776,20.79,9237.95,14
1986800,NXPI,NXP Semiconductors Earnings,1.0,test,2026-04-17,0.77,216.03,2026-04-28,230.39,resolution-1d,13.5,-2.67,6.65,2026-04-17 00:00:00+00:00,2026-04-28 00:00:00+00:00,2026-04-17,2026-04-28,45,0.09289446625223367,9721.35,5.49,5.21,resolution-1d,646.2,624.4,6.4229,21.8,10367.55,15
1986797,KO,Coca-Cola Earnings,0.98,test,2026-04-17,0.77,75.74,2026-04-28,78.35,resolution-1d,1.68,-1.57,3.45,2026-04-17 00:00:00+00:00,2026-04-28 00:00:00+00:00,2026-04-17,2026-04-28,128,0.09289446625223367,9694.72,5.49,5.3,resolution-1d,334.08,312.27,3.221,21.81,10028.8,15
1986798,BP,BP Earnings,0.95,test,2026-04-17,0.77,44.59,2026-04-28,46.35,resolution-1d,5.32,-2.8,3.95,2026-04-17 00:00:00+00:00,2026-04-28 00:00:00+00:00,2026-04-17,2026-04-28,218,0.09289446625223367,9720.62,5.49,5.62,resolution-1d,383.68,361.19,3.7157,22.49,10104.3,15
2003522,SPGI,S&P Global Earnings,0.95,test,2026-04-22,0.901,449.06,2026-04-28,433.47,poly<0.5469722686465119,0.0,-3.58,-3.47,2026-04-22 00:00:00+00:00,2026-04-28 00:00:00+00:00,2026-04-19,2026-04-28,21,0.09289446625223367,9430.26,5.54,5.07,poly<0.5469722686465119,-327.39,-347.78,-3.6879,20.39,9102.87,13
2044093,AMZN,Amazon Earnings,1.0,test,2026-04-21,0.84,249.91,2026-04-29,263.04,resolution-1d,5.84,-0.32,5.25,2026-04-21 00:00:00+00:00,2026-04-29 00:00:00+00:00,2026-04-21,2026-04-29,38,0.09289446625223367,9496.58,5.45,5.1,resolution-1d,498.94,477.45,5.0276,21.49,9995.52,15
2003557,MRK,Merck Earnings,0.98,test,2026-04-17,0.77,119.07,2026-04-30,109.18,resolution-1d,0.24,-9.38,-8.31,2026-04-17 00:00:00+00:00,2026-04-30 00:00:00+00:00,2026-04-17,2026-04-30,81,0.09289446625223367,9644.67,5.49,5.17,resolution-1d,-801.09,-821.46,-8.5172,20.37,8843.58,13
2003561,RDDT,Reddit Earnings,0.95,test,2026-04-21,0.915,156.82,2026-04-30,147.23,resolution-1d,4.84,-8.76,-6.12,2026-04-21 00:00:00+00:00,2026-04-30 00:00:00+00:00,2026-04-17,2026-04-30,61,0.09289446625223367,9566.02,5.45,5.13,resolution-1d,-584.99,-605.35,-6.3281,20.36,8981.03,13
2003560,RBLX,Roblox Earnings,0.95,test,2026-04-23,0.835,55.45,2026-04-30,55.26,resolution-1d,6.2,-5.1,-0.34,2026-04-23 00:00:00+00:00,2026-04-30 00:00:00+00:00,2026-04-17,2026-04-30,176,0.09289446625223367,9759.2,5.51,5.5,resolution-1d,-33.44,-55.22,-0.5659,21.78,9725.76,14
2003565,DLB,Dolby Laboratories Earnings,0.95,test,2026-04-23,0.905,62.96,2026-04-30,64.14,resolution-1d,2.78,-1.38,1.87,2026-04-23 00:00:00+00:00,2026-04-30 00:00:00+00:00,2026-04-17,2026-04-30,155,0.09289446625223367,9758.8,5.51,5.42,resolution-1d,182.9,161.16,1.6514,21.74,9941.7,14
2003562,LH,Labcorp Earnings,0.95,test,2026-04-23,0.85,264.92,2026-04-30,256.8,resolution-1d,0.84,-4.73,-3.07,2026-04-23 00:00:00+00:00,2026-04-30 00:00:00+00:00,2026-04-17,2026-04-30,36,0.09289446625223367,9537.12,5.51,5.12,resolution-1d,-292.32,-312.87,-3.2805,20.55,9244.8,13
2039909,PIPR,Piper Sandler Earnings,1.0,test,2026-04-28,0.864,87.9,2026-05-01,79.42,resolution-1d,0.0,-9.75,-9.65,2026-04-28 00:00:00+00:00,2026-05-01 00:00:00+00:00,2026-04-24,2026-05-01,104,0.09289446625223367,9141.6,5.21,4.93,resolution-1d,-881.92,-901.18,-9.858,19.26,8259.68,12
2039911,CBOE,Cboe Global Markets Earnings,1.0,test,2026-04-28,0.84,303.64,2026-05-01,326.96,resolution-1d,1.4,-1.56,7.68,2026-04-28 00:00:00+00:00,2026-05-01 00:00:00+00:00,2026-04-24,2026-05-01,30,0.09289446625223367,9109.2,5.21,4.9,resolution-1d,699.6,678.89,7.4528,20.71,9808.8,14
2039916,ON,ON Semiconductor Earnings,1.0,test,2026-04-30,0.895,100.81,2026-05-04,102.04,resolution-1d,2.49,-2.25,1.22,2026-04-30 00:00:00+00:00,2026-05-04 00:00:00+00:00,2026-04-25,2026-05-04,92,0.09289446625223367,9274.52,5.28,4.99,resolution-1d,113.16,92.86,1.0013,20.3,9387.68,13
