market_id,symbol,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,peak_pct,trough_pct,return_pct,_entry_ts,_exit_ts,candidate_t_theta,candidate_t_e,_qty,_position_size_pct,_asset_entry_notional,_benchmark_sell_cost,_asset_buy_cost,realized_exit_reason,gross_pnl,pnl,pnl_pct,txn_cost,exit_value,benchmark_rebuy_qty
1921506,GD,General Dynamics Earnings,0.95,test,2026-04-10,0.795,335.15,2026-04-22,320.74,resolution-1d,2.01,-5.22,-4.3,2026-04-10 00:00:00+00:00,2026-04-22 00:00:00+00:00,2026-04-10,2026-04-22,36,0.12716674807893125,12065.4,6.8,6.38,resolution-1d,-518.76,-544.3,-4.5113,25.54,11546.64,17
1921508,IMAX,IMAX Earnings,0.9,test,2026-04-10,0.78,37.84,2026-04-22,36.22,resolution-1d,0.0,-8.72,-4.28,2026-04-10 00:00:00+00:00,2026-04-22 00:00:00+00:00,2026-04-10,2026-04-22,322,0.12716674807893125,12184.48,6.8,7.22,resolution-1d,-521.64,-548.86,-4.5046,27.22,11662.84,17
1937068,HON,Honeywell International Earnings,1.0,test,2026-04-15,0.84,232.19,2026-04-23,214.34,resolution-1d,1.83,-10.49,-7.69,2026-04-15 00:00:00+00:00,2026-04-23 00:00:00+00:00,2026-04-13,2026-04-23,54,0.12716674807893125,12538.26,7.08,6.62,resolution-1d,-963.9,-989.95,-7.8954,26.05,11574.36,17
1986800,NXPI,NXP Semiconductors Earnings,1.0,test,2026-04-22,0.825,225.75,2026-04-28,230.39,resolution-1d,8.62,-0.43,2.06,2026-04-22 00:00:00+00:00,2026-04-28 00:00:00+00:00,2026-04-17,2026-04-28,57,0.12716674807893125,12867.75,7.27,6.78,resolution-1d,264.48,236.55,1.8383,27.93,13132.23,19
1986801,SYY,Sysco Earnings,1.0,test,2026-04-23,0.915,75.81,2026-04-28,73.37,resolution-1d,1.35,-5.61,-3.22,2026-04-23 00:00:00+00:00,2026-04-28 00:00:00+00:00,2026-04-17,2026-04-28,171,0.12716674807893125,12963.51,7.23,7.08,resolution-1d,-417.24,-445.37,-3.4355,28.13,12546.27,19
2062064,PZZA,Papa John's Earnings,1.0,test,2026-04-28,0.925,36.56,2026-04-29,35.03,poly<0.5431325891511328,0.0,-4.79,-4.18,2026-04-28 00:00:00+00:00,2026-04-29 00:00:00+00:00,2026-04-24,2026-05-07,341,0.12716674807893125,12466.96,6.94,7.43,poly<0.5431325891511328,-521.73,-549.9,-4.4109,28.17,11945.23,18
2003560,RBLX,Roblox Earnings,0.95,test,2026-04-22,0.835,59.64,2026-04-30,55.26,resolution-1d,0.0,-11.77,-7.34,2026-04-22 00:00:00+00:00,2026-04-30 00:00:00+00:00,2026-04-17,2026-04-30,219,0.12716674807893125,13061.16,7.27,7.3,resolution-1d,-959.22,-987.3,-7.5591,28.08,12101.94,18
2115652,ARGX,argenx Vyvgart FDA Approval,0.9,test,2026-04-30,0.795,781.72,2026-05-05,805.17,profit_lock_3%,3.82,-0.86,3.0,2026-04-30 00:00:00+00:00,2026-05-05 00:00:00+00:00,2026-04-30,2026-05-10,16,0.12716674807893125,12507.52,7.05,6.6,profit_lock_3%,375.2,347.92,2.7817,27.28,12882.72,18
2062023,DASH,DoorDash Earnings,1.0,test,2026-05-05,0.85,166.14,2026-05-06,167.97,poly<0.5431325891511328,0.0,-1.07,1.1,2026-05-05 00:00:00+00:00,2026-05-06 00:00:00+00:00,2026-04-25,2026-05-06,77,0.12716674807893125,12792.78,7.19,6.75,poly<0.5431325891511328,140.91,113.18,0.8847,27.73,12933.69,18
2110072,TOST,Toast Earnings,0.95,test,2026-04-30,0.785,28.52,2026-05-07,29.38,resolution-1d,6.45,-2.38,3.02,2026-04-30 00:00:00+00:00,2026-05-07 00:00:00+00:00,2026-04-30,2026-05-07,444,0.12716674807893125,12662.88,7.05,7.89,resolution-1d,381.84,351.86,2.7786,29.98,13044.72,18
