market_id,symbol,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,peak_pct,trough_pct,return_pct,_entry_ts,_exit_ts,candidate_t_theta,candidate_t_e,_qty,_position_size_pct,_asset_entry_notional,_benchmark_sell_cost,_asset_buy_cost,realized_exit_reason,gross_pnl,pnl,pnl_pct,txn_cost,exit_value,benchmark_rebuy_qty
1986792,EFX,Equifax Earnings,0.95,test,2026-04-17,0.77,196.22,2026-04-21,192.42,resolution-1d,1.97,-5.13,-1.94,2026-04-17 00:00:00+00:00,2026-04-21 00:00:00+00:00,2026-04-17,2026-04-21,42,0.0841724840095941,8241.24,4.8,4.47,resolution-1d,-159.6,-177.7,-2.1562,18.1,8081.64,12
1986790,MSCI,MSCI Earnings,0.95,test,2026-04-17,0.77,568.55,2026-04-21,597.39,resolution-1d,0.33,-2.14,5.07,2026-04-17 00:00:00+00:00,2026-04-21 00:00:00+00:00,2026-04-17,2026-04-21,14,0.0841724840095941,7959.7,4.8,4.33,resolution-1d,403.76,385.65,4.845,18.11,8363.46,12
1986791,MMM,3M Earnings,1.0,test,2026-04-17,0.86,154.55,2026-04-21,148.47,resolution-1d,0.25,-4.98,-3.93,2026-04-17 00:00:00+00:00,2026-04-21 00:00:00+00:00,2026-04-17,2026-04-21,54,0.0841724840095941,8345.7,4.8,4.52,resolution-1d,-328.32,-346.44,-4.1511,18.12,8017.38,12
1993772,GRCE,Grace Therapeutics FDA Approval,1.0,test,2026-04-20,0.835,4.59,2026-04-22,4.77,profit_lock_4%,4.58,-10.24,4.0,2026-04-20 00:00:00+00:00,2026-04-22 00:00:00+00:00,2026-04-17,2026-04-23,1828,0.0841724840095941,8390.52,4.79,10.59,profit_lock_4%,329.04,298.05,3.5522,30.99,8719.56,13
1937070,CBRE,CBRE Group Earnings,1.0,test,2026-04-17,0.85,151.51,2026-04-23,149.31,resolution-1d,1.78,-5.22,-1.45,2026-04-17 00:00:00+00:00,2026-04-23 00:00:00+00:00,2026-04-13,2026-04-23,55,0.0841724840095941,8333.05,4.8,4.52,resolution-1d,-121.0,-139.26,-1.6712,18.26,8212.05,12
1937066,AXP,American Express Earnings,1.0,test,2026-04-17,0.8,331.69,2026-04-23,318.55,resolution-1d,1.93,-5.11,-3.96,2026-04-17 00:00:00+00:00,2026-04-23 00:00:00+00:00,2026-04-14,2026-04-23,25,0.0841724840095941,8292.25,4.8,4.5,resolution-1d,-328.5,-346.61,-4.1799,18.11,7963.75,12
2036554,SNY,Sanofi FDA Approval Dupixent,0.7,test,2026-04-21,0.825,47.13,2026-04-24,48.54,profit_lock_3%,3.12,-0.87,3.0,2026-04-21 00:00:00+00:00,2026-04-24 00:00:00+00:00,2026-04-21,2026-04-27,177,0.0841724840095941,8342.01,4.77,4.79,profit_lock_3%,249.57,230.52,2.7634,19.05,8591.58,12
1986800,NXPI,NXP Semiconductors Earnings,1.0,test,2026-04-17,0.77,216.03,2026-04-28,230.39,resolution-1d,13.5,-2.67,6.65,2026-04-17 00:00:00+00:00,2026-04-28 00:00:00+00:00,2026-04-17,2026-04-28,39,0.0841724840095941,8425.17,4.8,4.56,resolution-1d,560.04,540.96,6.4208,19.08,8985.21,13
1986797,KO,Coca-Cola Earnings,0.98,test,2026-04-17,0.77,75.74,2026-04-28,78.35,resolution-1d,1.68,-1.57,3.45,2026-04-17 00:00:00+00:00,2026-04-28 00:00:00+00:00,2026-04-17,2026-04-28,111,0.0841724840095941,8407.14,4.8,4.59,resolution-1d,289.71,270.72,3.2201,18.99,8696.85,13
1986798,BP,BP Earnings,0.95,test,2026-04-17,0.77,44.59,2026-04-28,46.35,resolution-1d,5.32,-2.8,3.95,2026-04-17 00:00:00+00:00,2026-04-28 00:00:00+00:00,2026-04-17,2026-04-28,188,0.0841724840095941,8382.92,4.8,4.85,resolution-1d,330.88,311.35,3.7141,19.53,8713.8,13
1986795,IVZ,Invesco Earnings,0.95,test,2026-04-17,0.77,24.81,2026-04-28,25.86,poly<0.5551781633648419,4.43,-2.06,4.23,2026-04-17 00:00:00+00:00,2026-04-28 00:00:00+00:00,2026-04-17,2026-04-28,339,0.0841724840095941,8410.59,4.8,5.39,poly<0.5551781633648419,355.95,335.32,3.9869,20.63,8766.54,13
2003522,SPGI,S&P Global Earnings,0.95,test,2026-04-22,0.901,449.06,2026-04-28,433.47,poly<0.5551781633648419,0.0,-3.58,-3.47,2026-04-22 00:00:00+00:00,2026-04-28 00:00:00+00:00,2026-04-19,2026-04-28,18,0.0841724840095941,8083.08,4.84,4.39,poly<0.5551781633648419,-280.62,-298.28,-3.6902,17.66,7802.46,11
1986801,SYY,Sysco Earnings,1.0,test,2026-04-24,0.915,76.56,2026-04-28,73.37,resolution-1d,0.22,-6.53,-4.17,2026-04-24 00:00:00+00:00,2026-04-28 00:00:00+00:00,2026-04-17,2026-04-28,112,0.0841724840095941,8574.72,4.91,4.68,resolution-1d,-357.28,-375.89,-4.3838,18.61,8217.44,12
2044093,AMZN,Amazon Earnings,1.0,test,2026-04-21,0.84,249.91,2026-04-29,263.04,resolution-1d,5.84,-0.32,5.25,2026-04-21 00:00:00+00:00,2026-04-29 00:00:00+00:00,2026-04-21,2026-04-29,33,0.0841724840095941,8247.03,4.77,4.47,resolution-1d,433.29,414.47,5.0257,18.82,8680.32,13
2003557,MRK,Merck Earnings,0.98,test,2026-04-17,0.77,119.07,2026-04-30,109.18,resolution-1d,0.24,-9.38,-8.31,2026-04-17 00:00:00+00:00,2026-04-30 00:00:00+00:00,2026-04-17,2026-04-30,70,0.0841724840095941,8334.9,4.8,4.52,resolution-1d,-692.3,-710.03,-8.5187,17.73,7642.6,11
2003561,RDDT,Reddit Earnings,0.95,test,2026-04-21,0.915,156.82,2026-04-30,147.23,resolution-1d,4.84,-8.76,-6.12,2026-04-21 00:00:00+00:00,2026-04-30 00:00:00+00:00,2026-04-17,2026-04-30,53,0.0841724840095941,8311.46,4.77,4.51,resolution-1d,-508.27,-526.04,-6.3291,17.77,7803.19,11
2003560,RBLX,Roblox Earnings,0.95,test,2026-04-23,0.835,55.45,2026-04-30,55.26,resolution-1d,6.2,-5.1,-0.34,2026-04-23 00:00:00+00:00,2026-04-30 00:00:00+00:00,2026-04-17,2026-04-30,152,0.0841724840095941,8428.4,4.82,4.75,resolution-1d,-28.88,-47.77,-0.5668,18.89,8399.52,12
2003565,DLB,Dolby Laboratories Earnings,0.95,test,2026-04-23,0.905,62.96,2026-04-30,64.14,resolution-1d,2.78,-1.38,1.87,2026-04-23 00:00:00+00:00,2026-04-30 00:00:00+00:00,2026-04-17,2026-04-30,134,0.0841724840095941,8436.64,4.82,4.69,resolution-1d,158.12,139.25,1.6505,18.87,8594.76,12
2039909,PIPR,Piper Sandler Earnings,1.0,test,2026-04-28,0.864,87.9,2026-05-01,79.42,resolution-1d,0.0,-9.75,-9.65,2026-04-28 00:00:00+00:00,2026-05-01 00:00:00+00:00,2026-04-24,2026-05-01,97,0.0841724840095941,8526.3,4.86,4.61,resolution-1d,-822.56,-840.5,-9.8578,17.94,7703.74,11
2039911,CBOE,Cboe Global Markets Earnings,1.0,test,2026-04-28,0.84,303.64,2026-05-01,326.96,resolution-1d,1.4,-1.56,7.68,2026-04-28 00:00:00+00:00,2026-05-01 00:00:00+00:00,2026-04-24,2026-05-01,28,0.0841724840095941,8501.92,4.86,4.6,resolution-1d,652.96,633.59,7.4523,19.37,9154.88,13
2039913,CVX,Chevron Earnings,1.0,test,2026-04-28,0.765,188.36,2026-05-01,190.63,resolution-1d,3.06,-0.96,1.21,2026-04-28 00:00:00+00:00,2026-05-01 00:00:00+00:00,2026-04-24,2026-05-01,45,0.0841724840095941,8476.2,4.86,4.59,resolution-1d,102.15,83.43,0.9843,18.72,8578.35,12
2048148,EA,Electronic Arts Earnings,0.95,test,2026-04-30,0.77,202.37,2026-05-05,201.57,resolution-1d,0.16,-0.48,-0.4,2026-04-30 00:00:00+00:00,2026-05-05 00:00:00+00:00,2026-04-27,2026-05-05,42,0.0841724840095941,8499.54,4.93,4.6,resolution-1d,-33.6,-52.39,-0.6164,18.79,8465.94,12
2115652,ARGX,argenx Vyvgart FDA Approval,0.9,test,2026-04-30,0.795,781.72,2026-05-05,805.17,profit_lock_3%,3.82,-0.86,3.0,2026-04-30 00:00:00+00:00,2026-05-05 00:00:00+00:00,2026-04-30,2026-05-10,11,0.0841724840095941,8598.92,4.93,4.65,profit_lock_3%,257.95,238.91,2.7783,19.04,8856.87,12
2048150,KKR,KKR Earnings,1.0,test,2026-05-04,0.845,103.33,2026-05-05,102.0,resolution-1d,0.0,-3.22,-1.29,2026-05-04 00:00:00+00:00,2026-05-05 00:00:00+00:00,2026-04-24,2026-05-05,84,0.0841724840095941,8679.72,4.97,4.69,resolution-1d,-111.72,-130.69,-1.5057,18.97,8568.0,12
2062018,APP,Applovin Earnings,1.0,test,2026-04-28,0.845,449.03,2026-05-06,468.83,resolution-1d,7.69,-4.18,4.41,2026-04-28 00:00:00+00:00,2026-05-06 00:00:00+00:00,2026-04-25,2026-05-06,19,0.0841724840095941,8531.57,4.86,4.62,resolution-1d,376.2,357.14,4.1861,19.06,8907.77,12
