market_id,symbol,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,peak_pct,trough_pct,return_pct,_entry_ts,_exit_ts,candidate_t_theta,candidate_t_e,_qty,_position_size_pct,_asset_entry_notional,_benchmark_sell_cost,_asset_buy_cost,realized_exit_reason,gross_pnl,pnl,pnl_pct,txn_cost,exit_value,benchmark_rebuy_qty
1986791,MMM,3M Earnings,1.0,test,2026-04-17,0.86,154.55,2026-04-21,148.47,resolution-1d,0.25,-4.98,-3.93,2026-04-17 00:00:00+00:00,2026-04-21 00:00:00+00:00,2026-04-17,2026-04-21,16,0.03,2472.8,1.72,1.59,resolution-1d,-97.28,-103.51,-4.186,6.23,2375.52,3
1937065,INTC,Intel Earnings,1.0,test,2026-04-20,0.85,65.7,2026-04-23,66.78,resolution-1d,4.67,-1.87,1.64,2026-04-20 00:00:00+00:00,2026-04-23 00:00:00+00:00,2026-04-13,2026-04-23,39,0.03,2562.3,1.72,1.63,resolution-1d,42.12,35.72,1.394,6.4,2604.42,3
1937066,AXP,American Express Earnings,1.0,test,2026-04-20,0.8,329.87,2026-04-23,318.55,resolution-1d,2.49,-4.58,-3.43,2026-04-20 00:00:00+00:00,2026-04-23 00:00:00+00:00,2026-04-14,2026-04-23,7,0.03,2309.09,1.72,1.5,resolution-1d,-79.24,-85.31,-3.6947,6.07,2229.85,3
2036554,SNY,Sanofi FDA Approval Dupixent,0.7,test,2026-04-21,0.825,47.13,2026-04-27,46.03,trailing_3.1ATR,3.12,-2.67,-2.34,2026-04-21 00:00:00+00:00,2026-04-27 00:00:00+00:00,2026-04-21,2026-04-27,54,0.03,2545.02,1.71,1.62,trailing_3.1ATR,-59.4,-65.74,-2.583,6.34,2485.62,3
1986797,KO,Coca-Cola Earnings,0.98,test,2026-04-21,0.94,74.7,2026-04-28,78.35,resolution-1d,3.09,-0.2,4.89,2026-04-21 00:00:00+00:00,2026-04-28 00:00:00+00:00,2026-04-17,2026-04-28,34,0.03,2539.8,1.71,1.62,resolution-1d,124.1,117.35,4.6204,6.75,2663.9,4
2003522,SPGI,S&P Global Earnings,0.95,test,2026-04-23,0.882,439.03,2026-04-28,433.47,poly<0.5511933855396858,0.6,-1.37,-1.27,2026-04-23 00:00:00+00:00,2026-04-28 00:00:00+00:00,2026-04-19,2026-04-28,5,0.03,2195.15,1.73,1.45,poly<0.5511933855396858,-27.8,-33.81,-1.5402,6.01,2167.35,3
1986800,NXPI,NXP Semiconductors Earnings,1.0,test,2026-04-24,0.87,244.04,2026-04-28,230.39,resolution-1d,0.0,-6.4,-5.59,2026-04-24 00:00:00+00:00,2026-04-28 00:00:00+00:00,2026-04-17,2026-04-28,10,0.03,2440.4,1.75,1.57,resolution-1d,-136.5,-142.72,-5.8483,6.22,2303.9,3
2044093,AMZN,Amazon Earnings,1.0,test,2026-04-21,0.84,249.91,2026-04-29,263.04,resolution-1d,5.84,-0.32,5.25,2026-04-21 00:00:00+00:00,2026-04-29 00:00:00+00:00,2026-04-21,2026-04-29,10,0.03,2499.1,1.71,1.6,resolution-1d,131.3,124.91,4.9982,6.39,2630.4,3
2003526,VIRT,Virtu Financial Earnings,0.95,test,2026-04-23,0.935,48.2,2026-04-29,50.82,resolution-1d,2.07,-2.78,5.44,2026-04-23 00:00:00+00:00,2026-04-29 00:00:00+00:00,2026-04-18,2026-04-29,53,0.03,2554.6,1.73,1.63,resolution-1d,138.86,132.06,5.1693,6.8,2693.46,4
2003541,WING,Wingstop Earnings,0.95,test,2026-04-27,0.88,177.73,2026-04-29,171.21,resolution-1d,0.77,-17.02,-3.67,2026-04-27 00:00:00+00:00,2026-04-29 00:00:00+00:00,2026-04-20,2026-04-29,14,0.03,2488.22,1.75,1.59,resolution-1d,-91.28,-97.58,-3.9216,6.3,2396.94,3
2003557,MRK,Merck Earnings,0.98,test,2026-04-21,0.825,112.56,2026-04-30,109.18,resolution-1d,2.19,-4.14,-3.0,2026-04-21 00:00:00+00:00,2026-04-30 00:00:00+00:00,2026-04-17,2026-04-30,22,0.03,2476.32,1.71,1.59,resolution-1d,-74.36,-80.63,-3.256,6.27,2401.96,3
2003558,ICE,Intercontinental Exchange Earnings,0.95,test,2026-04-21,0.955,158.63,2026-04-30,158.09,poly<0.5511933855396858,1.05,-3.86,-0.34,2026-04-21 00:00:00+00:00,2026-04-30 00:00:00+00:00,2026-04-17,2026-04-30,16,0.03,2538.08,1.71,1.62,poly<0.5511933855396858,-8.64,-15.01,-0.5913,6.37,2529.44,3
2003561,RDDT,Reddit Earnings,0.95,test,2026-04-22,0.91,164.31,2026-04-30,147.23,resolution-1d,0.0,-12.91,-10.39,2026-04-22 00:00:00+00:00,2026-04-30 00:00:00+00:00,2026-04-17,2026-04-30,15,0.03,2464.65,1.73,1.58,resolution-1d,-256.2,-262.38,-10.6456,6.18,2208.45,3
2003560,RBLX,Roblox Earnings,0.95,test,2026-04-24,0.835,56.09,2026-04-30,55.26,resolution-1d,4.99,-6.19,-1.48,2026-04-24 00:00:00+00:00,2026-04-30 00:00:00+00:00,2026-04-17,2026-04-30,47,0.03,2636.23,1.75,1.67,resolution-1d,-39.01,-45.5,-1.726,6.49,2597.22,3
2003565,DLB,Dolby Laboratories Earnings,0.95,test,2026-04-24,0.905,64.08,2026-04-30,64.14,resolution-1d,0.98,-2.79,0.09,2026-04-24 00:00:00+00:00,2026-04-30 00:00:00+00:00,2026-04-17,2026-04-30,41,0.03,2627.28,1.75,1.66,resolution-1d,2.46,-4.04,-0.1538,6.5,2629.74,3
2039911,CBOE,Cboe Global Markets Earnings,1.0,test,2026-04-29,0.865,305.6,2026-05-01,326.96,resolution-1d,0.75,-2.2,6.99,2026-04-29 00:00:00+00:00,2026-05-01 00:00:00+00:00,2026-04-24,2026-05-01,36,0.10658912280027116,11001.6,6.29,5.85,resolution-1d,768.96,744.18,6.7643,24.78,11770.56,17
2048146,BUD,Anheuser-Busch Earnings,1.0,test,2026-05-04,0.935,73.91,2026-05-05,80.37,resolution-1d,0.0,-0.77,8.74,2026-05-04 00:00:00+00:00,2026-05-05 00:00:00+00:00,2026-04-25,2026-05-05,118,0.08262847378330385,8721.38,4.97,4.77,resolution-1d,762.28,742.34,8.5117,19.94,9483.66,13
2062018,APP,Applovin Earnings,1.0,test,2026-04-29,0.86,443.43,2026-05-06,468.83,resolution-1d,9.05,-2.97,5.73,2026-04-29 00:00:00+00:00,2026-05-06 00:00:00+00:00,2026-04-25,2026-05-06,25,0.10658912280027116,11085.75,6.29,5.89,resolution-1d,635.0,610.37,5.5059,24.63,11720.75,16
2062061,NET,Cloudflare Earnings,1.0,test,2026-04-28,0.845,208.5,2026-05-07,256.79,resolution-1d,20.37,-4.24,23.16,2026-04-28 00:00:00+00:00,2026-05-07 00:00:00+00:00,2026-04-24,2026-05-07,12,0.03,2502.0,1.74,1.6,resolution-1d,579.48,572.42,22.8786,7.06,3081.48,4
2062056,EXPE,Expedia Earnings,1.0,test,2026-04-29,0.963,250.57,2026-05-07,252.79,resolution-1d,2.71,-6.81,0.89,2026-04-29 00:00:00+00:00,2026-05-07 00:00:00+00:00,2026-04-25,2026-05-07,44,0.10658912280027116,11025.08,6.29,5.86,resolution-1d,97.68,73.75,0.6689,23.93,11122.76,15
2110071,YELP,Yelp Earnings,1.0,test,2026-04-30,0.84,27.6,2026-05-07,28.5,resolution-1d,6.45,-1.96,3.26,2026-04-30 00:00:00+00:00,2026-05-07 00:00:00+00:00,2026-04-30,2026-05-07,217,0.05974824666093272,5989.2,3.52,3.75,resolution-1d,195.3,180.88,3.02,14.42,6184.5,8
