market_id,symbol,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,peak_pct,trough_pct,return_pct,_entry_ts,_exit_ts,candidate_t_theta,candidate_t_e,_qty,_position_size_pct,_asset_entry_notional,_benchmark_sell_cost,_asset_buy_cost,realized_exit_reason,gross_pnl,pnl,pnl_pct,txn_cost,exit_value,benchmark_rebuy_qty
1937063,BX,Blackstone Earnings,1.0,test,2026-04-13,0.86,121.82,2026-04-16,128.13,poly<0.5295165910812052,7.69,-5.43,5.18,2026-04-13 00:00:00+00:00,2026-04-16 00:00:00+00:00,2026-04-13,2026-04-23,61,0.07765066160510663,7431.02,4.33,4.07,poly<0.5295165910812052,384.91,367.83,4.9499,17.08,7815.93,11
1921503,T,AT&T Earnings,0.95,test,2026-04-10,0.775,26.46,2026-04-22,25.98,resolution-1d,0.83,-5.74,-1.81,2026-04-10 00:00:00+00:00,2026-04-22 00:00:00+00:00,2026-04-10,2026-04-22,282,0.07765066160510663,7461.72,4.29,4.72,resolution-1d,-135.36,-153.13,-2.0522,17.77,7326.36,10
1921505,CME,CME Group Earnings,0.95,test,2026-04-10,0.885,295.3,2026-04-22,285.71,resolution-1d,1.84,-7.01,-3.25,2026-04-10 00:00:00+00:00,2026-04-22 00:00:00+00:00,2026-04-10,2026-04-22,25,0.07765066160510663,7382.5,4.29,4.04,resolution-1d,-239.75,-256.11,-3.4691,16.36,7142.75,10
1921506,GD,General Dynamics Earnings,0.95,test,2026-04-10,0.795,335.15,2026-04-22,320.74,resolution-1d,2.01,-5.22,-4.3,2026-04-10 00:00:00+00:00,2026-04-22 00:00:00+00:00,2026-04-10,2026-04-22,22,0.07765066160510663,7373.3,4.29,4.04,resolution-1d,-317.02,-332.97,-4.516,15.95,7056.28,9
1921508,IMAX,IMAX Earnings,0.9,test,2026-04-10,0.78,37.84,2026-04-22,36.22,resolution-1d,0.0,-8.72,-4.28,2026-04-10 00:00:00+00:00,2026-04-22 00:00:00+00:00,2026-04-10,2026-04-22,197,0.07765066160510663,7454.48,4.29,4.42,resolution-1d,-319.14,-336.21,-4.5102,17.07,7135.34,10
1937068,HON,Honeywell International Earnings,1.0,test,2026-04-13,0.735,233.64,2026-04-23,214.34,resolution-1d,1.2,-11.05,-8.26,2026-04-13 00:00:00+00:00,2026-04-23 00:00:00+00:00,2026-04-13,2026-04-23,32,0.07765066160510663,7476.48,4.33,4.09,resolution-1d,-617.6,-633.53,-8.4736,15.93,6858.88,9
1937073,HAS,Hasbro Earnings,1.0,test,2026-04-13,0.855,92.49,2026-04-23,96.58,resolution-1d,5.96,-5.05,4.42,2026-04-13 00:00:00+00:00,2026-04-23 00:00:00+00:00,2026-04-13,2026-04-23,81,0.07765066160510663,7491.69,4.33,4.1,resolution-1d,331.29,314.13,4.1931,17.16,7822.98,11
1937076,UBSI,United Bankshares Earnings,1.0,test,2026-04-13,0.885,43.97,2026-04-23,43.91,resolution-1d,2.23,-2.05,-0.14,2026-04-13 00:00:00+00:00,2026-04-23 00:00:00+00:00,2026-04-13,2026-04-23,171,0.07765066160510663,7518.87,4.33,4.36,resolution-1d,-10.26,-27.4,-0.3645,17.14,7508.61,10
1937071,DOW,Dow Earnings,1.0,test,2026-04-14,0.765,39.16,2026-04-23,38.53,resolution-1d,2.17,-11.13,-1.61,2026-04-14 00:00:00+00:00,2026-04-23 00:00:00+00:00,2026-04-14,2026-04-23,194,0.07765066160510663,7597.04,4.38,4.48,resolution-1d,-122.22,-139.6,-1.8375,17.38,7474.82,10
2036695,AXSM,Axsome Therapeutics FDA Approval,1.0,test,2026-04-22,0.73,186.42,2026-04-27,190.15,profit_lock_2%,2.53,-3.04,2.0,2026-04-22 00:00:00+00:00,2026-04-27 00:00:00+00:00,2026-04-22,2026-04-30,41,0.07765066160510663,7643.22,4.48,4.17,profit_lock_2%,152.93,135.89,1.7779,17.04,7796.15,10
1986800,NXPI,NXP Semiconductors Earnings,1.0,test,2026-04-17,0.77,216.03,2026-04-28,230.39,resolution-1d,13.5,-2.67,6.65,2026-04-17 00:00:00+00:00,2026-04-28 00:00:00+00:00,2026-04-17,2026-04-28,36,0.07765066160510663,7777.08,4.47,4.24,resolution-1d,516.96,499.26,6.4196,17.7,8294.04,11
2003522,SPGI,S&P Global Earnings,0.95,test,2026-04-23,0.882,439.03,2026-04-28,433.47,poly<0.5295165910812052,0.6,-1.37,-1.27,2026-04-23 00:00:00+00:00,2026-04-28 00:00:00+00:00,2026-04-19,2026-04-28,17,0.07765066160510663,7463.51,4.46,4.08,poly<0.5295165910812052,-94.52,-111.21,-1.49,16.69,7368.99,10
1986801,SYY,Sysco Earnings,1.0,test,2026-04-24,0.915,76.56,2026-04-28,73.37,resolution-1d,0.22,-6.53,-4.17,2026-04-24 00:00:00+00:00,2026-04-28 00:00:00+00:00,2026-04-17,2026-04-28,102,0.07765066160510663,7809.12,4.49,4.26,resolution-1d,-325.38,-342.35,-4.3839,16.97,7483.74,10
2062007,DD,DuPont Earnings,1.0,test,2026-04-24,0.71,46.33,2026-04-28,45.33,poly<0.5295165910812052,1.64,-2.55,-2.16,2026-04-24 00:00:00+00:00,2026-04-28 00:00:00+00:00,2026-04-24,2026-05-05,169,0.07765066160510663,7829.77,4.49,4.51,poly<0.5295165910812052,-169.0,-186.54,-2.3825,17.54,7660.77,10
2062042,AKAM,Akamai Technologies Earnings,1.0,test,2026-04-27,0.835,95.93,2026-04-28,95.43,poly<0.5295165910812052,0.0,-2.5,-0.52,2026-04-27 00:00:00+00:00,2026-04-28 00:00:00+00:00,2026-04-27,2026-05-07,81,0.07765066160510663,7770.33,4.5,4.24,poly<0.5295165910812052,-40.5,-57.58,-0.741,17.08,7729.83,10
2003560,RBLX,Roblox Earnings,0.95,test,2026-04-22,0.835,59.64,2026-04-30,55.26,resolution-1d,0.0,-11.77,-7.34,2026-04-22 00:00:00+00:00,2026-04-30 00:00:00+00:00,2026-04-17,2026-04-30,131,0.07765066160510663,7812.84,4.48,4.36,resolution-1d,-573.78,-590.84,-7.5625,17.06,7239.06,10
2003562,LH,Labcorp Earnings,0.95,test,2026-04-24,0.835,263.8,2026-04-30,256.8,resolution-1d,1.27,-4.33,-2.65,2026-04-24 00:00:00+00:00,2026-04-30 00:00:00+00:00,2026-04-17,2026-04-30,29,0.07765066160510663,7650.2,4.49,4.18,resolution-1d,-203.0,-219.89,-2.8744,16.89,7447.2,10
2003559,CI,Cigna Earnings,0.98,test,2026-04-24,0.88,275.64,2026-04-30,290.58,resolution-1d,6.39,-1.2,5.42,2026-04-24 00:00:00+00:00,2026-04-30 00:00:00+00:00,2026-04-17,2026-04-30,28,0.07765066160510663,7717.92,4.49,4.21,resolution-1d,418.32,400.67,5.1915,17.65,8136.24,11
2003564,CLX,Clorox Earnings,0.95,test,2026-04-29,0.715,94.77,2026-04-30,96.44,resolution-1d,0.0,-1.46,1.76,2026-04-29 00:00:00+00:00,2026-04-30 00:00:00+00:00,2026-04-17,2026-04-30,75,0.07765066160510663,7107.75,4.11,3.9,resolution-1d,125.25,109.13,1.5354,16.12,7233.0,10
2039909,PIPR,Piper Sandler Earnings,1.0,test,2026-04-29,0.782,86.38,2026-05-01,79.42,resolution-1d,1.18,-8.16,-8.06,2026-04-29 00:00:00+00:00,2026-05-01 00:00:00+00:00,2026-04-24,2026-05-01,82,0.07765066160510663,7083.16,4.11,3.89,resolution-1d,-570.72,-586.1,-8.2746,15.38,6512.44,9
2039920,PLTR,Palantir Earnings,1.0,test,2026-04-24,0.875,143.09,2026-05-04,146.03,resolution-1d,2.34,-5.88,2.05,2026-04-24 00:00:00+00:00,2026-05-04 00:00:00+00:00,2026-04-24,2026-05-04,54,0.07765066160510663,7726.86,4.49,4.21,resolution-1d,158.76,141.61,1.8327,17.15,7885.62,10
2048138,POWL,Powell Industries Earnings,1.0,test,2026-04-30,0.935,277.27,2026-05-04,269.95,resolution-1d,2.19,-6.85,-2.64,2026-04-30 00:00:00+00:00,2026-05-04 00:00:00+00:00,2026-04-25,2026-05-04,25,0.07765066160510663,6931.75,4.14,3.82,resolution-1d,-183.0,-198.45,-2.863,15.45,6748.75,9
2062031,TRIP,Tripadvisor Earnings,1.0,test,2026-04-30,0.835,11.13,2026-05-04,11.33,poly<0.5295165910812052,4.67,-0.9,1.8,2026-04-30 00:00:00+00:00,2026-05-04 00:00:00+00:00,2026-04-30,2026-05-07,644,0.07765066160510663,7167.72,4.14,5.84,poly<0.5295165910812052,128.8,108.77,1.5176,20.03,7296.52,10
2115652,ARGX,argenx Vyvgart FDA Approval,0.9,test,2026-04-30,0.795,781.72,2026-05-05,805.17,profit_lock_3%,3.82,-0.86,3.0,2026-04-30 00:00:00+00:00,2026-05-05 00:00:00+00:00,2026-04-30,2026-05-10,9,0.07765066160510663,7035.48,4.14,3.87,profit_lock_3%,211.05,194.9,2.7702,16.15,7246.53,10
2062013,CVS,CVS Health Earnings,1.0,test,2026-04-28,0.735,80.98,2026-05-06,86.86,resolution-1d,3.64,-2.4,7.26,2026-04-28 00:00:00+00:00,2026-05-06 00:00:00+00:00,2026-04-24,2026-05-06,87,0.07765066160510663,7045.26,4.11,3.87,resolution-1d,511.56,495.22,7.0292,16.34,7556.82,10
2062016,AMC,AMC Entertainment Earnings,1.0,test,2026-04-28,0.75,1.64,2026-05-06,1.64,poly<0.5295165910812052,0.0,-14.02,0.0,2026-04-28 00:00:00+00:00,2026-05-06 00:00:00+00:00,2026-04-28,2026-05-06,4325,0.07765066160510663,7093.0,4.11,18.68,poly<0.5295165910812052,0.0,-45.32,-0.639,45.32,7093.0,9
2110070,DNUT,Krispy Kreme Earnings,1.0,test,2026-05-04,0.71,3.73,2026-05-06,3.68,poly<0.5295165910812052,2.41,-2.55,-1.34,2026-05-04 00:00:00+00:00,2026-05-06 00:00:00+00:00,2026-05-04,2026-05-07,1921,0.07765066160510663,7165.33,4.14,10.31,poly<0.5295165910812052,-96.05,-124.61,-1.739,28.56,7069.28,9
2062061,NET,Cloudflare Earnings,1.0,test,2026-04-28,0.845,208.5,2026-05-07,256.79,resolution-1d,20.37,-4.24,23.16,2026-04-28 00:00:00+00:00,2026-05-07 00:00:00+00:00,2026-04-24,2026-05-07,34,0.07765066160510663,7089.0,4.11,3.89,resolution-1d,1641.86,1624.53,22.9162,17.33,8730.86,11
2062059,MCD,McDonald's Earnings,1.0,test,2026-05-05,0.76,285.17,2026-05-07,283.7,resolution-1d,1.17,-1.06,-0.52,2026-05-05 00:00:00+00:00,2026-05-07 00:00:00+00:00,2026-04-24,2026-05-07,25,0.07765066160510663,7129.25,4.17,3.91,resolution-1d,-36.75,-52.57,-0.7373,15.82,7092.5,9
2062074,WEN,Wendy's Earnings,1.0,test,2026-05-01,0.73,6.7,2026-05-08,7.3,resolution-1d,4.18,-4.93,8.96,2026-05-01 00:00:00+00:00,2026-05-08 00:00:00+00:00,2026-04-24,2026-05-08,1073,0.07765066160510663,7189.1,4.15,7.35,resolution-1d,643.8,620.37,8.6293,23.43,7832.9,10
2168995,SPCE,Virgin Galactic Earnings,0.95,test,2026-05-06,0.89,2.66,2026-05-08,2.94,poly<0.5295165910812052,0.0,-7.52,10.53,2026-05-06 00:00:00+00:00,2026-05-08 00:00:00+00:00,2026-05-06,2026-05-14,2752,0.07765066160510663,7320.32,4.22,13.29,poly<0.5295165910812052,770.56,735.11,10.042,35.45,8090.88,10
2168992,PLBY,Playboy Earnings,0.95,test,2026-05-07,0.74,1.67,2026-05-11,1.73,resolution-1d,11.38,-1.8,3.59,2026-05-07 00:00:00+00:00,2026-05-11 00:00:00+00:00,2026-05-07,2026-05-11,4366,0.07765066160510663,7291.22,4.21,18.93,resolution-1d,261.96,215.51,2.9557,46.45,7553.18,10
2129328,AMAT,Applied Materials Earnings,0.98,test,2026-05-05,0.91,410.82,2026-05-14,440.56,resolution-1d,9.16,-2.57,7.24,2026-05-05 00:00:00+00:00,2026-05-14 00:00:00+00:00,2026-05-05,2026-05-14,17,0.07765066160510663,6983.94,4.17,3.84,resolution-1d,505.58,489.55,7.0097,16.03,7489.52,9
2168996,GAMB,Gambling.com Earnings,0.9,test,2026-05-06,0.85,4.12,2026-05-14,4.14,resolution-1d,33.5,-4.59,0.49,2026-05-06 00:00:00+00:00,2026-05-14 00:00:00+00:00,2026-05-06,2026-05-14,1777,0.07765066160510663,7321.24,4.22,9.88,resolution-1d,35.54,7.62,0.1041,27.92,7356.78,9
2168997,NMAX,Newsmax Earnings,0.9,test,2026-05-11,0.72,6.38,2026-05-14,6.92,resolution-1d,8.31,-4.39,8.46,2026-05-11 00:00:00+00:00,2026-05-14 00:00:00+00:00,2026-05-11,2026-05-14,1272,0.07765066160510663,8115.36,4.64,8.51,resolution-1d,686.88,660.17,8.1348,26.71,8802.24,11
2115679,AZN,AstraZeneca & Daiichi Sankyo Enhertu FDA Approval,0.72,test,2026-04-30,0.76,187.37,2026-05-18,183.92,resolution-1d,0.22,-3.93,-1.84,2026-04-30 00:00:00+00:00,2026-05-18 00:00:00+00:00,2026-04-30,2026-05-18,38,0.07765066160510663,7120.06,4.14,3.91,resolution-1d,-131.1,-146.86,-2.0627,15.76,6988.96,9
2168999,AS,Amer Sports Earnings,0.95,test,2026-05-06,0.845,37.19,2026-05-19,33.83,resolution-1d,0.43,-12.41,-9.03,2026-05-06 00:00:00+00:00,2026-05-19 00:00:00+00:00,2026-05-06,2026-05-19,197,0.07765066160510663,7326.43,4.22,4.35,resolution-1d,-661.92,-678.35,-9.2589,16.43,6664.51,9
2186403,LOW,Lowe's Earnings,1.0,test,2026-05-12,0.915,224.52,2026-05-20,221.05,resolution-1d,0.0,-7.36,-1.55,2026-05-12 00:00:00+00:00,2026-05-20 00:00:00+00:00,2026-05-12,2026-05-20,36,0.07765066160510663,8082.72,4.64,4.39,resolution-1d,-124.92,-142.56,-1.7637,17.64,7957.8,10
2186404,URBN,Urban Outfitters Earnings,0.9,test,2026-05-12,0.855,67.01,2026-05-20,71.67,resolution-1d,4.61,-3.4,6.95,2026-05-12 00:00:00+00:00,2026-05-20 00:00:00+00:00,2026-05-12,2026-05-20,121,0.07765066160510663,8108.21,4.64,4.48,resolution-1d,563.86,545.31,6.7254,18.55,8672.07,11
2186405,ADI,Analog Devices Earnings,0.9,test,2026-05-12,0.895,419.65,2026-05-20,398.05,resolution-1d,3.83,-8.53,-5.15,2026-05-12 00:00:00+00:00,2026-05-20 00:00:00+00:00,2026-05-12,2026-05-20,19,0.07765066160510663,7973.35,4.64,4.34,resolution-1d,-410.4,-427.78,-5.3651,17.38,7562.95,10
2186413,WDAY,Workday Earnings,0.9,test,2026-05-12,0.885,118.62,2026-05-21,121.85,resolution-1d,14.59,-5.12,2.72,2026-05-12 00:00:00+00:00,2026-05-21 00:00:00+00:00,2026-05-12,2026-05-21,68,0.07765066160510663,8066.16,4.64,4.38,resolution-1d,219.64,201.46,2.4976,18.18,8285.8,11
2245146,SMTC,Semtech Earnings,0.9,test,2026-05-18,0.905,132.39,2026-05-26,164.46,resolution-1d,24.24,-5.69,24.22,2026-05-18 00:00:00+00:00,2026-05-26 00:00:00+00:00,2026-05-14,2026-05-26,61,0.07765066160510663,8075.79,4.64,4.39,resolution-1d,1956.27,1936.37,23.9774,19.9,10032.06,13
2271191,CRWD,CrowdStrike Q1 Net New ARR,1.0,test,2026-05-21,0.915,648.23,2026-05-26,674.16,profit_lock_4%,4.11,-0.95,4.0,2026-05-21 00:00:00+00:00,2026-05-26 00:00:00+00:00,2026-05-21,2026-06-02,12,0.07765066160510663,7778.76,4.66,4.24,profit_lock_4%,311.16,293.54,3.7736,17.62,8089.92,10
2256958,CRM,Salesforce Earnings,0.95,test,2026-05-14,0.84,167.58,2026-05-27,177.51,resolution-1d,11.85,-1.94,5.93,2026-05-14 00:00:00+00:00,2026-05-27 00:00:00+00:00,2026-05-14,2026-05-27,49,0.07765066160510663,8211.42,4.69,4.46,resolution-1d,486.57,468.0,5.6994,18.57,8697.99,11
2277318,DELL,Dell Technologies Earnings,1.0,test,2026-05-20,0.94,242.93,2026-05-28,317.05,resolution-1d,28.49,-2.36,30.51,2026-05-20 00:00:00+00:00,2026-05-28 00:00:00+00:00,2026-05-20,2026-05-28,33,0.07765066160510663,8016.69,4.65,4.36,resolution-1d,2445.96,2425.82,30.2597,20.14,10462.65,13
2277310,OKTA,Okta Earnings,1.0,test,2026-05-20,0.94,89.04,2026-05-28,94.72,resolution-1d,8.25,-6.39,6.38,2026-05-20 00:00:00+00:00,2026-05-28 00:00:00+00:00,2026-05-20,2026-05-28,91,0.07765066160510663,8102.64,4.65,4.4,resolution-1d,516.88,498.43,6.1515,18.45,8619.52,11
2277279,WSM,Williams-Sonoma Earnings,1.0,test,2026-05-20,0.88,180.25,2026-05-28,205.6,resolution-1d,14.8,-6.63,14.06,2026-05-20 00:00:00+00:00,2026-05-28 00:00:00+00:00,2026-05-20,2026-05-28,45,0.07765066160510663,8111.25,4.65,4.41,resolution-1d,1140.75,1121.58,13.8275,19.17,9252.0,12
2297855,HPE,Hewlett Packard Enterprise Earnings,1.0,test,2026-05-19,0.86,32.62,2026-06-01,47.0,resolution-1d,36.65,-2.27,44.08,2026-05-19 00:00:00+00:00,2026-06-01 00:00:00+00:00,2026-05-19,2026-06-01,247,0.07765066160510663,8057.14,4.61,4.89,resolution-1d,3551.86,3529.33,43.8037,22.53,11609.0,15
2312808,CXM,Sprinklr Earnings,1.0,test,2026-05-20,0.855,5.27,2026-06-01,6.01,resolution-1d,7.02,-3.61,14.04,2026-05-20 00:00:00+00:00,2026-06-01 00:00:00+00:00,2026-05-20,2026-06-02,1544,0.07765066160510663,8136.88,4.65,9.47,resolution-1d,1142.56,1113.24,13.6814,29.32,9279.44,12
2312767,PANW,Palo Alto Networks Earnings,1.0,test,2026-05-20,0.89,246.66,2026-06-01,300.48,resolution-1d,15.02,-4.62,21.82,2026-05-20 00:00:00+00:00,2026-06-01 00:00:00+00:00,2026-05-20,2026-06-02,33,0.07765066160510663,8139.78,4.65,4.42,resolution-1d,1776.06,1756.13,21.5746,19.93,9915.84,13
