market_id,symbol,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,peak_pct,trough_pct,return_pct,_entry_ts,_exit_ts,candidate_t_theta,candidate_t_e,_qty,_position_size_pct,_asset_entry_notional,_benchmark_sell_cost,_asset_buy_cost,realized_exit_reason,gross_pnl,pnl,pnl_pct,txn_cost,exit_value,benchmark_rebuy_qty
1937063,BX,Blackstone Earnings,1.0,test,2026-04-13,0.86,121.82,2026-04-16,128.13,poly<0.5508729618647695,7.69,-5.43,5.18,2026-04-13 00:00:00+00:00,2026-04-16 00:00:00+00:00,2026-04-13,2026-04-23,61,0.07890408592717646,7431.02,4.33,4.07,poly<0.5508729618647695,384.91,367.83,4.9499,17.08,7815.93,11
1986791,MMM,3M Earnings,1.0,test,2026-04-17,0.86,154.55,2026-04-21,148.47,resolution-1d,0.25,-4.98,-3.93,2026-04-17 00:00:00+00:00,2026-04-21 00:00:00+00:00,2026-04-17,2026-04-21,50,0.07890408592717646,7727.5,4.47,4.21,resolution-1d,-304.0,-320.82,-4.1516,16.82,7423.5,10
1921505,CME,CME Group Earnings,0.95,test,2026-04-10,0.885,295.3,2026-04-22,285.71,resolution-1d,1.84,-7.01,-3.25,2026-04-10 00:00:00+00:00,2026-04-22 00:00:00+00:00,2026-04-10,2026-04-22,25,0.07890408592717646,7382.5,4.29,4.04,resolution-1d,-239.75,-256.11,-3.4691,16.36,7142.75,10
1921506,GD,General Dynamics Earnings,0.95,test,2026-04-10,0.795,335.15,2026-04-22,320.74,resolution-1d,2.01,-5.22,-4.3,2026-04-10 00:00:00+00:00,2026-04-22 00:00:00+00:00,2026-04-10,2026-04-22,22,0.07890408592717646,7373.3,4.29,4.04,resolution-1d,-317.02,-332.97,-4.516,15.95,7056.28,9
1937073,HAS,Hasbro Earnings,1.0,test,2026-04-13,0.855,92.49,2026-04-23,96.58,resolution-1d,5.96,-5.05,4.42,2026-04-13 00:00:00+00:00,2026-04-23 00:00:00+00:00,2026-04-13,2026-04-23,81,0.07890408592717646,7491.69,4.33,4.1,resolution-1d,331.29,314.13,4.1931,17.16,7822.98,11
1937074,STBA,S&T Bancorp Earnings,1.0,test,2026-04-15,0.805,43.67,2026-04-23,43.54,resolution-1d,2.75,-2.4,-0.3,2026-04-15 00:00:00+00:00,2026-04-23 00:00:00+00:00,2026-04-15,2026-04-23,176,0.07890408592717646,7685.92,4.41,4.46,resolution-1d,-22.88,-40.3,-0.5244,17.42,7663.04,10
1937068,HON,Honeywell International Earnings,1.0,test,2026-04-16,0.865,229.38,2026-04-23,214.34,resolution-1d,3.08,-9.39,-6.56,2026-04-16 00:00:00+00:00,2026-04-23 00:00:00+00:00,2026-04-13,2026-04-23,33,0.07890408592717646,7569.54,4.42,4.13,resolution-1d,-496.32,-512.49,-6.7704,16.17,7073.22,9
1937070,CBRE,CBRE Group Earnings,1.0,test,2026-04-17,0.85,151.51,2026-04-23,149.31,resolution-1d,1.78,-5.22,-1.45,2026-04-17 00:00:00+00:00,2026-04-23 00:00:00+00:00,2026-04-13,2026-04-23,51,0.07890408592717646,7727.01,4.47,4.21,resolution-1d,-112.2,-129.14,-1.6713,16.94,7614.81,10
1937066,AXP,American Express Earnings,1.0,test,2026-04-17,0.8,331.69,2026-04-23,318.55,resolution-1d,1.93,-5.11,-3.96,2026-04-17 00:00:00+00:00,2026-04-23 00:00:00+00:00,2026-04-14,2026-04-23,23,0.07890408592717646,7628.87,4.47,4.16,resolution-1d,-302.22,-318.96,-4.181,16.74,7326.65,10
1971815,VZ,Verizon Earnings,1.0,test,2026-04-15,0.865,45.03,2026-04-27,47.1,resolution-1d,5.53,-0.22,4.6,2026-04-15 00:00:00+00:00,2026-04-27 00:00:00+00:00,2026-04-15,2026-04-27,170,0.07890408592717646,7655.1,4.41,4.42,resolution-1d,351.9,333.97,4.3627,17.93,8007.0,11
2003522,SPGI,S&P Global Earnings,0.95,test,2026-04-22,0.901,449.06,2026-04-28,433.47,poly<0.5508729618647695,0.0,-3.58,-3.47,2026-04-22 00:00:00+00:00,2026-04-28 00:00:00+00:00,2026-04-19,2026-04-28,17,0.07890408592717646,7634.02,4.48,4.17,poly<0.5508729618647695,-265.03,-281.83,-3.6917,16.8,7368.99,10
1986798,BP,BP Earnings,0.95,test,2026-04-23,0.81,46.35,2026-04-28,46.35,resolution-1d,1.32,-0.97,0.0,2026-04-23 00:00:00+00:00,2026-04-28 00:00:00+00:00,2026-04-17,2026-04-28,167,0.07890408592717646,7740.45,4.46,4.45,resolution-1d,0.0,-17.49,-0.2259,17.49,7740.45,10
1986801,SYY,Sysco Earnings,1.0,test,2026-04-24,0.915,76.56,2026-04-28,73.37,resolution-1d,0.22,-6.53,-4.17,2026-04-24 00:00:00+00:00,2026-04-28 00:00:00+00:00,2026-04-17,2026-04-28,102,0.07890408592717646,7809.12,4.49,4.26,resolution-1d,-325.38,-342.35,-4.3839,16.97,7483.74,10
2048134,PJT,PJT Partners Earnings,1.0,test,2026-04-27,0.91,155.81,2026-04-28,153.2,resolution-1d,0.0,-3.63,-1.68,2026-04-27 00:00:00+00:00,2026-04-28 00:00:00+00:00,2026-04-24,2026-04-28,50,0.07890408592717646,7790.5,4.5,4.25,resolution-1d,-130.5,-147.55,-1.894,17.05,7660.0,10
2003561,RDDT,Reddit Earnings,0.95,test,2026-04-21,0.915,156.82,2026-04-30,147.23,resolution-1d,4.84,-8.76,-6.12,2026-04-21 00:00:00+00:00,2026-04-30 00:00:00+00:00,2026-04-17,2026-04-30,49,0.07890408592717646,7684.18,4.44,4.19,resolution-1d,-469.91,-486.64,-6.333,16.73,7214.27,10
2003560,RBLX,Roblox Earnings,0.95,test,2026-04-23,0.835,55.45,2026-04-30,55.26,resolution-1d,6.2,-5.1,-0.34,2026-04-23 00:00:00+00:00,2026-04-30 00:00:00+00:00,2026-04-17,2026-04-30,140,0.07890408592717646,7763.0,4.46,4.37,resolution-1d,-26.6,-43.95,-0.5661,17.35,7736.4,10
