market_id,symbol,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,rf_target,peak_pct,trough_pct,return_pct
509713,USO,military_escalation+energy_beneficiary,0.6,train,2024-10-17,0.845,72.62,2024-10-18,71.38,end_of_window,-0.0401,0.0,-2.82,-1.71
550768,MRK,fda_approval+direct_company,0.95,train,2025-06-09,0.88,79.33,2025-06-11,81.71,profit_lock_3%,-0.002,3.21,-0.83,3.0
551649,USO,military_escalation+energy_beneficiary,0.54,train,2025-06-14,1.0,78.59,2025-06-18,82.52,profit_lock_5%,-0.0388,5.47,-2.98,5.0
551654,USO,military_escalation+energy_beneficiary,0.8,train,2025-06-12,0.83,75.05,2025-06-16,76.98,trailing_2.5ATR,-0.0386,8.11,-1.73,2.57
546305,USO,military_escalation+energy_beneficiary,0.63,train,2025-06-13,0.999,80.22,2025-06-18,82.63,profit_lock_3%,-0.0542,3.33,-4.95,3.0
551653,USO,military_escalation+energy_beneficiary,0.63,train,2025-06-13,0.996,80.22,2025-06-18,82.63,profit_lock_3%,-0.0535,3.33,-4.95,3.0
552099,USO,military_escalation+energy_beneficiary,0.54,train,2025-06-19,0.755,83.12,2025-06-23,76.86,trailing_2.5ATR,-0.0509,0.0,-8.07,-7.53
552109,USO,military_escalation+energy_beneficiary,0.54,train,2025-06-13,1.0,80.22,2025-06-18,82.63,profit_lock_3%,-0.0272,3.33,-4.95,3.0
552114,XLE,military_escalation+energy_beneficiary,0.52,train,2025-06-16,0.875,43.92,2025-06-20,44.49,resolution-1d,-0.0053,1.81,-0.75,1.3
551650,USO,military_escalation+energy_beneficiary,0.72,train,2025-06-18,0.725,82.27,2025-06-23,77.19,trailing_2.5ATR,-0.0489,1.35,-7.12,-6.18
551650,XLE,military_escalation+energy_beneficiary,0.64,train,2025-06-18,0.725,44.04,2025-06-24,42.69,trailing_2.5ATR,-0.0161,1.53,-3.96,-3.06
553540,USO,military_escalation+energy_beneficiary,0.72,train,2025-06-23,1.0,76.41,2025-06-30,73.11,resolution-1d,-0.0552,0.0,-5.81,-4.32
553540,XLE,military_escalation+energy_beneficiary,0.64,train,2025-06-23,1.0,43.01,2025-06-30,42.4,resolution-1d,-0.024,0.0,-2.06,-1.42
554577,USO,military_escalation+energy_beneficiary,0.72,train,2025-06-21,0.999,76.41,2025-06-30,73.11,resolution-1d,-0.0494,0.0,-5.81,-4.32
554577,XLE,military_escalation+energy_beneficiary,0.64,train,2025-06-21,0.999,43.01,2025-06-30,42.4,resolution-1d,-0.0248,0.0,-2.06,-1.42
554676,USO,military_escalation+energy_beneficiary,0.675,train,2025-06-25,0.996,73.31,2025-06-30,73.11,resolution-1d,-0.0472,1.87,-0.8,-0.27
554676,XLE,military_escalation+energy_beneficiary,0.6,train,2025-06-25,0.996,42.27,2025-06-30,42.4,resolution-1d,-0.021,1.63,-0.33,0.32
569179,LENZ,fda_approval+direct_company,0.95,train,2025-07-29,0.83,31.67,2025-08-08,34.68,rf_target,0.0191,2.81,-12.25,9.5
569181,INSM,fda_approval+direct_company,0.95,train,2025-07-29,0.785,105.0,2025-07-31,107.28,rf_target,0.0047,2.3,-2.66,2.17
569182,TNXP,fda_approval+direct_company,0.95,train,2025-07-29,0.8,42.63,2025-08-04,44.64,rf_target,0.0287,2.63,-16.35,4.71
569186,TLX,fda_approval+direct_company,0.95,train,2025-07-29,0.805,13.49,2025-08-01,14.16,profit_lock_5%,-0.0202,5.04,-4.38,5.0
569187,PGEN,fda_approval+direct_company,0.95,train,2025-07-29,0.75,1.57,2025-07-30,1.73,rf_target,0.0135,0.0,0.0,10.19
569189,OTLK,fda_approval+direct_company,0.95,train,2025-08-15,0.755,2.34,2025-08-18,2.77,rf_target,0.0096,0.0,-5.13,18.38
569190,SNY,fda_approval+direct_company,0.9,train,2025-07-29,0.775,49.35,2025-07-31,47.43,trailing_2.5ATR,-0.0083,0.0,-9.36,-3.89
598107,MU,earnings_beat+direct_company,1.0,train,2025-09-15,0.8,157.77,2025-09-19,170.39,profit_lock_8%,-0.0161,8.04,-1.59,8.0
598111,JBL,earnings_beat+direct_company,0.9,train,2025-09-17,0.8,213.64,2025-09-19,226.46,profit_lock_6%,-0.0064,6.01,-2.45,6.0
598106,FDX,earnings_beat+direct_company,1.0,train,2025-09-15,0.76,181.86,2025-09-18,187.32,profit_lock_3%,-0.0019,3.18,-0.58,3.0
598110,ACN,earnings_beat+direct_company,1.0,train,2025-09-19,0.735,239.7,2025-09-30,246.89,profit_lock_3%,-0.0032,3.93,-4.3,3.0
599650,CASH,earnings_beat+direct_company,1.0,train,2025-09-16,0.765,74.62,2025-09-18,76.17,trailing_2.5ATR,-0.0211,8.07,-1.26,2.07
599651,MLKN,earnings_beat+direct_company,1.0,train,2025-09-18,0.77,20.44,2025-09-23,19.26,trailing_2.5ATR,-0.0603,2.05,-7.29,-5.77
599652,PRGS,earnings_beat+direct_company,1.0,train,2025-09-17,0.73,41.91,2025-09-19,43.17,profit_lock_3%,-0.0169,3.77,-0.5,3.0
613052,JPM,earnings_beat+direct_company,1.0,train,2025-09-26,0.8,316.06,2025-10-06,305.94,trailing_2.5ATR,-0.0309,0.62,-3.46,-3.2
613046,XOM,earnings_beat+direct_company,1.0,train,2025-09-26,0.77,117.22,2025-09-30,112.48,trailing_2.5ATR,-0.0162,0.0,-4.5,-4.04
613049,LEVI,earnings_beat+direct_company,1.0,train,2025-09-26,0.88,23.02,2025-10-02,24.4,profit_lock_6%,-0.0045,6.08,-1.39,6.0
613050,PEP,earnings_beat+direct_company,1.0,train,2025-09-26,0.775,140.44,2025-10-01,143.14,rf_target,0.0012,0.42,-0.94,1.92
613051,DAL,earnings_beat+direct_company,1.0,train,2025-10-02,0.795,57.08,2025-10-08,57.12,resolution-1d,-0.0075,2.54,-2.24,0.07
613055,WFC,earnings_beat+direct_company,1.0,train,2025-09-26,0.815,85.01,2025-10-01,81.17,trailing_2.5ATR,-0.0333,0.21,-4.99,-4.52
613056,GS,earnings_beat+direct_company,1.0,train,2025-09-26,0.785,802.51,2025-10-10,771.19,trailing_2.5ATR,-0.0199,0.89,-4.8,-3.9
613057,C,earnings_beat+direct_company,0.95,train,2025-09-26,0.805,103.42,2025-09-30,99.75,trailing_2.5ATR,-0.0295,0.94,-4.14,-3.55
613066,DPZ,earnings_beat+direct_company,0.95,train,2025-10-02,0.795,431.24,2025-10-07,410.4,trailing_2.5ATR,-0.017,0.0,-4.96,-4.83
