market_id,symbol,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,rf_target,peak_pct,trough_pct,return_pct
550768,MRK,fda_approval+direct_company,0.95,train,2025-06-09,0.88,79.33,2025-06-16,81.71,profit_lock_3%,-0.002,3.92,-0.83,3.0
551649,USO,military_escalation+energy_beneficiary,0.54,train,2025-06-14,1.0,78.59,2025-06-18,82.52,profit_lock_5%,-0.0388,5.47,-2.98,5.0
551654,USO,military_escalation+energy_beneficiary,0.8,train,2025-06-14,0.996,78.59,2025-06-18,82.52,profit_lock_5%,-0.0386,5.47,-2.98,5.0
546305,USO,military_escalation+energy_beneficiary,0.63,train,2025-06-13,0.999,80.22,2025-06-20,83.43,profit_lock_4%,-0.0542,4.04,-4.95,4.0
551653,USO,military_escalation+energy_beneficiary,0.63,train,2025-06-13,0.996,80.22,2025-06-20,83.43,profit_lock_4%,-0.0535,4.04,-4.95,4.0
552099,USO,military_escalation+energy_beneficiary,0.54,train,2025-06-21,0.85,76.41,2025-06-24,73.0,poly<0.534086556485947,-0.0509,0.0,-5.81,-4.46
552109,USO,military_escalation+energy_beneficiary,0.54,train,2025-06-13,1.0,80.22,2025-06-20,83.43,profit_lock_4%,-0.0272,4.04,-4.95,4.0
552114,XLE,military_escalation+energy_beneficiary,0.52,train,2025-06-16,0.875,43.92,2025-06-20,44.49,resolution-1d,-0.0053,1.81,-0.75,1.3
551650,USO,military_escalation+energy_beneficiary,0.72,train,2025-06-23,0.998,76.41,2025-07-30,80.23,profit_lock_5%,-0.0489,5.01,-5.81,5.0
551650,XLE,military_escalation+energy_beneficiary,0.64,train,2025-06-23,0.998,43.01,2025-07-14,44.31,profit_lock_3%,-0.0161,3.96,-2.17,3.0
553540,USO,military_escalation+energy_beneficiary,0.72,train,2025-06-23,1.0,76.41,2025-06-30,73.11,resolution-1d,-0.0552,0.0,-5.81,-4.32
553540,XLE,military_escalation+energy_beneficiary,0.64,train,2025-06-23,1.0,43.01,2025-06-30,42.4,resolution-1d,-0.024,0.0,-2.06,-1.42
554577,USO,military_escalation+energy_beneficiary,0.72,train,2025-06-21,0.999,76.41,2025-06-30,73.11,resolution-1d,-0.0494,0.0,-5.81,-4.32
554577,XLE,military_escalation+energy_beneficiary,0.64,train,2025-06-21,0.999,43.01,2025-06-30,42.4,resolution-1d,-0.0248,0.0,-2.06,-1.42
554676,USO,military_escalation+energy_beneficiary,0.675,train,2025-06-25,0.996,73.31,2025-06-30,73.11,resolution-1d,-0.0472,1.87,-0.8,-0.27
554676,XLE,military_escalation+energy_beneficiary,0.6,train,2025-06-25,0.996,42.27,2025-06-30,42.4,resolution-1d,-0.021,1.63,-0.33,0.32
569179,LENZ,fda_approval+direct_company,0.95,train,2025-07-30,0.83,30.76,2025-08-07,32.12,rf_target,0.0191,2.7,-9.66,4.42
569181,INSM,fda_approval+direct_company,0.95,train,2025-07-30,0.785,105.18,2025-07-31,107.28,rf_target,0.0047,0.0,-1.6,2.0
569182,TNXP,fda_approval+direct_company,0.95,train,2025-07-30,0.8,38.62,2025-08-01,40.16,profit_lock_4%,0.0287,4.32,-7.66,4.0
569186,TLX,fda_approval+direct_company,0.95,train,2025-07-30,0.805,13.5,2025-08-01,14.04,profit_lock_4%,-0.0202,4.96,-4.45,4.0
569187,PGEN,fda_approval+direct_company,0.95,train,2025-08-16,0.996,2.95,2025-08-19,3.22,rf_target,0.0135,0.0,-11.19,9.15
569190,SNY,fda_approval+direct_company,0.9,train,2025-08-03,0.845,48.05,2025-08-18,49.97,profit_lock_4%,-0.0083,4.14,-3.98,4.0
598107,MU,earnings_beat+direct_company,1.0,train,2025-09-16,0.8,158.82,2025-09-19,169.94,profit_lock_7%,-0.0161,7.32,-2.24,7.0
598111,JBL,earnings_beat+direct_company,0.9,train,2025-09-18,0.79,223.29,2025-09-24,236.69,profit_lock_6%,-0.0064,6.2,-2.99,6.0
598106,FDX,earnings_beat+direct_company,1.0,train,2025-09-20,0.997,185.43,2025-09-25,190.51,resolution-1d,-0.0019,2.5,-2.03,2.74
598110,ACN,earnings_beat+direct_company,1.0,train,2025-09-22,0.8,239.99,2025-10-01,251.99,profit_lock_5%,-0.0032,5.05,-4.41,5.0
599650,CASH,earnings_beat+direct_company,1.0,train,2025-09-22,0.77,77.31,2025-09-25,75.17,poly<0.534086556485947,-0.0211,1.16,-4.2,-2.77
599651,MLKN,earnings_beat+direct_company,1.0,train,2025-09-25,0.78,17.58,2025-09-30,17.74,resolution-1d,-0.0603,3.41,-4.1,0.91
599652,PRGS,earnings_beat+direct_company,1.0,train,2025-09-19,0.805,41.96,2025-09-30,43.22,profit_lock_3%,-0.0169,3.91,-3.98,3.0
