market_id,symbol,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,rf_target,peak_pct,trough_pct,return_pct
550768,MRK,fda_approval+direct_company,0.95,train,2025-06-09,0.88,79.33,2025-06-11,81.71,profit_lock_3%,-0.002,3.21,-0.83,3.0
551649,USO,military_escalation+energy_beneficiary,0.54,train,2025-06-15,1.0,78.59,2025-06-18,82.52,profit_lock_5%,-0.0388,5.47,-2.98,5.0
551654,USO,military_escalation+energy_beneficiary,0.8,train,2025-06-12,0.83,75.05,2025-06-16,81.05,profit_lock_8%,-0.0386,8.11,-1.73,8.0
546305,USO,military_escalation+energy_beneficiary,0.63,train,2025-06-13,0.999,80.22,2025-06-18,82.63,profit_lock_3%,-0.0542,3.33,-4.95,3.0
551653,USO,military_escalation+energy_beneficiary,0.63,train,2025-06-13,0.996,80.22,2025-06-18,82.63,profit_lock_3%,-0.0535,3.33,-4.95,3.0
552099,USO,military_escalation+energy_beneficiary,0.54,train,2025-06-20,0.83,83.12,2025-06-24,74.41,trailing_3.7ATR,-0.0509,0.54,-13.41,-10.47
552109,USO,military_escalation+energy_beneficiary,0.54,train,2025-06-13,1.0,80.22,2025-06-18,82.63,profit_lock_3%,-0.0272,3.33,-4.95,3.0
552114,XLE,military_escalation+energy_beneficiary,0.52,train,2025-06-17,0.945,44.33,2025-06-20,44.49,resolution-1d,-0.0053,0.87,-0.88,0.36
551650,USO,military_escalation+energy_beneficiary,0.72,train,2025-06-23,0.998,76.41,2025-07-30,80.23,profit_lock_5%,-0.0489,5.01,-5.81,5.0
551650,XLE,military_escalation+energy_beneficiary,0.64,train,2025-06-23,0.998,43.01,2025-07-09,44.31,profit_lock_3%,-0.0161,3.25,-2.17,3.0
553540,USO,military_escalation+energy_beneficiary,0.72,train,2025-06-24,1.0,73.0,2025-06-27,74.46,profit_lock_2%,-0.0552,2.3,-1.41,2.0
553540,XLE,military_escalation+energy_beneficiary,0.64,train,2025-06-24,1.0,42.46,2025-06-30,42.4,resolution-1d,-0.024,1.19,-0.77,-0.12
554577,USO,military_escalation+energy_beneficiary,0.72,train,2025-06-21,0.999,76.41,2025-06-30,73.11,resolution-1d,-0.0494,0.0,-5.81,-4.32
554577,XLE,military_escalation+energy_beneficiary,0.64,train,2025-06-21,0.999,43.01,2025-06-30,42.4,resolution-1d,-0.0248,0.0,-2.06,-1.42
554676,USO,military_escalation+energy_beneficiary,0.675,train,2025-06-26,0.996,73.59,2025-06-30,73.11,resolution-1d,-0.0472,1.02,-1.18,-0.65
554676,XLE,military_escalation+energy_beneficiary,0.6,train,2025-06-26,0.996,42.88,2025-06-30,42.4,resolution-1d,-0.021,0.0,-1.43,-1.1
569179,LENZ,fda_approval+direct_company,0.95,train,2025-07-29,0.83,31.67,2025-07-31,32.3,profit_lock_2%,0.0191,2.81,-6.19,2.0
