strategy,symbol,entry_date,exit_date,return_pct,pnl,txn_cost,exit_reason,holding_days
SPY -- Default,ZIM,2024-09-24,2024-10-01,0.02,-2.19,23.5,trailing_2.5ATR,7
SPY -- Default,ZIM,2024-10-01,2024-10-04,-13.05,-1264.71,21.85,trailing_2.5ATR,3
SPY -- Default,XLE,2024-10-02,2024-10-07,3.0,284.1,22.2,profit_lock_3%,5
SPY -- Default,USO,2024-10-02,2024-10-07,8.85,844.82,22.16,poly<0.55,5
SPY -- Default,USO,2024-10-17,2024-10-18,-1.71,-174.05,21.62,end_of_window,1
SPY -- Default,MRK,2025-06-09,2025-06-11,3.0,299.11,22.69,profit_lock_3%,2
SPY -- Default,USO,2025-06-13,2025-06-18,3.0,298.17,22.56,profit_lock_3%,5
SPY -- Default,USO,2025-06-13,2025-06-18,3.0,298.17,22.56,profit_lock_3%,5
SPY -- Default,USO,2025-06-13,2025-06-18,3.0,298.17,22.56,profit_lock_3%,5
SPY -- Default,USO,2025-06-16,2025-06-18,5.0,505.34,22.87,profit_lock_5%,2
SPY -- Default,USO,2025-06-16,2025-06-18,5.0,505.34,22.87,profit_lock_5%,2
SPY -- Default,XLE,2025-06-16,2025-06-20,1.3,126.88,23.38,resolution-1d,4
SPY -- Default,XLE,2025-06-16,2025-06-20,1.3,126.88,23.38,resolution-1d,4
SPY -- Default,UNCY,2025-06-18,2025-06-20,-5.09,-526.85,31.6,poly<0.55,2
SPY -- Default,USO,2025-06-20,2025-06-23,-7.53,-762.91,21.31,trailing_2.5ATR,3
SPY -- Default,USO,2025-06-20,2025-06-23,-7.53,-762.91,21.31,trailing_2.5ATR,3
SPY -- Default,USO,2025-06-20,2025-06-23,-7.53,-762.91,21.31,trailing_2.5ATR,3
SPY -- Default,USO,2025-06-20,2025-06-23,-7.53,-762.91,21.31,trailing_2.5ATR,3
SPY -- Default,USO,2025-06-20,2025-06-23,-7.53,-762.91,21.31,trailing_2.5ATR,3
SPY -- Default,XLE,2025-06-20,2025-06-24,-4.07,-414.88,22.28,trailing_2.5ATR,4
SPY -- Default,XLE,2025-06-20,2025-06-24,-4.07,-414.88,22.28,trailing_2.5ATR,4
SPY -- Default,XLE,2025-06-20,2025-06-24,-4.07,-414.88,22.28,trailing_2.5ATR,4
SPY -- Default,XLE,2025-06-20,2025-06-24,-4.07,-414.88,22.28,trailing_2.5ATR,4
SPY -- Default,XLE,2025-06-20,2025-06-24,-4.07,-414.88,22.28,trailing_2.5ATR,4
SPY -- Default,USO,2025-06-23,2025-06-30,-4.32,-417.71,20.57,resolution-1d,7
SPY -- Default,XLE,2025-06-23,2025-06-30,-1.42,-141.61,21.74,resolution-1d,7
SPY -- Default,USO,2025-06-23,2025-06-30,-4.32,-417.71,20.57,resolution-1d,7
SPY -- Default,XLE,2025-06-23,2025-06-30,-1.42,-141.61,21.74,resolution-1d,7
SPY -- Default,USO,2025-06-25,2025-06-30,-0.27,-31.7,21.32,resolution-1d,5
SPY -- Default,XLE,2025-06-25,2025-06-30,0.32,24.13,22.03,resolution-1d,5
SPY -- Default,REGN,2025-07-29,2025-07-30,-0.64,-65.78,20.59,poly<0.55,1
SPY -- Default,REGN,2025-07-22,2025-07-31,-2.76,-268.11,20.8,poly<0.55,9
SPY -- Default,ASND,2025-07-28,2025-07-31,3.0,280.25,21.12,profit_lock_3%,3
SPY -- Default,IONS,2025-07-29,2025-07-31,2.81,260.09,21.98,trailing_2.5ATR,2
SPY -- Default,SNY,2025-07-29,2025-07-31,-3.89,-374.05,21.04,trailing_2.5ATR,2
SPY -- Default,PGEN,2025-07-29,2025-07-31,17.0,1611.56,64.21,profit_lock_17%,2
SPY -- Default,BIIB,2025-07-29,2025-08-01,-1.13,-111.64,20.76,trailing_2.5ATR,3
