date,equity,benchmark_equity,cash,benchmark_shares,open_positions
2026-04-10,99949.63,99949.63,345.22,163,0
2026-04-13,100979.79,100979.79,345.22,163,0
2026-04-14,102807.01,102807.01,345.22,163,0
2026-04-15,104241.42,104241.42,345.22,163,0
2026-04-16,104741.82,104741.82,345.22,163,0
2026-04-17,106081.13,106107.76,728.03,128,5
2026-04-20,105655.08,105771.98,730.56,121,6
2026-04-21,104973.19,105371.01,1720.01,133,4
2026-04-22,106103.37,107128.14,2022.39,139,3
2026-04-23,105562.16,106526.67,2250.18,145,2
2026-04-24,107280.71,108557.66,2298.3,138,3
2026-04-27,107123.33,108614.7,2298.3,138,3
2026-04-28,106235.75,107525.86,2764.56,151,1
2026-04-29,106872.82,108181.13,3006.33,157,0
