date,equity,benchmark_equity,cash,benchmark_shares,open_positions
2026-04-10,99949.55,99949.55,68.92,147,0
2026-04-13,100925.62,100925.62,68.92,147,0
2026-04-14,102154.55,102154.55,68.92,147,0
2026-04-15,102960.1,102960.1,68.92,147,0
2026-04-16,103212.94,103212.94,68.92,147,0
2026-04-17,104455.91,104459.5,123.99,143,1
2026-04-20,104185.37,104250.76,236.39,131,4
2026-04-21,103290.86,103568.68,1372.9,133,3
2026-04-22,104028.53,104616.8,1833.3,136,2
2026-04-23,103755.74,104211.07,1833.3,136,2
2026-04-24,104442.81,105018.1,1898.06,128,4
2026-04-27,104415.71,105198.91,2503.33,131,3
2026-04-28,103982.22,104687.35,3128.28,138,1
2026-04-29,103985.95,104671.18,3653.17,141,0
