date,equity,benchmark_equity,cash,benchmark_shares,open_positions
2026-04-10,99949.63,99949.63,345.22,163,0
2026-04-13,100979.79,100979.79,345.22,163,0
2026-04-14,102807.01,102807.01,345.22,163,0
2026-04-15,104241.42,104241.42,345.22,163,0
2026-04-16,104741.82,104741.82,345.22,163,0
2026-04-17,106072.83,106107.76,590.86,115,4
2026-04-20,105813.65,105771.98,813.34,91,6
2026-04-21,104981.3,105371.01,1618.87,101,5
2026-04-22,105905.12,107128.14,1955.05,112,4
2026-04-23,105424.54,106526.67,2365.72,110,4
2026-04-24,106709.23,108557.66,2437.75,98,5
2026-04-27,106528.16,108614.7,2618.55,109,4
2026-04-28,105734.26,107525.86,3191.66,144,1
2026-04-29,106328.3,108181.13,3784.95,155,0
