date,equity,benchmark_equity,cash,benchmark_shares,open_positions
2026-04-10,99949.55,99949.55,68.92,147,0
2026-04-13,100925.62,100925.62,68.92,147,0
2026-04-14,102154.55,102154.55,68.92,147,0
2026-04-15,102960.1,102960.1,68.92,147,0
2026-04-16,103212.94,103212.94,68.92,147,0
2026-04-17,104442.05,104459.5,156.94,124,1
2026-04-20,103898.72,104250.76,172.63,78,3
2026-04-21,102011.54,103568.68,335.85,77,3
2026-04-22,102641.76,104616.8,587.79,76,3
2026-04-23,102638.44,104211.07,640.99,53,4
2026-04-24,103170.77,105018.1,1334.77,75,3
2026-04-27,102621.08,105198.91,1334.77,75,3
2026-04-28,102441.68,104687.35,2001.55,119,1
2026-04-29,103025.67,104671.18,2692.89,141,0
