date,equity,benchmark_equity,cash,benchmark_shares,open_positions
2026-04-10,99949.63,99949.63,345.22,163,0
2026-04-13,100979.79,100979.79,345.22,163,0
2026-04-14,102807.01,102807.01,345.22,163,0
2026-04-15,104241.42,104241.42,345.22,163,0
2026-04-16,104741.82,104741.82,345.22,163,0
2026-04-17,106099.74,106107.76,365.24,152,1
2026-04-20,105641.72,105771.98,365.24,152,1
2026-04-21,105109.42,105371.01,851.58,140,2
2026-04-22,106699.01,107128.14,892.84,129,3
2026-04-23,105803.77,106526.67,943.76,107,5
2026-04-24,107149.1,108557.66,943.76,107,5
2026-04-27,106959.33,108614.7,1128.09,117,4
2026-04-28,106052.42,107525.86,1996.2,137,2
2026-04-29,106890.13,108181.13,2362.07,158,0
