date,equity,benchmark_equity,cash,benchmark_shares,open_positions
2026-04-10,99949.55,99949.55,68.92,147,0
2026-04-13,100925.62,100925.62,68.92,147,0
2026-04-14,102154.55,102154.55,68.92,147,0
2026-04-15,102960.1,102960.1,68.92,147,0
2026-04-16,103212.94,103212.94,68.92,147,0
2026-04-17,104442.05,104459.5,156.94,124,1
2026-04-20,103917.0,104250.76,158.96,101,2
2026-04-21,102214.63,103568.68,322.17,100,2
2026-04-22,103104.57,104616.8,339.39,77,3
2026-04-23,103098.49,104211.07,392.59,54,4
2026-04-24,103636.31,105018.1,1086.37,76,3
2026-04-27,103087.85,105198.91,1086.37,76,3
2026-04-28,102904.97,104687.35,1753.15,120,1
2026-04-29,103488.85,104671.18,2444.49,142,0
