date,equity,benchmark_equity,cash,benchmark_shares,open_positions
2026-04-10,99949.63,99949.63,345.22,163,0
2026-04-13,100979.79,100979.79,345.22,163,0
2026-04-14,102797.65,102807.01,366.74,150,1
2026-04-15,104037.11,104241.42,366.74,150,1
2026-04-16,104810.85,104741.82,366.74,150,1
2026-04-17,105989.04,106107.76,692.29,98,5
2026-04-20,105752.6,105771.98,953.43,85,6
2026-04-21,104996.44,105371.01,1633.19,83,6
2026-04-22,105661.12,107128.14,2063.89,95,5
2026-04-23,105472.79,106526.67,2307.13,106,4
2026-04-24,106442.64,108557.66,2392.2,80,6
2026-04-27,106357.2,108614.7,3020.2,104,4
2026-04-28,105589.81,107525.86,3632.88,142,1
2026-04-29,106176.93,108181.13,3633.58,155,0
