date,equity,benchmark_equity,cash,benchmark_shares,open_positions
2026-04-10,99949.55,99949.55,68.92,147,0
2026-04-13,100925.62,100925.62,68.92,147,0
2026-04-14,102149.58,102154.55,92.03,141,1
2026-04-15,102881.3,102960.1,92.03,141,1
2026-04-16,103283.07,103212.94,92.03,141,1
2026-04-17,104452.79,104459.5,174.99,135,2
2026-04-20,104145.93,104250.76,522.81,111,6
2026-04-21,103214.01,103568.68,1601.98,109,6
2026-04-22,103836.19,104616.8,2231.54,108,6
2026-04-23,103521.98,104211.07,2452.63,101,7
2026-04-24,103769.56,105018.1,2520.41,95,8
2026-04-27,103844.64,105198.91,3723.93,105,6
2026-04-28,103560.19,104687.35,4963.22,121,3
2026-04-29,103846.75,104671.18,5648.71,138,0
