market_id,symbol,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,peak_pct,trough_pct,return_pct,_candidate_id,_entry_ts,_exit_ts,pred,pred_decimal,_qty,_position_size_pct,_max_concurrent,_asset_entry_notional,_benchmark_sell_cost,_asset_buy_cost,estimated_round_trip_cost,expected_edge_dollars,realized_exit_reason,gross_pnl,pnl,pnl_pct,txn_cost,exit_value,benchmark_rebuy_qty,active_position_size_pct,active_max_concurrent
1986791,MMM,3M Earnings,1.0,test,2026-04-17,0.86,154.55,2026-04-21,148.47,resolution-1d,0.25,-4.98,-3.93,823,2026-04-17 00:00:00+00:00,2026-04-21 00:00:00+00:00,3.8405163929063675,0.03840516392906367,27,0.047564606969751254,14,4172.85,2.6,2.44,,,resolution-1d,-164.16,-173.78,-4.164444,9.62,4008.69,5,4.756461,14
1986792,EFX,Equifax Earnings,0.95,test,2026-04-20,0.875,198.45,2026-04-21,192.42,resolution-1d,0.0,-6.19,-3.04,829,2026-04-20 00:00:00+00:00,2026-04-21 00:00:00+00:00,0.7795706031591729,0.00779570603159173,21,0.047564606969751254,14,4167.45,2.59,2.43,,,resolution-1d,-126.63,-136.24,-3.269216,9.61,4040.82,5,4.756461,14
1993856,SNY,Sanofi FDA Approval,0.765,test,2026-04-21,0.91,47.13,2026-04-22,46.9,poly<0.5114144425329189,0.0,-0.59,-0.49,1064,2026-04-21 00:00:00+00:00,2026-04-22 00:00:00+00:00,0.019718552970393165,0.00019718552970393165,89,0.047564606969751254,14,4194.57,2.58,2.45,,,poly<0.5114144425329189,-20.47,-30.18,-0.719528,9.71,4174.1,5,4.756461,14
1986793,LMT,Lockheed Martin Earnings,0.98,test,2026-04-20,0.78,581.28,2026-04-23,529.79,poly<0.5114144425329189,0.0,-10.15,-8.86,830,2026-04-20 00:00:00+00:00,2026-04-23 00:00:00+00:00,0.609046524080896,0.00609046524080896,7,0.047564606969751254,14,4068.96,2.59,2.38,,,poly<0.5114144425329189,-360.43,-369.83,-9.089018,9.4,3708.53,5,4.756461,14
1971815,VZ,Verizon Earnings,1.0,test,2026-04-14,0.865,45.48,2026-04-27,47.1,resolution-1d,4.49,-2.66,3.56,817,2026-04-14 00:00:00+00:00,2026-04-27 00:00:00+00:00,1.8064247184775701,0.0180642471847757,91,0.047564606969751254,14,4138.68,2.55,2.42,,,resolution-1d,147.42,137.7,3.327145,9.72,4286.1,5,4.756461,14
2036597,MRK,Merck FDA Approval,1.0,test,2026-04-21,0.805,112.56,2026-04-27,110.23,resolution-1d,2.19,-2.15,-2.07,865,2026-04-21 00:00:00+00:00,2026-04-27 00:00:00+00:00,0.8094616599092554,0.008094616599092554,37,0.047564606969751254,14,4164.72,2.58,2.43,,,resolution-1d,-86.21,-95.86,-2.301729,9.65,4078.51,5,4.756461,14
1986797,KO,Coca-Cola Earnings,0.98,test,2026-04-20,0.91,75.48,2026-04-28,78.35,resolution-1d,2.03,-1.23,3.8,826,2026-04-20 00:00:00+00:00,2026-04-28 00:00:00+00:00,0.10290425756468256,0.0010290425756468255,56,0.047564606969751254,14,4226.88,2.59,2.46,,,resolution-1d,160.72,150.52,3.560999,10.2,4387.6,6,4.756461,14
1986798,BP,BP Earnings,0.95,test,2026-04-23,0.81,46.35,2026-04-28,46.35,resolution-1d,1.32,-0.97,0.0,831,2026-04-23 00:00:00+00:00,2026-04-28 00:00:00+00:00,1.484827898764596,0.01484827898764596,91,0.047564606969751254,14,4217.85,2.59,2.46,,,resolution-1d,0.0,-9.76,-0.231289,9.76,4217.85,5,4.756461,14
1986801,SYY,Sysco Earnings,1.0,test,2026-04-24,0.915,76.56,2026-04-28,73.37,resolution-1d,0.22,-6.53,-4.17,1061,2026-04-24 00:00:00+00:00,2026-04-28 00:00:00+00:00,2.920405771785452,0.02920405771785452,55,0.047564606969751254,14,4210.8,2.61,2.46,,,resolution-1d,-175.45,-185.13,-4.39653,9.68,4035.35,5,4.756461,14
2003538,EBAY,eBay Earnings,0.95,test,2026-04-20,0.825,107.13,2026-04-29,103.79,resolution-1d,0.2,-9.19,-3.12,861,2026-04-20 00:00:00+00:00,2026-04-29 00:00:00+00:00,0.32698910838907985,0.0032698910838907984,39,0.047564606969751254,14,4178.07,2.59,2.44,,,resolution-1d,-130.26,-139.91,-3.348565,9.65,4047.81,5,4.756461,14
2003526,VIRT,Virtu Financial Earnings,0.95,test,2026-04-22,0.92,48.25,2026-04-29,50.82,resolution-1d,1.97,-2.88,5.33,845,2026-04-22 00:00:00+00:00,2026-04-29 00:00:00+00:00,3.1840523471101885,0.03184052347110188,88,0.047564606969751254,14,4246.0,2.6,2.47,,,resolution-1d,226.16,215.89,5.084664,10.27,4472.16,6,4.756461,14
2003560,RBLX,Roblox Earnings,0.95,test,2026-04-23,0.835,55.45,2026-04-29,56.28,end_of_window,6.2,-5.1,1.5,834,2026-04-23 00:00:00+00:00,2026-04-29 00:00:00+00:00,1.8407937850514722,0.01840793785051472,76,0.047564606969751254,14,4214.2,2.59,2.46,,,end_of_window,63.08,52.94,1.256175,10.14,4277.28,6,4.756461,14
